year,month,rank_ME,rank_R11_6,nstocks,ret_vw
1970,1,3,1,114,-10.6025
1970,1,3,2,245,-9.7750
1970,1,3,3,335,-8.1405
1970,1,3,4,361,-6.5253
1970,1,3,5,295,-7.6023
1970,2,1,1,639,2.8025
1970,2,1,2,533,3.2414
1970,2,1,3,350,3.1341
1970,2,1,4,262,2.9960
1970,2,1,5,177,1.9101
1970,2,2,1,200,3.5537
1970,2,2,2,247,2.7276
1970,2,2,3,230,3.7890
1970,2,2,4,221,4.0275
1970,2,2,5,183,4.8749
1970,2,3,1,106,5.3064
1970,2,3,2,228,6.7308
1970,2,3,3,314,6.0604
1970,2,3,4,352,6.3945
1970,2,3,5,302,5.0458
1970,3,1,1,640,-3.1458
1970,3,1,2,520,-2.7750
1970,3,1,3,334,-2.1504
1970,3,1,4,273,-4.0165
1970,3,1,5,163,-5.8673
1970,3,2,1,204,-2.5217
1970,3,2,2,260,-1.7647
1970,3,2,3,236,-0.4856
1970,3,2,4,220,-0.5934
1970,3,2,5,179,-4.2616
1970,3,3,1,104,-2.5723
1970,3,3,2,224,0.1859
1970,3,3,3,300,1.2147
1970,3,3,4,339,2.4081
1970,3,3,5,292,-2.0021
1970,4,1,1,651,-18.6879
1970,4,1,2,513,-16.7371
1970,4,1,3,343,-14.5687
1970,4,1,4,264,-16.5337
1970,4,1,5,156,-22.1098
1970,4,2,1,193,-18.7672
1970,4,2,2,259,-14.8929
1970,4,2,3,223,-12.1185
1970,4,2,4,217,-13.1716
1970,4,2,5,168,-18.7676
1970,4,3,1,102,-13.3837
1970,4,3,2,220,-8.8158
1970,4,3,3,295,-9.0395
1970,4,3,4,332,-8.4102
1970,4,3,5,287,-10.3590
1970,5,1,1,658,-7.9615
1970,5,1,2,515,-9.4346
1970,5,1,3,350,-10.3407
1970,5,1,4,246,-10.2849
1970,5,1,5,155,-12.6988
1970,5,2,1,189,-11.2083
1970,5,2,2,257,-9.6374
1970,5,2,3,237,-8.5308
1970,5,2,4,217,-8.8680
1970,5,2,5,162,-10.8925
1970,5,3,1,100,-5.5082
1970,5,3,2,210,-1.1279
1970,5,3,3,288,-3.7897
1970,5,3,4,340,-6.2907
1970,5,3,5,301,-7.8277
1970,6,1,1,689,-11.3110
1970,6,1,2,513,-8.1775
1970,6,1,3,335,-6.9267
1970,6,1,4,220,-6.3346
1970,6,1,5,129,-6.1587
1970,6,2,1,197,-9.4293
1970,6,2,2,273,-8.9813
1970,6,2,3,250,-7.0393
1970,6,2,4,216,-5.3548
1970,6,2,5,163,-5.0203
1970,6,3,1,110,-8.8303
1970,6,3,2,213,-3.9437
1970,6,3,3,306,-5.3895
1970,6,3,4,368,-4.8832
1970,6,3,5,310,-4.7452
1970,7,1,1,684,3.2421
1970,7,1,2,505,4.7027
1970,7,1,3,345,4.4005
1970,7,1,4,216,5.6948
1970,7,1,5,126,5.5132
1970,7,2,1,204,7.6831
1970,7,2,2,268,8.3925
1970,7,2,3,248,7.9293
1970,7,2,4,215,8.0008
1970,7,2,5,157,5.7134
1970,7,3,1,109,11.4742
1970,7,3,2,224,10.7566
