year,month,rank_ME,rank_CM_1,nstocks,ret_vw
1983,10,3,1,9,-5.4793
1983,10,3,2,11,-1.8009
1983,10,3,3,18,-1.6351
1983,10,3,4,11,-3.8495
1983,10,3,5,9,-2.7724
1983,11,1,1,105,3.4742
1983,11,1,2,110,5.2782
1983,11,1,3,44,1.0607
1983,11,1,4,49,1.1998
1983,11,1,5,67,5.2202
1983,11,2,1,28,8.5377
1983,11,2,2,21,10.4490
1983,11,2,3,17,-2.2038
1983,11,2,4,12,8.9620
1983,11,2,5,19,5.3452
1983,11,3,1,6,3.7989
1983,11,3,2,17,6.1495
1983,11,3,3,14,5.9480
1983,11,3,4,16,3.0814
1983,11,3,5,6,6.0856
1983,12,1,1,70,-3.2253
1983,12,1,2,45,0.4687
1983,12,1,3,77,-4.9283
1983,12,1,4,101,-0.0999
1983,12,1,5,83,-5.6697
1983,12,2,1,20,-0.6053
1983,12,2,2,9,-1.9515
1983,12,2,3,28,-3.9962
1983,12,2,4,22,-3.5054
1983,12,2,5,18,-2.8424
1983,12,3,1,14,-1.6186
1983,12,3,2,10,1.0409
1983,12,3,3,18,-2.2384
1983,12,3,4,9,1.8997
1983,12,3,5,10,-0.9062
1984,1,1,1,67,0.5209
1984,1,1,2,67,1.9844
1984,1,1,3,63,-2.4372
1984,1,1,4,86,-0.8268
1984,1,1,5,93,1.5522
1984,1,2,1,16,-2.6285
1984,1,2,2,19,-2.9222
1984,1,2,3,22,-0.0094
1984,1,2,4,16,-2.1906
1984,1,2,5,25,-2.8720
1984,1,3,1,9,-0.8336
1984,1,3,2,11,-4.9725
1984,1,3,3,16,-4.0464
1984,1,3,4,15,-1.8802
1984,1,3,5,6,-10.8912
1984,2,1,1,133,-6.6851
1984,2,1,2,58,-2.3641
1984,2,1,3,53,-5.4223
1984,2,1,4,41,-7.7597
1984,2,1,5,87,-4.7793
1984,2,2,1,25,-9.9345
1984,2,2,2,18,-3.4977
1984,2,2,3,14,-8.4438
1984,2,2,4,9,-15.7860
1984,2,2,5,30,-5.3504
1984,2,3,1,13,-3.8056
1984,2,3,2,15,-8.9239
1984,2,3,3,6,-10.3271
1984,2,3,4,17,-4.4375
1984,2,3,5,9,-4.3311
1984,3,1,1,105,-2.2629
1984,3,1,2,51,2.8810
1984,3,1,3,59,0.7927
