year,month,rank_ME,rank_SM_1,nstocks,ret_vw
1980,12,1,1,135,-3.9000
1980,12,1,2,117,-5.9029
1980,12,1,3,148,-5.7761
1980,12,1,4,163,-5.4934
1980,12,1,5,117,-5.7909
1980,12,2,1,55,-1.0279
1980,12,2,2,60,-3.1809
1980,12,2,3,61,-4.2066
1980,12,2,4,64,-1.8010
1980,12,2,5,73,-4.7673
1980,12,3,1,73,1.8570
1980,12,3,2,76,-2.7487
1980,12,3,3,81,-1.4890
1980,12,3,4,72,-2.0299
1980,12,3,5,110,-8.4960
1981,1,1,1,143,0.9431
1981,1,1,2,168,1.1803
1981,1,1,3,153,1.0092
1981,1,1,4,127,0.5344
1981,1,1,5,93,2.7133
1981,1,2,1,70,-4.0686
1981,1,2,2,67,-2.3236
1981,1,2,3,60,-1.9804
1981,1,2,4,65,0.4648
1981,1,2,5,48,1.0889
1981,1,3,1,108,-10.0222
1981,1,3,2,66,-4.0460
1981,1,3,3,65,-5.3325
1981,1,3,4,82,-3.8324
1981,1,3,5,89,-1.1827
1981,2,1,1,139,-0.5213
1981,2,1,2,134,-2.1082
1981,2,1,3,132,1.7736
1981,2,1,4,139,0.3371
1981,2,1,5,144,3.7015
1981,2,2,1,70,-1.0033
1981,2,2,2,59,-0.0870
1981,2,2,3,49,4.0032
1981,2,2,4,69,3.0415
1981,2,2,5,56,4.3264
1981,2,3,1,102,1.4534
1981,2,3,2,90,3.2431
1981,2,3,3,72,1.5300
1981,2,3,4,70,2.5388
1981,2,3,5,74,4.5934
1981,3,1,1,139,7.4792
1981,3,1,2,166,8.2159
1981,3,1,3,135,8.7987
1981,3,1,4,106,8.2090
1981,3,1,5,144,8.6779
1981,3,2,1,69,6.8722
1981,3,2,2,71,5.4043
1981,3,2,3,47,9.7316
1981,3,2,4,50,8.6016
1981,3,2,5,61,7.1168
1981,3,3,1,87,1.1184
1981,3,3,2,84,3.1398
1981,3,3,3,79,5.3306
1981,3,3,4,77,5.9523
1981,3,3,5,75,6.8918
1981,4,1,1,92,2.6012
1981,4,1,2,127,2.6457
1981,4,1,3,139,1.0355
1981,4,1,4,164,4.3233
1981,4,1,5,161,4.7938
1981,4,2,1,60,-0.0721
1981,4,2,2,57,0.6356
1981,4,2,3,72,2.7776
1981,4,2,4,54,4.6900
1981,4,2,5,54,1.9810
1981,4,3,1,107,-6.8480
1981,4,3,2,77,-3.0050
1981,4,3,3,66,-1.5210
1981,4,3,4,83,-1.8023
1981,4,3,5,72,-0.3557
1981,5,1,1,75,-0.1589
1981,5,1,2,105,3.8210
1981,5,1,3,143,4.0136
1981,5,1,4,165,5.4018
1981,5,1,5,187,5.0124
1981,5,2,1,54,2.3684
1981,5,2,2,49,3.2554
1981,5,2,3,60,2.3644
1981,5,2,4,62,2.7965
1981,5,2,5,74,6.5542
1981,5,3,1,112,-3.7542
1981,5,3,2,89,0.2823
1981,5,3,3,70,-0.9709
1981,5,3,4,66,1.7317
1981,5,3,5,67,2.4620
1981,6,1,1,99,0.5365
1981,6,1,2,114,0.9070
1981,6,1,3,121,0.0068
1981,6,1,4,152,1.5370
1981,6,1,5,183,-1.2650
1981,6,2,1,60,-4.4921
1981,6,2,2,60,-1.8821
1981,6,2,3,50,0.2572
1981,6,2,4,65,-3.4951
1981,6,2,5,68,-2.2408
1981,6,3,1,98,3.7061
1981,6,3,2,74,-1.7156
1981,6,3,3,80,-3.2702
1981,6,3,4,74,-2.0394
1981,6,3,5,74,-4.4163
1981,7,1,1,153,-4.2331
1981,7,1,2,151,-3.4207
1981,7,1,3,188,-2.2665
1981,7,1,4,124,-3.7606
1981,7,1,5,106,-0.0729
1981,7,2,1,62,-0.6531
1981,7,2,2,68,-0.7245
1981,7,2,3,52,-3.7906
1981,7,2,4,53,-1.6881
1981,7,2,5,58,-1.1580
1981,7,3,1,86,0.2292
1981,7,3,2,75,-0.7164
1981,7,3,3,75,-0.0890
1981,7,3,4,72,-2.6046
1981,7,3,5,89,6.5902
1981,8,1,1,164,-9.6212
1981,8,1,2,167,-10.4466
1981,8,1,3,132,-8.5553
1981,8,1,4,141,-5.6778
1981,8,1,5,107,-7.6439
1981,8,2,1,57,-7.1796
1981,8,2,2,67,-10.4974
1981,8,2,3,64,-6.8377
1981,8,2,4,52,-7.1688
1981,8,2,5,63,-2.9597
1981,8,3,1,76,-5.2973
1981,8,3,2,66,-5.3655
1981,8,3,3,72,-6.4072
1981,8,3,4,78,-6.7324
1981,8,3,5,102,-6.0681
1981,9,1,1,186,-12.4662
1981,9,1,2,124,-10.5260
1981,9,1,3,146,-10.1815
1981,9,1,4,146,-8.4534
1981,9,1,5,101,-8.0568
1981,9,2,1,68,-8.0833
1981,9,2,2,61,-9.6437
1981,9,2,3,61,-10.6163
1981,9,2,4,48,-5.7837
1981,9,2,5,57,-7.4669
1981,9,3,1,88,-6.3299
1981,9,3,2,75,-4.7009
1981,9,3,3,72,-8.2256
1981,9,3,4,82,-6.4405
1981,9,3,5,83,-9.3256
1981,10,1,1,140,6.7068
1981,10,1,2,139,11.1278
