year,month,rank_ME,rank_IM_6,nstocks,ret_vw
1971,2,1,2,672,5.0598
1971,2,1,3,648,6.0756
1971,2,1,4,843,5.3954
1971,2,1,5,492,6.0411
1971,2,2,1,186,7.4228
1971,2,2,2,331,2.6912
1971,2,2,3,304,3.6764
1971,2,2,4,385,3.0991
1971,2,2,5,264,4.8697
1971,2,3,1,193,2.7979
1971,2,3,2,433,2.9740
1971,2,3,3,378,2.8777
1971,2,3,4,506,2.9835
1971,2,3,5,373,4.9702
1971,3,1,1,427,7.8821
1971,3,1,2,672,6.1744
1971,3,1,3,632,5.1643
1971,3,1,4,869,5.4384
1971,3,1,5,472,4.9301
1971,3,2,1,235,5.9257
1971,3,2,2,330,6.5182
1971,3,2,3,279,7.1921
1971,3,2,4,401,5.9822
1971,3,2,5,226,5.2806
1971,3,3,1,316,6.5540
1971,3,3,2,476,4.4789
1971,3,3,3,352,5.2606
1971,3,3,4,511,4.1271
1971,3,3,5,266,5.5298
1971,4,1,1,471,0.6335
1971,4,1,2,651,2.9186
1971,4,1,3,547,2.5007
1971,4,1,4,819,2.3109
1971,4,1,5,435,1.3243
1971,4,2,1,239,1.7855
1971,4,2,2,313,2.6578
1971,4,2,3,254,3.1127
1971,4,2,4,377,2.4517
1971,4,2,5,198,2.2471
1971,4,3,1,327,4.2864
1971,4,3,2,466,3.8076
1971,4,3,3,317,4.3081
1971,4,3,4,484,4.4524
1971,4,3,5,227,8.3077
1971,5,1,1,363,-6.3329
1971,5,1,2,605,-5.5422
1971,5,1,3,507,-6.2004
1971,5,1,4,774,-6.0531
1971,5,1,5,471,-6.7513
1971,5,2,1,215,-3.9872
1971,5,2,2,306,-5.5208
1971,5,2,3,228,-3.4377
1971,5,2,4,348,-5.2331
1971,5,2,5,199,-7.0841
1971,5,3,1,303,-1.9857
1971,5,3,2,430,-3.0633
1971,5,3,3,283,-2.3185
1971,5,3,4,429,-2.0067
1971,5,3,5,217,-2.7388
1971,6,1,1,360,-2.5673
1971,6,1,2,568,-3.4426
1971,6,1,3,472,-2.4534
1971,6,1,4,738,-2.4889
1971,6,1,5,441,-2.6763
1971,6,2,1,234,-2.1116
1971,6,2,2,296,-0.4182
1971,6,2,3,218,-0.3406
1971,6,2,4,348,-0.6675
1971,6,2,5,174,-2.1919
1971,6,3,1,338,0.2155
1971,6,3,2,424,0.1804
1971,6,3,3,248,1.3593
1971,6,3,4,429,0.1121
1971,6,3,5,163,0.7883
1971,7,1,1,373,-4.3272
1971,7,1,2,619,-5.9151
1971,7,1,3,485,-6.7113
1971,7,1,4,694,-7.1798
1971,7,1,5,311,-7.0410
1971,7,2,1,236,-4.2763
1971,7,2,2,312,-5.2431
1971,7,2,3,235,-5.9837
1971,7,2,4,296,-6.7532
1971,7,2,5,121,-6.9015
1971,7,3,1,334,-5.2449
1971,7,3,2,444,-4.3687
1971,7,3,3,263,-5.8147
1971,7,3,4,296,-5.5244
1971,7,3,5,109,-9.4763
1971,8,1,1,362,1.2907
1971,8,1,2,660,1.8142
1971,8,1,3,579,3.4429
1971,8,1,4,674,3.2471
1971,8,1,5,322,2.8601
1971,8,2,1,231,1.7720
1971,8,2,2,309,4.0239
1971,8,2,3,274,5.3502
1971,8,2,4,294,5.7424
1971,8,2,5,127,5.2747
1971,8,3,1,316,3.4408
1971,8,3,2,441,4.6855
1971,8,3,3,319,5.2743
1971,8,3,4,325,6.4525
