year,month,rank_ME,rank_PTA,nstocks,ret_vw
1970,8,2,3,49,5.8961
1970,8,2,4,69,8.9265
1970,8,2,5,72,10.2868
1970,8,3,1,64,4.4848
1970,8,3,2,107,4.4989
1970,8,3,3,109,5.6714
1970,8,3,4,96,4.2388
1970,8,3,5,78,5.9371
1970,9,1,1,178,12.5486
1970,9,1,2,59,14.2787
1970,9,1,3,72,13.4619
1970,9,1,4,120,14.3874
1970,9,1,5,242,18.1827
1970,9,2,1,69,11.7174
1970,9,2,2,47,8.6790
1970,9,2,3,49,10.5513
1970,9,2,4,69,11.1764
1970,9,2,5,72,15.3530
1970,9,3,1,64,5.5098
1970,9,3,2,107,1.2421
1970,9,3,3,109,4.8028
1970,9,3,4,96,5.9243
1970,9,3,5,77,8.6241
1970,10,1,1,178,-6.3501
1970,10,1,2,59,-9.7797
1970,10,1,3,72,-5.6859
1970,10,1,4,120,-8.4676
1970,10,1,5,243,-9.3810
1970,10,2,1,69,-5.7490
1970,10,2,2,47,-3.8604
1970,10,2,3,49,-6.3005
1970,10,2,4,69,-4.1187
1970,10,2,5,72,-6.4928
1970,10,3,1,64,-0.3535
1970,10,3,2,107,-1.4828
1970,10,3,3,109,0.8878
1970,10,3,4,96,-2.8073
1970,10,3,5,77,-4.0024
1970,11,1,1,178,-1.5273
1970,11,1,2,59,-1.9126
1970,11,1,3,72,-1.2765
1970,11,1,4,119,0.0157
1970,11,1,5,243,-2.6374
1970,11,2,1,69,2.0174
1970,11,2,2,47,2.9783
1970,11,2,3,49,4.5523
1970,11,2,4,69,3.4066
1970,11,2,5,72,0.5905
1970,11,3,1,64,3.8702
1970,11,3,2,107,6.6236
1970,11,3,3,109,4.6882
1970,11,3,4,96,3.9494
1970,11,3,5,77,3.2403
1970,12,1,1,178,9.2322
1970,12,1,2,58,12.5959
1970,12,1,3,72,11.2783
1970,12,1,4,119,11.1467
1970,12,1,5,243,8.1303
1970,12,2,1,69,8.2878
1970,12,2,2,47,9.7460
1970,12,2,3,49,9.9785
1970,12,2,4,69,8.4805
1970,12,2,5,72,8.6827
1970,12,3,1,64,5.3115
1970,12,3,2,107,6.0737
1970,12,3,3,109,5.6291
1970,12,3,4,96,6.1842
1970,12,3,5,77,4.7338
1971,1,1,1,177,16.7228
1971,1,1,2,57,13.1235
1971,1,1,3,72,14.2070
1971,1,1,4,119,15.6266
1971,1,1,5,243,14.2287
1971,1,2,1,69,12.6840
1971,1,2,2,47,8.9808
1971,1,2,3,49,10.7109
1971,1,2,4,68,10.5591
1971,1,2,5,72,11.2186
1971,1,3,1,64,5.4660
1971,1,3,2,107,3.7749
1971,1,3,3,109,2.7413
1971,1,3,4,96,7.7875
1971,1,3,5,77,7.8839
1971,2,1,1,176,5.5521
1971,2,1,2,57,5.0874
1971,2,1,3,72,3.6613
1971,2,1,4,119,3.5480
1971,2,1,5,242,5.2287
1971,2,2,1,69,1.4127
1971,2,2,2,47,4.1855
1971,2,2,3,49,3.1745
1971,2,2,4,68,3.6977
1971,2,2,5,72,1.5543
1971,2,3,1,64,5.4660
1971,2,3,2,107,0.0129
1971,2,3,3,109,2.8856
1971,2,3,4,96,3.5477
1971,2,3,5,77,-0.4342
1971,3,1,1,176,7.6745
1971,3,1,2,57,6.9144
1971,3,1,3,72,7.8704
1971,3,1,4,119,5.4916
1971,3,1,5,241,5.7892
1971,3,2,1,69,6.6214
1971,3,2,2,46,4.0249
1971,3,2,3,49,5.5152
1971,3,2,4,68,10.3899
1971,3,2,5,72,6.1479
1971,3,3,1,63,2.0170
1971,3,3,2,107,3.7913
1971,3,3,3,109,4.2692
1971,3,3,4,96,4.5910
1971,3,3,5,77,6.6540
1971,4,1,1,175,1.7873
1971,4,1,2,57,3.4641
1971,4,1,3,72,-0.4242
1971,4,1,4,119,2.1816
1971,4,1,5,241,3.8128
1971,4,2,1,69,5.2525
1971,4,2,2,46,3.5770
1971,4,2,3,49,6.0397
1971,4,2,4,68,4.2417
1971,4,2,5,72,2.9620
1971,4,3,1,63,6.1070
1971,4,3,2,107,3.4177
1971,4,3,3,109,3.7228
1971,4,3,4,96,5.9690
1971,4,3,5,77,5.6658
1971,5,1,1,172,-4.8388
1971,5,1,2,57,-6.6871
1971,5,1,3,72,-6.1704
1971,5,1,4,119,-6.6570
1971,5,1,5,241,-7.1913
1971,5,2,1,69,-6.3111
1971,5,2,2,47,-4.5217
1971,5,2,3,48,-2.9498
1971,5,2,4,68,-3.2566
1971,5,2,5,72,-4.7147
1971,5,3,1,63,-3.9497
1971,5,3,2,107,-3.0229
1971,5,3,3,109,-4.2403
1971,5,3,4,96,-2.6526
1971,5,3,5,77,-4.0491
1971,6,1,1,170,-1.2044
1971,6,1,2,57,-1.9495
1971,6,1,3,72,-3.0005
1971,6,1,4,119,-2.8514
1971,6,1,5,240,-2.3575
1971,6,2,1,69,-0.9023
1971,6,2,2,47,-1.5852
1971,6,2,3,48,-1.1280
1971,6,2,4,67,-2.9315
1971,6,2,5,72,1.3414
1971,6,3,1,63,0.4780
1971,6,3,2,107,-0.4530
1971,6,3,3,109,0.1185
1971,6,3,4,96,0.2515
1971,6,3,5,77,1.8646
1971,7,1,1,241,-6.9920
1971,7,1,2,86,-4.8911
1971,7,1,3,75,-6.8588
1971,7,1,4,119,-7.1611
1971,7,1,5,229,-6.8995
1971,7,2,1,73,-5.4036
1971,7,2,2,55,-3.2686
1971,7,2,3,55,-4.5533
1971,7,2,4,67,-4.4052
1971,7,2,5,80,-6.9745
1971,7,3,1,58,-4.5333
1971,7,3,2,108,-4.7482
1971,7,3,3,122,-4.4528
1971,7,3,4,110,-2.7751
1971,7,3,5,95,-5.0218
1971,8,1,1,240,5.8047
1971,8,1,2,86,4.8735
1971,8,1,3,75,5.9661
1971,8,1,4,119,3.4632
1971,8,1,5,229,3.0544
1971,8,2,1,73,5.9196
1971,8,2,2,55,4.2774
1971,8,2,3,55,4.7768
1971,8,2,4,67,5.7602
1971,8,2,5,80,4.1305
1971,8,3,1,58,8.1311
1971,8,3,2,108,2.6591
1971,8,3,3,121,5.7518
1971,8,3,4,110,3.3382
1971,8,3,5,95,4.1966
1971,9,1,1,240,-1.2049
1971,9,1,2,86,-0.0595
