year,month,rank_ME,rank_DAC,nstocks,ret_vw
1971,1,1,4,88,16.3483
1971,1,1,5,169,15.3125
1971,1,2,1,62,12.0610
1971,1,2,2,41,9.2133
1971,1,2,3,51,11.2164
1971,1,2,4,60,9.9848
1971,1,2,5,72,12.3766
1971,1,3,1,76,4.0935
1971,1,3,2,94,5.3820
1971,1,3,3,99,2.6343
1971,1,3,4,98,4.7531
1971,1,3,5,66,6.7876
1971,2,1,1,192,6.2194
1971,2,1,2,79,4.1780
1971,2,1,3,64,2.5217
1971,2,1,4,88,2.8953
1971,2,1,5,169,5.7058
1971,2,2,1,62,2.9437
1971,2,2,2,41,2.7934
1971,2,2,3,51,2.9083
1971,2,2,4,60,2.2166
1971,2,2,5,72,2.7146
1971,2,3,1,76,2.1971
1971,2,3,2,94,1.5670
1971,2,3,3,99,4.2076
1971,2,3,4,98,-0.6736
1971,2,3,5,66,1.8226
1971,3,1,1,192,8.4979
1971,3,1,2,79,5.6382
1971,3,1,3,64,5.9705
1971,3,1,4,88,4.4826
1971,3,1,5,169,6.4678
1971,3,2,1,62,7.3171
1971,3,2,2,41,7.8902
1971,3,2,3,51,5.4253
1971,3,2,4,60,6.4762
1971,3,2,5,71,7.3370
1971,3,3,1,76,5.3711
1971,3,3,2,94,4.6980
1971,3,3,3,99,3.5864
1971,3,3,4,98,2.8686
1971,3,3,5,66,4.1089
1971,4,1,1,192,0.4381
1971,4,1,2,79,3.9891
1971,4,1,3,64,1.7560
1971,4,1,4,88,3.5262
1971,4,1,5,169,3.2560
1971,4,2,1,62,3.3267
1971,4,2,2,41,3.8230
1971,4,2,3,51,5.3258
1971,4,2,4,60,8.0416
1971,4,2,5,71,1.5649
1971,4,3,1,76,4.3863
1971,4,3,2,94,4.1866
1971,4,3,3,99,5.1757
1971,4,3,4,98,3.1117
1971,4,3,5,66,5.4380
1971,5,1,1,192,-6.5627
1971,5,1,2,79,-3.8967
1971,5,1,3,64,-5.5331
1971,5,1,4,88,-5.3524
1971,5,1,5,169,-7.5991
1971,5,2,1,62,-4.1042
1971,5,2,2,41,-4.1978
1971,5,2,3,51,-3.5668
1971,5,2,4,60,-4.1829
1971,5,2,5,72,-6.1000
1971,5,3,1,76,-5.2118
1971,5,3,2,94,-2.2404
1971,5,3,3,99,-3.3935
1971,5,3,4,98,-3.4709
1971,5,3,5,66,-2.4915
1971,6,1,1,191,-4.4182
1971,6,1,2,79,0.3546
1971,6,1,3,64,-0.6987
1971,6,1,4,87,-1.3640
1971,6,1,5,169,-3.4830
1971,6,2,1,62,1.2879
1971,6,2,2,41,-1.6537
1971,6,2,3,51,-0.6431
1971,6,2,4,60,-2.1266
1971,6,2,5,71,-2.2143
1971,6,3,1,76,-1.1139
1971,6,3,2,94,0.1991
1971,6,3,3,99,0.3546
