year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1971,5,3,4,91,-4.9927
1971,5,3,5,99,-2.5585
1971,6,1,1,228,-2.3747
1971,6,1,2,81,-0.8403
1971,6,1,3,80,-2.0995
1971,6,1,4,139,-2.4136
1971,6,1,5,168,-3.0241
1971,6,2,1,61,-2.3984
1971,6,2,2,64,-1.2691
1971,6,2,3,50,-0.5919
1971,6,2,4,60,0.0735
1971,6,2,5,85,-0.8086
1971,6,3,1,65,-0.3420
1971,6,3,2,92,0.2372
1971,6,3,3,110,-0.0901
1971,6,3,4,91,-0.3059
1971,6,3,5,99,1.1118
1971,7,1,1,275,-6.4285
1971,7,1,2,149,-7.2044
1971,7,1,3,94,-4.8407
1971,7,1,4,107,-6.2605
1971,7,1,5,155,-8.1696
1971,7,2,1,66,-5.8631
1971,7,2,2,76,-5.2711
1971,7,2,3,59,-5.6349
1971,7,2,4,61,-4.1494
1971,7,2,5,80,-4.7097
1971,7,3,1,54,-9.0612
1971,7,3,2,83,-3.9458
1971,7,3,3,114,-2.5299
1971,7,3,4,128,-3.8237
1971,7,3,5,118,-5.6405
1971,8,1,1,274,4.9203
1971,8,1,2,149,4.5362
1971,8,1,3,94,4.2424
1971,8,1,4,107,5.6832
1971,8,1,5,155,2.2852
1971,8,2,1,66,5.4787
1971,8,2,2,76,5.4610
1971,8,2,3,59,6.4359
1971,8,2,4,61,3.2992
1971,8,2,5,80,4.6782
1971,8,3,1,54,10.3447
1971,8,3,2,83,6.5398
1971,8,3,3,113,2.5111
1971,8,3,4,128,4.4870
1971,8,3,5,117,4.7992
1971,9,1,1,274,-1.4008
1971,9,1,2,149,1.3685
