year,month,rank_ME,rank_NXF,nstocks,ret_vw
1976,9,2,3,111,1.7179
1976,9,2,4,109,4.7601
1976,9,2,5,120,4.4625
1976,9,3,1,129,1.4804
1976,9,3,2,116,2.9191
1976,9,3,3,109,3.6588
1976,9,3,4,150,2.2061
1976,9,3,5,144,3.8258
1976,10,1,1,435,-1.4812
1976,10,1,2,374,-2.5175
1976,10,1,3,479,-2.5985
1976,10,1,4,265,-2.3277
1976,10,1,5,347,-2.8743
1976,10,2,1,127,-0.9270
1976,10,2,2,115,-2.9010
1976,10,2,3,112,-2.9291
1976,10,2,4,109,-2.5102
1976,10,2,5,120,-3.5590
1976,10,3,1,129,-3.5728
1976,10,3,2,116,-2.7940
1976,10,3,3,109,-1.8155
1976,10,3,4,149,-0.8825
1976,10,3,5,145,-2.3636
1976,11,1,1,434,2.5500
1976,11,1,2,376,3.2057
1976,11,1,3,479,3.1772
1976,11,1,4,265,3.0022
1976,11,1,5,346,3.7900
1976,11,2,1,127,4.7049
1976,11,2,2,115,4.3433
1976,11,2,3,112,2.9987
1976,11,2,4,109,3.3314
1976,11,2,5,120,3.7330
1976,11,3,1,129,-0.6121
1976,11,3,2,116,1.0453
1976,11,3,3,109,0.9565
1976,11,3,4,149,0.6882
1976,11,3,5,145,0.3946
1976,12,1,1,437,9.9426
1976,12,1,2,380,8.7636
1976,12,1,3,483,10.0639
1976,12,1,4,264,10.2751
1976,12,1,5,344,9.7648
1976,12,2,1,127,10.3547
1976,12,2,2,118,8.7688
1976,12,2,3,112,9.6470
1976,12,2,4,110,8.6856
1976,12,2,5,120,7.7691
1976,12,3,1,129,4.8364
1976,12,3,2,116,5.9373
1976,12,3,3,110,7.1356
1976,12,3,4,149,4.3268
1976,12,3,5,145,4.4187
1977,1,1,1,425,3.4591
1977,1,1,2,376,4.7334
1977,1,1,3,475,4.4443
1977,1,1,4,261,4.0780
1977,1,1,5,342,5.2618
1977,1,2,1,125,0.2692
1977,1,2,2,117,-1.4192
1977,1,2,3,111,1.7168
1977,1,2,4,109,3.5872
1977,1,2,5,118,2.5199
1977,1,3,1,128,-4.5124
1977,1,3,2,115,-3.2069
1977,1,3,3,110,-3.1710
1977,1,3,4,149,-5.1410
1977,1,3,5,145,-4.6668
1977,2,1,1,420,-0.0745
1977,2,1,2,374,0.2249
1977,2,1,3,475,0.6279
1977,2,1,4,259,-1.5554
1977,2,1,5,342,-0.8446
1977,2,2,1,125,-1.2624
1977,2,2,2,113,-0.6905
1977,2,2,3,111,-0.6650
1977,2,2,4,108,-1.3340
1977,2,2,5,117,-1.6854
