year,month,rank_ME,rank_NSI,nstocks,ret_vw
1970,10,2,1,41,-3.9785
1970,10,2,2,44,-2.3651
1970,10,2,3,75,-4.7596
1970,10,2,4,83,-5.3752
1970,10,2,5,105,-7.1516
1970,10,3,1,70,-0.0862
1970,10,3,2,48,-2.1045
1970,10,3,3,154,-0.8999
1970,10,3,4,141,-1.0798
1970,10,3,5,133,-2.1269
1970,11,1,1,70,-0.5058
1970,11,1,2,157,-1.8645
1970,11,1,3,134,-1.2041
1970,11,1,4,150,-1.0031
1970,11,1,5,218,-1.6807
1970,11,2,1,40,3.4636
1970,11,2,2,44,2.4028
1970,11,2,3,75,2.7604
1970,11,2,4,83,4.7281
1970,11,2,5,105,1.5485
1970,11,3,1,70,5.6468
1970,11,3,2,48,7.8583
1970,11,3,3,154,5.8462
1970,11,3,4,141,4.8434
1970,11,3,5,133,4.6925
1970,12,1,1,70,10.8135
1970,12,1,2,157,10.5523
1970,12,1,3,133,11.7369
1970,12,1,4,150,9.0348
1970,12,1,5,217,7.9978
1970,12,2,1,40,9.2304
1970,12,2,2,44,9.4343
1970,12,2,3,75,10.6193
1970,12,2,4,83,5.9839
1970,12,2,5,105,8.7903
1970,12,3,1,70,5.5887
1970,12,3,2,48,4.3497
1970,12,3,3,153,6.5760
1970,12,3,4,141,5.6847
1970,12,3,5,133,5.6310
1971,1,1,1,70,16.0765
1971,1,1,2,156,14.1823
1971,1,1,3,131,14.0490
1971,1,1,4,149,16.1814
1971,1,1,5,218,14.0950
1971,1,2,1,40,8.3589
1971,1,2,2,43,8.7690
1971,1,2,3,74,11.1799
1971,1,2,4,83,11.7554
1971,1,2,5,105,11.3757
1971,1,3,1,70,2.2054
1971,1,3,2,48,4.8863
1971,1,3,3,153,4.0186
1971,1,3,4,141,5.0660
1971,1,3,5,133,6.6962
1971,2,1,1,70,4.2858
1971,2,1,2,154,3.4039
1971,2,1,3,130,4.2751
1971,2,1,4,149,4.4918
1971,2,1,5,217,6.3366
1971,2,2,1,40,2.4085
1971,2,2,2,43,2.0951
1971,2,2,3,73,2.6245
1971,2,2,4,83,3.0373
1971,2,2,5,105,1.9874
1971,2,3,1,70,2.7337
1971,2,3,2,48,1.8741
1971,2,3,3,153,0.0147
1971,2,3,4,140,3.1011
1971,2,3,5,133,-0.1033
1971,3,1,1,70,7.1840
1971,3,1,2,154,4.8755
1971,3,1,3,130,8.8906
1971,3,1,4,149,6.7830
1971,3,1,5,216,5.3142
1971,3,2,1,40,6.4958
1971,3,2,2,43,2.9598
1971,3,2,3,73,4.7896
1971,3,2,4,83,6.4145
1971,3,2,5,104,8.6789
1971,3,3,1,70,3.1654
1971,3,3,2,48,4.0487
1971,3,3,3,152,3.2153
1971,3,3,4,139,4.9641
1971,3,3,5,133,4.9786
1971,4,1,1,70,-0.2746
1971,4,1,2,153,1.6933
1971,4,1,3,129,2.1969
1971,4,1,4,149,3.0710
1971,4,1,5,216,3.4856
1971,4,2,1,40,5.4434
1971,4,2,2,42,4.1272
1971,4,2,3,73,4.9986
1971,4,2,4,83,4.2980
1971,4,2,5,103,3.1199
1971,4,3,1,70,4.6078
1971,4,3,2,48,0.0208
1971,4,3,3,152,3.6632
1971,4,3,4,139,3.7398
1971,4,3,5,133,3.0327
1971,5,1,1,69,-6.4101
1971,5,1,2,150,-5.0885
1971,5,1,3,128,-5.9386
1971,5,1,4,148,-5.2838
1971,5,1,5,215,-8.3509
1971,5,2,1,39,-3.7491
1971,5,2,2,42,-4.0995
1971,5,2,3,73,-4.7415
1971,5,2,4,83,-5.6462
1971,5,2,5,104,-3.9661
1971,5,3,1,70,-3.6839
1971,5,3,2,48,-2.8148
1971,5,3,3,152,-3.1670
1971,5,3,4,139,-3.8209
1971,5,3,5,133,-3.7058
1971,6,1,1,69,-2.1652
1971,6,1,2,150,-2.4396
1971,6,1,3,127,-0.0625
1971,6,1,4,145,-2.3021
1971,6,1,5,213,-3.6157
1971,6,2,1,39,0.6810
1971,6,2,2,41,-0.7399
1971,6,2,3,73,-2.4621
1971,6,2,4,83,-0.8076
1971,6,2,5,104,-0.4263
1971,6,3,1,70,-0.0752
1971,6,3,2,48,-0.7901
1971,6,3,3,152,0.7278
1971,6,3,4,139,0.1569
1971,6,3,5,132,1.4936
1971,7,1,1,163,-6.9478
1971,7,1,2,224,-5.0885
1971,7,1,3,116,-5.8160
1971,7,1,4,151,-7.0336
1971,7,1,5,138,-8.6251
1971,7,2,1,79,-4.4538
1971,7,2,2,63,-3.2151
1971,7,2,3,73,-4.1248
1971,7,2,4,81,-5.2543
1971,7,2,5,78,-5.5221
1971,7,3,1,85,-3.0650
1971,7,3,2,64,-5.0696
1971,7,3,3,138,-4.4022
1971,7,3,4,134,-4.4243
1971,7,3,5,150,-3.5218
1971,8,1,1,163,3.9762
1971,8,1,2,223,6.2076
1971,8,1,3,116,3.4071
1971,8,1,4,151,2.7447
1971,8,1,5,138,4.3588
1971,8,2,1,79,5.6654
1971,8,2,2,63,4.7441
1971,8,2,3,73,5.3887
