year,month,rank_ME,rank_IG2,nstocks,ret_vw
1970,4,3,1,65,-7.6796
1970,4,3,2,99,-9.3512
1970,4,3,3,99,-8.9416
1970,4,3,4,96,-9.1142
1970,4,3,5,71,-11.6372
1970,5,1,1,111,-9.5313
1970,5,1,2,52,-9.5985
1970,5,1,3,57,-10.1135
1970,5,1,4,54,-8.8364
1970,5,1,5,108,-9.3578
1970,5,2,1,46,-9.7432
1970,5,2,2,38,-6.7781
1970,5,2,3,45,-10.3330
1970,5,2,4,46,-8.8494
1970,5,2,5,56,-12.5871
1970,5,3,1,65,-4.9601
1970,5,3,2,99,-6.4416
1970,5,3,3,99,-4.6298
1970,5,3,4,96,-4.5681
1970,5,3,5,71,-8.3260
1970,6,1,1,109,-7.0464
1970,6,1,2,52,-8.3532
1970,6,1,3,56,-9.7951
1970,6,1,4,54,-6.8376
1970,6,1,5,108,-11.5504
1970,6,2,1,45,-7.7218
1970,6,2,2,38,-6.4964
1970,6,2,3,45,-6.0360
1970,6,2,4,46,-5.6729
1970,6,2,5,56,-7.0807
1970,6,3,1,65,-4.5701
1970,6,3,2,99,-6.2312
1970,6,3,3,99,-3.9214
1970,6,3,4,96,-3.3125
1970,6,3,5,71,-7.1932
1970,7,1,1,142,5.5181
1970,7,1,2,85,4.2331
1970,7,1,3,69,1.7415
1970,7,1,4,62,7.1990
1970,7,1,5,140,6.7159
1970,7,2,1,54,7.2144
1970,7,2,2,49,9.4015
1970,7,2,3,36,6.3940
1970,7,2,4,59,8.9403
1970,7,2,5,77,9.7622
1970,7,3,1,67,8.1872
1970,7,3,2,97,7.3622
1970,7,3,3,114,7.2304
1970,7,3,4,95,7.1300
1970,7,3,5,60,7.9036
1970,8,1,1,141,6.6252
1970,8,1,2,85,6.1776
1970,8,1,3,69,8.6567
1970,8,1,4,62,6.9391
1970,8,1,5,140,6.1734
1970,8,2,1,54,9.3307
1970,8,2,2,49,5.8580
1970,8,2,3,36,7.7080
1970,8,2,4,59,5.2829
1970,8,2,5,77,7.8905
1970,8,3,1,67,3.7796
1970,8,3,2,97,4.5759
1970,8,3,3,114,4.4010
1970,8,3,4,95,5.9501
1970,8,3,5,60,7.0351
1970,9,1,1,141,13.6900
1970,9,1,2,85,16.8836
1970,9,1,3,69,14.2612
1970,9,1,4,62,11.1041
1970,9,1,5,140,16.1308
1970,9,2,1,53,11.7585
1970,9,2,2,49,7.8340
1970,9,2,3,36,10.1888
1970,9,2,4,59,11.0516
1970,9,2,5,77,12.8553
1970,9,3,1,67,5.4350
1970,9,3,2,97,3.0344
1970,9,3,3,114,3.7316
1970,9,3,4,95,3.0247
1970,9,3,5,59,8.3479
1970,10,1,1,142,-8.6949
