year,month,rank_ME,rank_dLNO,nstocks,ret_vw
1970,5,3,1,65,-6.9397
1970,5,3,2,93,-7.1507
1970,5,3,3,106,-6.0844
1970,5,3,4,106,-4.0933
1970,5,3,5,86,-5.7989
1970,6,1,1,211,-6.2530
1970,6,1,2,119,-9.3295
1970,6,1,3,83,-9.4484
1970,6,1,4,87,-8.4165
1970,6,1,5,122,-10.7930
1970,6,2,1,54,-7.2083
1970,6,2,2,54,-5.1825
1970,6,2,3,47,-8.8153
1970,6,2,4,54,-6.7634
1970,6,2,5,80,-7.5705
1970,6,3,1,65,-3.0335
1970,6,3,2,93,-4.3727
1970,6,3,3,106,-5.5254
1970,6,3,4,106,-4.5303
1970,6,3,5,86,-6.6817
1970,7,1,1,243,3.6714
1970,7,1,2,107,6.9123
1970,7,1,3,89,7.9087
1970,7,1,4,95,4.7451
1970,7,1,5,178,3.8502
1970,7,2,1,64,6.0615
1970,7,2,2,66,6.0613
1970,7,2,3,60,10.2084
1970,7,2,4,53,10.8272
1970,7,2,5,80,6.7839
1970,7,3,1,64,9.0339
1970,7,3,2,78,6.3948
1970,7,3,3,95,8.8685
1970,7,3,4,117,7.5578
1970,7,3,5,93,4.7660
1970,8,1,1,241,5.6924
1970,8,1,2,107,4.7340
1970,8,1,3,89,5.7096
1970,8,1,4,95,8.0305
1970,8,1,5,177,7.6298
1970,8,2,1,64,8.4739
1970,8,2,2,66,5.1858
1970,8,2,3,60,7.3888
1970,8,2,4,53,8.7192
1970,8,2,5,80,6.2500
1970,8,3,1,64,2.5125
1970,8,3,2,78,4.8919
1970,8,3,3,95,4.8651
1970,8,3,4,117,5.4252
1970,8,3,5,93,5.3005
1970,9,1,1,240,16.0387
1970,9,1,2,106,14.6187
1970,9,1,3,89,12.8684
1970,9,1,4,95,13.3636
1970,9,1,5,177,17.1160
1970,9,2,1,64,10.5276
1970,9,2,2,65,11.1204
1970,9,2,3,60,9.0627
1970,9,2,4,53,12.6144
1970,9,2,5,80,14.1195
1970,9,3,1,64,6.6035
1970,9,3,2,78,6.5281
1970,9,3,3,95,2.7742
1970,9,3,4,116,1.5282
1970,9,3,5,93,7.6569
1970,10,1,1,241,-7.5603
1970,10,1,2,106,-8.6216
1970,10,1,3,89,-7.0200
1970,10,1,4,95,-8.1913
1970,10,1,5,176,-8.2639
1970,10,2,1,64,-5.3728
1970,10,2,2,65,-5.8639
1970,10,2,3,60,-4.3864
1970,10,2,4,53,-5.3550
1970,10,2,5,79,-6.2981
1970,10,3,1,64,-1.9824
1970,10,3,2,78,-1.4073
1970,10,3,3,95,0.5666
1970,10,3,4,116,-1.6870
1970,10,3,5,93,-0.6349
1970,11,1,1,240,-0.8381
1970,11,1,2,106,-1.7113
1970,11,1,3,89,-1.0152
1970,11,1,4,95,-2.4977
1970,11,1,5,175,-1.6570
1970,11,2,1,64,0.5950
1970,11,2,2,65,2.4966
1970,11,2,3,59,4.0655
1970,11,2,4,53,4.1989
1970,11,2,5,79,2.2059
1970,11,3,1,64,6.0951
1970,11,3,2,78,5.3476
1970,11,3,3,95,4.6908
1970,11,3,4,116,5.7864
1970,11,3,5,93,3.8889
1970,12,1,1,238,8.2240
1970,12,1,2,106,13.0952
1970,12,1,3,89,11.5366
1970,12,1,4,95,8.3497
1970,12,1,5,175,9.1009
1970,12,2,1,64,10.1375
1970,12,2,2,65,9.9646
1970,12,2,3,59,9.3586
1970,12,2,4,53,6.0179
1970,12,2,5,79,8.8490
1970,12,3,1,64,4.4179
1970,12,3,2,77,8.1044
1970,12,3,3,95,4.7325
1970,12,3,4,116,6.6378
1970,12,3,5,93,4.1280
1971,1,1,1,238,16.1324
1971,1,1,2,106,11.5682
1971,1,1,3,89,16.0151
1971,1,1,4,94,15.5988
1971,1,1,5,174,14.8220
1971,1,2,1,62,12.9896
1971,1,2,2,65,10.9414
1971,1,2,3,59,12.6712
1971,1,2,4,53,10.3615
1971,1,2,5,79,8.5160
1971,1,3,1,64,6.3148
1971,1,3,2,77,6.7599
1971,1,3,3,95,1.7728
1971,1,3,4,116,4.4572
1971,1,3,5,93,4.9598
1971,2,1,1,238,4.1679
1971,2,1,2,104,5.6721
1971,2,1,3,89,2.8995
1971,2,1,4,94,5.1427
1971,2,1,5,173,5.6386
1971,2,2,1,61,3.4396
1971,2,2,2,65,1.5866
1971,2,2,3,59,3.9362
1971,2,2,4,53,2.3085
1971,2,2,5,79,2.6902
1971,2,3,1,64,0.5411
1971,2,3,2,77,2.2633
1971,2,3,3,95,3.3404
1971,2,3,4,116,0.6520
1971,2,3,5,93,2.3256
