year,month,rank_ME,rank_NXF,nstocks,ret_vw
1976,12,3,4,149,4.3297
1976,12,3,5,145,4.4263
1977,1,1,1,433,3.4426
1977,1,1,2,380,4.6868
1977,1,1,3,483,4.4407
1977,1,1,4,264,4.0317
1977,1,1,5,343,5.2417
1977,1,2,1,125,0.2668
1977,1,2,2,118,-1.3868
1977,1,2,3,111,1.7205
1977,1,2,4,109,3.5919
1977,1,2,5,120,2.6137
1977,1,3,1,129,-4.5013
1977,1,3,2,115,-3.2095
1977,1,3,3,110,-3.1717
1977,1,3,4,149,-5.1458
1977,1,3,5,145,-4.6691
1977,2,1,1,421,-0.0793
1977,2,1,2,376,0.2525
1977,2,1,3,475,0.6260
1977,2,1,4,261,-1.5530
1977,2,1,5,342,-0.8464
1977,2,2,1,125,-1.2745
1977,2,2,2,113,-0.6940
1977,2,2,3,111,-0.6642
1977,2,2,4,108,-1.3320
1977,2,2,5,117,-1.6962
