year,month,rank_ME,rank_NDF,nstocks,ret_vw
1975,12,3,2,160,-1.5895
1975,12,3,3,131,-2.5137
1975,12,3,4,138,-0.1817
1975,12,3,5,128,-0.4570
1976,1,1,1,484,22.4041
1976,1,1,2,376,23.1009
1976,1,1,3,160,22.1781
1976,1,1,4,217,21.7959
1976,1,1,5,327,23.9996
1976,1,2,1,115,17.0727
1976,1,2,2,146,18.9691
1976,1,2,3,70,19.8737
1976,1,2,4,104,19.1887
1976,1,2,5,141,18.6793
1976,1,3,1,91,13.2540
1976,1,3,2,160,12.1297
1976,1,3,3,131,10.5898
1976,1,3,4,138,11.1581
1976,1,3,5,128,14.7805
1976,2,1,1,468,11.2669
1976,2,1,2,362,12.5385
1976,2,1,3,154,11.4800
1976,2,1,4,207,11.1778
1976,2,1,5,321,12.2314
1976,2,2,1,113,6.2445
1976,2,2,2,146,7.7108
1976,2,2,3,70,9.5730
1976,2,2,4,104,5.7825
1976,2,2,5,140,8.1711
1976,2,3,1,92,0.1330
1976,2,3,2,160,-0.6540
1976,2,3,3,130,-1.1622
1976,2,3,4,138,-0.2133
1976,2,3,5,128,0.0292
1976,3,1,1,484,0.9611
1976,3,1,2,376,1.5833
1976,3,1,3,159,2.7309
1976,3,1,4,217,2.3237
1976,3,1,5,326,1.1871
1976,3,2,1,114,2.0260
1976,3,2,2,146,2.7689
1976,3,2,3,70,-1.4621
1976,3,2,4,104,3.1434
1976,3,2,5,140,0.5238
1976,3,3,1,91,1.9602
1976,3,3,2,160,2.3762
1976,3,3,3,130,4.8525
1976,3,3,4,138,2.6034
1976,3,3,5,128,0.5887
1976,4,1,1,479,-1.0423
1976,4,1,2,367,-2.4642
1976,4,1,3,156,-1.9772
1976,4,1,4,215,-1.4795
1976,4,1,5,311,-0.9330
1976,4,2,1,114,-0.0148
1976,4,2,2,145,-1.4045
1976,4,2,3,69,-0.1378
1976,4,2,4,103,0.2130
1976,4,2,5,140,-2.0397
1976,4,3,1,91,-1.3758
1976,4,3,2,160,-1.9197
1976,4,3,3,130,-1.5222
1976,4,3,4,138,0.4938
1976,4,3,5,128,-0.3930
1976,5,1,1,481,-2.9685
1976,5,1,2,374,-3.8191
1976,5,1,3,157,-2.7046
1976,5,1,4,216,-3.4841
1976,5,1,5,322,-2.4517
1976,5,2,1,114,-0.9726
1976,5,2,2,144,-2.0635
1976,5,2,3,69,-2.8499
1976,5,2,4,104,-2.9092
1976,5,2,5,138,-0.4633
1976,5,3,1,91,1.3524
1976,5,3,2,160,-0.7199
1976,5,3,3,130,-1.4429
1976,5,3,4,138,-1.3658
1976,5,3,5,128,-0.5005
1976,6,1,1,481,2.4199
1976,6,1,2,373,2.9693
1976,6,1,3,157,2.7708
1976,6,1,4,215,3.1291
1976,6,1,5,320,3.6645
1976,6,2,1,114,3.9365
1976,6,2,2,144,3.3412
1976,6,2,3,68,4.1682
1976,6,2,4,104,6.3506
1976,6,2,5,139,7.2116
1976,6,3,1,91,6.4554
1976,6,3,2,160,4.2131
1976,6,3,3,130,3.1478
1976,6,3,4,138,5.5294
1976,6,3,5,126,2.7040
1976,7,1,1,606,-0.1263
1976,7,1,2,362,-1.3479
1976,7,1,3,347,0.5879
1976,7,1,4,236,-0.4239
1976,7,1,5,337,0.7353
1976,7,2,1,132,0.7058
1976,7,2,2,111,-0.5777
1976,7,2,3,125,-0.7995
1976,7,2,4,102,0.2795
1976,7,2,5,117,0.6092
1976,7,3,1,84,-0.7378
1976,7,3,2,122,-0.7317
1976,7,3,3,146,-1.3638
1976,7,3,4,159,-0.7513
1976,7,3,5,139,-1.0201
1976,8,1,1,604,-1.4815
1976,8,1,2,361,-2.1038
1976,8,1,3,343,-1.6494
1976,8,1,4,235,-2.7066
1976,8,1,5,337,-3.1357
1976,8,2,1,130,-3.4221
1976,8,2,2,111,-2.4149
1976,8,2,3,125,-2.4444
1976,8,2,4,102,-1.2270
1976,8,2,5,117,-2.3389
1976,8,3,1,84,-2.2996
1976,8,3,2,122,-1.1645
1976,8,3,3,146,0.2941
1976,8,3,4,158,0.4335
1976,8,3,5,139,0.0049
1976,9,1,1,538,1.3608
1976,9,1,2,318,2.3331
1976,9,1,3,304,0.8223
1976,9,1,4,217,2.7970
1976,9,1,5,311,2.3638
1976,9,2,1,123,2.6860
1976,9,2,2,108,2.4462
1976,9,2,3,123,3.0078
1976,9,2,4,101,4.3119
1976,9,2,5,115,4.5870
1976,9,3,1,84,2.4213
1976,9,3,2,122,2.1078
1976,9,3,3,145,2.3276
1976,9,3,4,157,3.1322
1976,9,3,5,139,3.0807
1976,10,1,1,594,-2.4952
1976,10,1,2,359,-2.2536
1976,10,1,3,344,-2.3245
1976,10,1,4,232,-2.3393
1976,10,1,5,336,-2.5613
1976,10,2,1,127,-1.5393
1976,10,2,2,109,-3.4690
1976,10,2,3,125,-2.8883
1976,10,2,4,102,-1.8889
1976,10,2,5,116,-3.2052
1976,10,3,1,84,-4.3654
1976,10,3,2,122,-2.1005
1976,10,3,3,145,-3.0925
1976,10,3,4,158,-1.1187
1976,10,3,5,139,-2.0110
1976,11,1,1,587,3.2364
1976,11,1,2,355,3.1131
1976,11,1,3,340,2.6272
1976,11,1,4,233,2.5925
1976,11,1,5,335,3.9506
1976,11,2,1,127,5.7016
