year,month,rank_ME,rank_dNCA,nstocks,ret_vw
1970,5,1,1,225,-9.3004
1970,5,1,2,119,-7.6110
1970,5,1,3,93,-9.5702
1970,5,1,4,76,-12.6973
1970,5,1,5,132,-7.4888
1970,5,2,1,68,-7.2937
1970,5,2,2,59,-8.2576
1970,5,2,3,69,-9.4301
1970,5,2,4,47,-10.4946
1970,5,2,5,82,-12.7593
1970,5,3,1,73,-5.1553
1970,5,3,2,106,-5.3559
1970,5,3,3,115,-7.7342
1970,5,3,4,129,-3.8049
1970,5,3,5,111,-8.5116
1970,6,1,1,224,-6.2778
1970,6,1,2,118,-8.5329
1970,6,1,3,93,-10.4205
1970,6,1,4,76,-8.6983
1970,6,1,5,131,-10.9342
1970,6,2,1,67,-6.6123
1970,6,2,2,59,-5.6067
1970,6,2,3,69,-6.4362
1970,6,2,4,46,-6.9909
1970,6,2,5,81,-7.9565
1970,6,3,1,73,-6.5312
1970,6,3,2,106,-3.6814
1970,6,3,3,115,-5.1890
1970,6,3,4,129,-4.9595
1970,6,3,5,111,-4.9453
1970,7,1,1,257,4.6384
1970,7,1,2,118,7.3256
1970,7,1,3,93,5.5998
1970,7,1,4,91,4.2789
1970,7,1,5,178,3.0852
1970,7,2,1,72,5.7384
1970,7,2,2,65,9.0112
1970,7,2,3,62,8.1042
1970,7,2,4,64,8.3384
1970,7,2,5,88,6.4900
1970,7,3,1,73,7.2681
1970,7,3,2,104,8.7441
1970,7,3,3,124,7.9807
1970,7,3,4,131,6.3402
1970,7,3,5,114,7.5018
1970,8,1,1,256,5.8526
1970,8,1,2,118,5.7525
1970,8,1,3,93,5.0219
1970,8,1,4,91,8.4854
1970,8,1,5,177,7.2359
1970,8,2,1,72,8.5550
1970,8,2,2,65,6.3415
1970,8,2,3,62,6.1860
1970,8,2,4,64,6.6997
1970,8,2,5,87,6.3015
1970,8,3,1,73,2.9166
1970,8,3,2,104,6.1388
1970,8,3,3,124,5.1010
1970,8,3,4,131,4.4868
1970,8,3,5,114,4.9328
1970,9,1,1,254,14.0720
1970,9,1,2,118,14.8660
1970,9,1,3,92,12.2470
1970,9,1,4,91,14.3529
1970,9,1,5,177,18.4074
1970,9,2,1,72,9.3696
1970,9,2,2,65,8.4782
1970,9,2,3,61,11.0473
1970,9,2,4,64,10.1992
1970,9,2,5,87,14.8211
1970,9,3,1,73,6.5561
1970,9,3,2,104,2.3777
1970,9,3,3,124,2.5193
1970,9,3,4,131,3.7455
1970,9,3,5,113,5.8321
1970,10,1,1,254,-7.3764
1970,10,1,2,118,-5.9223
1970,10,1,3,92,-7.1691
1970,10,1,4,91,-6.6948
1970,10,1,5,177,-10.6953
1970,10,2,1,72,-5.3736
1970,10,2,2,65,-4.2090
1970,10,2,3,61,-4.0075
1970,10,2,4,63,-5.1147
1970,10,2,5,87,-7.0142
1970,10,3,1,73,-1.5588
1970,10,3,2,104,-1.7776
1970,10,3,3,124,0.5751
1970,10,3,4,131,-1.7037
1970,10,3,5,113,-1.1592
1970,11,1,1,253,-0.6795
1970,11,1,2,118,-3.3058
1970,11,1,3,92,-0.3642
1970,11,1,4,90,2.0395
1970,11,1,5,176,-3.3944
1970,11,2,1,72,1.9710
1970,11,2,2,65,2.9457
1970,11,2,3,60,3.9637
1970,11,2,4,63,5.0021
1970,11,2,5,87,1.2386
1970,11,3,1,73,4.6736
1970,11,3,2,104,6.4870
1970,11,3,3,124,5.1473
1970,11,3,4,131,5.8568
1970,11,3,5,113,4.3969
1970,12,1,1,251,8.9013
1970,12,1,2,118,11.5651
1970,12,1,3,92,12.1599
1970,12,1,4,90,9.1746
1970,12,1,5,175,8.3257
1970,12,2,1,72,10.5954
1970,12,2,2,65,9.1148
1970,12,2,3,60,6.9493
1970,12,2,4,63,8.2424
1970,12,2,5,87,8.2382
1970,12,3,1,73,5.8597
1970,12,3,2,103,5.9992
1970,12,3,3,124,5.9914
1970,12,3,4,131,6.1122
1970,12,3,5,113,5.0865
1971,1,1,1,251,16.3670
1971,1,1,2,118,12.2588
1971,1,1,3,92,13.8211
1971,1,1,4,88,14.2780
1971,1,1,5,174,15.3044
1971,1,2,1,71,14.3395
1971,1,2,2,64,9.7073
1971,1,2,3,60,11.1159
1971,1,2,4,63,9.9635
1971,1,2,5,87,9.1332
1971,1,3,1,73,7.3559
1971,1,3,2,103,5.4408
1971,1,3,3,124,0.6837
1971,1,3,4,131,5.4531
1971,1,3,5,113,5.9441
1971,2,1,1,251,4.2207
1971,2,1,2,116,4.9340
1971,2,1,3,92,5.4441
1971,2,1,4,88,4.7027
1971,2,1,5,172,5.2162
1971,2,2,1,70,2.4213
1971,2,2,2,64,2.5562
1971,2,2,3,60,3.4555
1971,2,2,4,63,2.0625
1971,2,2,5,87,1.9057
1971,2,3,1,73,3.2032
1971,2,3,2,103,1.0152
1971,2,3,3,124,3.2460
1971,2,3,4,130,-0.0942
1971,2,3,5,113,1.2076
1971,3,1,1,251,8.5014
1971,3,1,2,116,4.9729
1971,3,1,3,92,4.8166
1971,3,1,4,88,7.7462
1971,3,1,5,171,4.8921
1971,3,2,1,70,5.7900
1971,3,2,2,64,5.4305
1971,3,2,3,60,6.8355
1971,3,2,4,63,6.7820
1971,3,2,5,87,6.7658
1971,3,3,1,72,4.4968
1971,3,3,2,103,3.3860
1971,3,3,3,124,3.5369
1971,3,3,4,129,4.0081
1971,3,3,5,113,5.2912
1971,4,1,1,250,2.4622
1971,4,1,2,115,2.1139
1971,4,1,3,92,3.1992
1971,4,1,4,88,1.5604
1971,4,1,5,171,2.1921
1971,4,2,1,70,6.0230
1971,4,2,2,63,5.3421
1971,4,2,3,59,5.5259
1971,4,2,4,63,2.3107
1971,4,2,5,86,2.4115
1971,4,3,1,72,5.2356
1971,4,3,2,103,6.2947
1971,4,3,3,124,3.4113
1971,4,3,4,129,2.0873
1971,4,3,5,113,2.8361
1971,5,1,1,248,-5.4267
1971,5,1,2,112,-6.0622
1971,5,1,3,92,-5.9575
1971,5,1,4,88,-6.6193
1971,5,1,5,171,-8.5186
1971,5,2,1,69,-2.9635
1971,5,2,2,64,-3.9433
1971,5,2,3,59,-6.2391
1971,5,2,4,63,-4.2175
1971,5,2,5,86,-5.1930
1971,5,3,1,72,-2.2295
1971,5,3,2,103,-2.9367
1971,5,3,3,124,-3.4620
1971,5,3,4,129,-4.3718
1971,5,3,5,113,-3.4909
1971,6,1,1,246,-2.3249
1971,6,1,2,111,-2.0810
1971,6,1,3,92,-2.8513
1971,6,1,4,87,-0.5901
1971,6,1,5,169,-3.2616
1971,6,2,1,69,-1.7444
1971,6,2,2,64,-2.3095
1971,6,2,3,59,-0.1342
1971,6,2,4,63,-0.0683
1971,6,2,5,85,-0.1746
1971,6,3,1,71,1.4559
1971,6,3,2,103,-1.1917
1971,6,3,3,124,0.7277
1971,6,3,4,129,0.6198
1971,6,3,5,113,1.2741
1971,7,1,1,312,-6.1522
1971,7,1,2,147,-7.8370
1971,7,1,3,105,-5.3689
1971,7,1,4,95,-4.7429
1971,7,1,5,131,-8.8891
1971,7,2,1,76,-5.9449
1971,7,2,2,82,-4.3071
1971,7,2,3,79,-4.9606
1971,7,2,4,55,-3.6080
1971,7,2,5,81,-4.2978
1971,7,3,1,50,-8.6008
1971,7,3,2,105,-4.9873
1971,7,3,3,121,-2.1419
1971,7,3,4,150,-4.1396
1971,7,3,5,145,-5.0498
1971,8,1,1,311,5.3877
1971,8,1,2,147,3.8169
1971,8,1,3,105,6.5569
1971,8,1,4,95,1.8357
1971,8,1,5,131,2.3542
1971,8,2,1,76,7.3000
1971,8,2,2,82,4.3652
1971,8,2,3,79,4.7888
1971,8,2,4,55,4.1322
1971,8,2,5,81,2.5851
1971,8,3,1,50,9.3741
1971,8,3,2,105,6.2258
1971,8,3,3,120,3.7913
1971,8,3,4,150,4.0834
1971,8,3,5,144,2.5004
1971,9,1,1,311,-1.7960
1971,9,1,2,147,0.7059
