year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1970,10,3,1,81,-1.7411
1970,10,3,2,97,-2.0162
1970,10,3,3,125,0.3099
1970,10,3,4,124,-1.4181
1970,10,3,5,109,-0.9638
1970,11,1,1,228,-0.9438
1970,11,1,2,100,-3.9642
1970,11,1,3,82,-0.0401
1970,11,1,4,97,0.7320
1970,11,1,5,172,-3.2378
1970,11,2,1,62,1.9855
1970,11,2,2,65,2.5754
1970,11,2,3,58,4.2789
1970,11,2,4,63,3.9434
1970,11,2,5,78,1.8981
1970,11,3,1,81,4.9007
1970,11,3,2,97,6.5278
1970,11,3,3,125,4.9044
1970,11,3,4,124,5.8845
1970,11,3,5,109,4.7639
1970,12,1,1,227,8.8624
1970,12,1,2,100,11.9255
1970,12,1,3,82,11.5984
1970,12,1,4,97,9.8800
1970,12,1,5,171,8.7590
1970,12,2,1,62,10.3863
1970,12,2,2,65,9.4814
1970,12,2,3,58,6.3690
1970,12,2,4,63,9.3081
1970,12,2,5,78,8.0578
1970,12,3,1,81,5.8724
1970,12,3,2,97,6.6904
1970,12,3,3,125,5.5693
1970,12,3,4,124,6.1201
1970,12,3,5,109,4.9159
1971,1,1,1,227,15.7336
1971,1,1,2,100,13.6277
1971,1,1,3,82,13.5603
1971,1,1,4,97,13.7442
1971,1,1,5,169,16.0072
1971,1,2,1,62,15.3789
1971,1,2,2,64,9.5876
1971,1,2,3,58,12.4025
1971,1,2,4,63,8.5332
1971,1,2,5,78,8.6501
1971,1,3,1,81,7.2571
1971,1,3,2,97,5.1789
1971,1,3,3,125,1.4606
1971,1,3,4,124,4.8842
1971,1,3,5,109,5.7671
1971,2,1,1,227,4.0163
1971,2,1,2,100,5.1402
1971,2,1,3,82,3.8089
1971,2,1,4,97,6.3905
1971,2,1,5,167,4.7480
1971,2,2,1,62,2.1279
1971,2,2,2,64,3.5491
1971,2,2,3,58,1.5693
1971,2,2,4,63,2.8414
1971,2,2,5,78,2.0912
1971,2,3,1,81,2.8386
1971,2,3,2,97,0.7110
1971,2,3,3,125,3.2596
1971,2,3,4,124,0.1769
1971,2,3,5,109,0.9949
1971,3,1,1,227,7.8987
1971,3,1,2,100,5.2833
1971,3,1,3,82,5.9907
1971,3,1,4,97,7.1578
1971,3,1,5,166,5.2014
1971,3,2,1,62,6.7681
1971,3,2,2,64,4.1653
1971,3,2,3,58,8.8113
1971,3,2,4,63,5.9702
1971,3,2,5,78,6.6184
1971,3,3,1,80,4.5265
1971,3,3,2,97,3.5443
1971,3,3,3,125,3.6532
1971,3,3,4,124,3.7466
1971,3,3,5,109,5.3825
1971,4,1,1,227,2.2373
1971,4,1,2,99,2.9162
1971,4,1,3,82,4.1059
1971,4,1,4,97,1.1397
1971,4,1,5,166,2.1624
1971,4,2,1,62,6.8057
1971,4,2,2,63,3.3839
1971,4,2,3,58,5.6474
1971,4,2,4,63,2.3044
1971,4,2,5,78,2.4750
1971,4,3,1,80,4.7854
1971,4,3,2,97,6.4320
1971,4,3,3,125,3.2928
1971,4,3,4,124,2.2047
1971,4,3,5,109,2.8156
1971,5,1,1,227,-5.7778
1971,5,1,2,98,-4.8626
1971,5,1,3,82,-6.0623
1971,5,1,4,97,-6.6496
1971,5,1,5,166,-7.9622
1971,5,2,1,62,-1.9449
1971,5,2,2,63,-5.1346
1971,5,2,3,58,-5.1945
1971,5,2,4,63,-5.4692
1971,5,2,5,78,-4.6523
1971,5,3,1,80,-2.7611
1971,5,3,2,97,-2.8330
1971,5,3,3,125,-3.4030
1971,5,3,4,124,-4.3257
1971,5,3,5,109,-3.5338
1971,6,1,1,226,-2.5705
1971,6,1,2,97,-1.1999
1971,6,1,3,82,-2.5643
1971,6,1,4,97,-1.2260
1971,6,1,5,165,-2.9030
1971,6,2,1,62,-1.7373
1971,6,2,2,63,-1.9523
1971,6,2,3,58,-1.4506
1971,6,2,4,63,0.9023
1971,6,2,5,77,-0.1953
1971,6,3,1,80,1.3590
1971,6,3,2,97,-0.7401
1971,6,3,3,125,0.2664
1971,6,3,4,124,0.7210
1971,6,3,5,109,1.4061
1971,7,1,1,303,-6.1358
1971,7,1,2,140,-6.9652
1971,7,1,3,96,-5.4807
1971,7,1,4,93,-5.8235
1971,7,1,5,126,-8.7344
1971,7,2,1,70,-6.4973
1971,7,2,2,83,-4.2722
1971,7,2,3,74,-3.6168
1971,7,2,4,56,-4.3240
1971,7,2,5,78,-4.5858
1971,7,3,1,53,-7.9829
1971,7,3,2,103,-5.3978
1971,7,3,3,120,-2.2657
1971,7,3,4,147,-3.6136
1971,7,3,5,144,-5.1310
1971,8,1,1,302,5.1478
1971,8,1,2,140,5.3055
1971,8,1,3,96,5.6951
1971,8,1,4,93,2.6139
1971,8,1,5,126,1.8359
1971,8,2,1,70,7.0123
1971,8,2,2,83,5.3015
1971,8,2,3,74,3.1541
1971,8,2,4,56,4.3950
1971,8,2,5,78,2.9321
1971,8,3,1,53,8.9755
1971,8,3,2,103,6.1051
1971,8,3,3,120,3.5497
1971,8,3,4,147,4.3398
1971,8,3,5,143,2.5735
1971,9,1,1,302,-1.1758
1971,9,1,2,140,-0.6964
