year,month,rank_ME,rank_dLTI,nstocks,ret_vw
1969,9,2,2,35,0.8539
1969,9,2,3,19,0.3248
1969,9,2,4,28,-2.4916
1969,9,2,5,42,0.3336
1969,9,3,1,52,-1.9329
1969,9,3,2,72,-1.8156
1969,9,3,3,54,-5.4022
1969,9,3,4,56,-2.8353
1969,9,3,5,55,-2.5776
1969,10,1,1,78,8.8998
1969,10,1,2,73,11.3615
1969,10,1,3,17,5.9649
1969,10,1,4,57,8.2546
1969,10,1,5,58,11.9319
1969,10,2,1,31,6.5659
1969,10,2,2,35,7.7603
1969,10,2,3,19,5.7616
1969,10,2,4,28,6.2055
1969,10,2,5,42,10.0093
1969,10,3,1,52,4.6779
1969,10,3,2,72,4.7259
1969,10,3,3,54,4.4041
1969,10,3,4,56,4.7676
1969,10,3,5,54,3.6099
1969,11,1,1,78,-5.6516
1969,11,1,2,73,-5.0841
1969,11,1,3,17,-5.2870
1969,11,1,4,57,-5.0199
1969,11,1,5,58,-9.1852
1969,11,2,1,31,-4.6731
1969,11,2,2,35,-5.2674
1969,11,2,3,19,-4.9659
1969,11,2,4,28,-4.9162
1969,11,2,5,41,-3.8127
1969,11,3,1,52,-2.5850
1969,11,3,2,72,-4.2669
1969,11,3,3,54,-1.4533
1969,11,3,4,56,-4.5529
1969,11,3,5,55,-3.2309
1969,12,1,1,78,-7.1045
1969,12,1,2,73,-4.4885
1969,12,1,3,17,-4.7111
1969,12,1,4,57,-8.0017
1969,12,1,5,58,-7.1166
1969,12,2,1,31,-2.3890
1969,12,2,2,35,-2.3350
1969,12,2,3,19,-5.5322
1969,12,2,4,28,-5.2252
1969,12,2,5,40,-6.7167
1969,12,3,1,52,-3.0666
1969,12,3,2,72,-3.0987
1969,12,3,3,54,-3.4232
1969,12,3,4,56,1.4403
1969,12,3,5,55,-3.4035
1970,1,1,1,78,-3.7533
1970,1,1,2,73,-0.3517
1970,1,1,3,17,-2.6820
1970,1,1,4,57,-0.9570
1970,1,1,5,58,-4.4449
1970,1,2,1,31,-2.7925
1970,1,2,2,35,-5.6604
1970,1,2,3,19,-1.8563
1970,1,2,4,28,-5.9681
1970,1,2,5,41,-7.0544
1970,1,3,1,52,-8.8792
1970,1,3,2,72,-5.9540
1970,1,3,3,54,-6.5614
1970,1,3,4,56,-9.2599
1970,1,3,5,55,-11.4438
1970,2,1,1,78,2.3525
1970,2,1,2,73,1.0265
1970,2,1,3,17,2.7962
1970,2,1,4,57,3.3644
1970,2,1,5,58,3.4754
1970,2,2,1,31,6.2564
1970,2,2,2,35,3.6793
1970,2,2,3,19,3.0796
1970,2,2,4,28,5.6444
1970,2,2,5,41,5.0541
1970,2,3,1,52,6.4771
1970,2,3,2,72,7.2493
1970,2,3,3,54,7.7809
1970,2,3,4,56,6.1512
1970,2,3,5,55,5.7606
1970,3,1,1,78,-3.8634
1970,3,1,2,73,-4.6463
1970,3,1,3,17,0.3535
1970,3,1,4,57,-1.7151
1970,3,1,5,58,-2.3928
1970,3,2,1,31,-1.7200
1970,3,2,2,35,-1.8267
1970,3,2,3,19,1.3040
1970,3,2,4,28,-2.4229
1970,3,2,5,42,-3.6521
1970,3,3,1,52,-0.8604
1970,3,3,2,72,3.0459
1970,3,3,3,54,-0.0696
1970,3,3,4,56,-1.2121
1970,3,3,5,55,-1.2411
1970,4,1,1,78,-20.4584
1970,4,1,2,73,-17.0553
1970,4,1,3,17,-9.4587
1970,4,1,4,57,-18.3288
1970,4,1,5,58,-19.1474
1970,4,2,1,31,-13.9873
1970,4,2,2,35,-12.7318
1970,4,2,3,19,-14.9572
1970,4,2,4,28,-14.2700
1970,4,2,5,42,-18.8918
1970,4,3,1,52,-9.7038
1970,4,3,2,72,-9.0403
1970,4,3,3,54,-6.7043
1970,4,3,4,56,-9.2342
1970,4,3,5,55,-11.8641
1970,5,1,1,78,-7.1194
1970,5,1,2,73,-11.0755
1970,5,1,3,17,-6.3815
1970,5,1,4,57,-11.1666
1970,5,1,5,57,-9.7122
1970,5,2,1,31,-9.3783
1970,5,2,2,35,-9.4890
1970,5,2,3,19,-13.7452
1970,5,2,4,28,-8.6769
1970,5,2,5,42,-10.8497
1970,5,3,1,52,-6.5358
1970,5,3,2,72,-5.0024
1970,5,3,3,54,-2.7498
1970,5,3,4,56,-6.2758
1970,5,3,5,55,-8.4540
1970,6,1,1,77,-9.4665
1970,6,1,2,73,-8.7881
1970,6,1,3,17,-5.5963
1970,6,1,4,57,-6.8828
1970,6,1,5,57,-7.5040
1970,6,2,1,31,-6.3911
1970,6,2,2,35,-7.0381
1970,6,2,3,19,-3.2807
1970,6,2,4,28,-9.4439
1970,6,2,5,41,-9.2382
1970,6,3,1,52,-3.8447
1970,6,3,2,72,-3.8060
1970,6,3,3,54,-5.5025
1970,6,3,4,56,-3.3148
1970,6,3,5,55,-4.6263
1970,7,1,1,101,5.2583
1970,7,1,2,57,3.1763
1970,7,1,3,36,7.1147
1970,7,1,4,67,3.7702
1970,7,1,5,88,4.7678
1970,7,2,1,36,11.2901
1970,7,2,2,32,8.0245
1970,7,2,3,25,8.0710
