year,month,rank_ME,rank_POA,nstocks,ret_vw
1970,5,2,5,73,-11.9022
1970,5,3,1,84,-5.4394
1970,5,3,2,105,-2.6584
1970,5,3,3,104,-6.6102
1970,5,3,4,87,-8.5072
1970,5,3,5,64,-9.7624
1970,6,1,1,132,-9.3450
1970,6,1,2,75,-6.3520
1970,6,1,3,62,-6.9203
1970,6,1,4,90,-8.9232
1970,6,1,5,159,-10.1842
1970,6,2,1,38,-8.2726
1970,6,2,2,41,-7.0577
1970,6,2,3,49,-6.5849
1970,6,2,4,61,-5.5364
1970,6,2,5,73,-8.5663
1970,6,3,1,84,-7.3143
1970,6,3,2,105,-3.7817
1970,6,3,3,104,-3.3990
1970,6,3,4,87,-4.5943
1970,6,3,5,64,-6.9434
1970,7,1,1,150,3.7922
1970,7,1,2,85,9.4980
1970,7,1,3,78,5.2088
1970,7,1,4,95,3.9898
1970,7,1,5,207,4.0963
1970,7,2,1,57,8.0299
1970,7,2,2,51,9.3277
1970,7,2,3,47,9.4896
1970,7,2,4,67,7.4627
1970,7,2,5,73,8.3979
1970,7,3,1,73,10.2495
1970,7,3,2,112,7.3683
1970,7,3,3,114,5.9890
1970,7,3,4,88,5.8886
1970,7,3,5,59,4.7105
1970,8,1,1,150,8.1428
1970,8,1,2,85,6.1606
1970,8,1,3,78,7.2119
1970,8,1,4,95,5.7425
1970,8,1,5,207,6.0163
1970,8,2,1,57,10.6335
1970,8,2,2,51,4.7222
1970,8,2,3,47,7.6522
1970,8,2,4,67,5.8416
1970,8,2,5,73,8.3596
1970,8,3,1,73,3.8358
1970,8,3,2,112,5.9168
1970,8,3,3,114,3.3243
1970,8,3,4,88,4.6347
1970,8,3,5,59,8.8289
1970,9,1,1,150,14.9045
1970,9,1,2,85,11.3724
1970,9,1,3,78,11.9419
1970,9,1,4,95,14.8771
1970,9,1,5,206,18.7330
1970,9,2,1,57,11.8853
1970,9,2,2,51,10.3084
1970,9,2,3,47,10.9937
1970,9,2,4,67,10.9608
1970,9,2,5,73,14.9982
1970,9,3,1,73,1.6078
1970,9,3,2,112,3.3563
1970,9,3,3,114,3.7698
1970,9,3,4,88,7.3693
1970,9,3,5,58,10.0254
1970,10,1,1,150,-6.7365
1970,10,1,2,85,-5.5344
1970,10,1,3,78,-6.0896
1970,10,1,4,95,-9.0779
1970,10,1,5,207,-10.5396
1970,10,2,1,57,-4.5416
1970,10,2,2,51,-3.7223
1970,10,2,3,47,-6.7612
1970,10,2,4,67,-5.2203
1970,10,2,5,73,-5.9687
1970,10,3,1,73,-2.7888
1970,10,3,2,112,0.3885
1970,10,3,3,114,-0.4681
1970,10,3,4,88,-1.8417
1970,10,3,5,58,-5.8392
1970,11,1,1,150,-0.2739
1970,11,1,2,85,-1.7390
1970,11,1,3,78,-2.2321
1970,11,1,4,95,0.4330
1970,11,1,5,207,-3.3053
1970,11,2,1,57,3.5510
1970,11,2,2,51,3.1346
1970,11,2,3,47,2.6433
1970,11,2,4,67,2.9458
1970,11,2,5,73,0.3544
1970,11,3,1,73,5.3596
1970,11,3,2,112,5.2891
1970,11,3,3,114,4.8479
1970,11,3,4,88,5.7853
1970,11,3,5,58,3.2012
1970,12,1,1,149,8.0819
1970,12,1,2,85,10.2444
1970,12,1,3,78,10.5313
1970,12,1,4,95,12.2612
1970,12,1,5,207,9.5494
1970,12,2,1,57,7.1247
1970,12,2,2,51,8.3443
1970,12,2,3,47,9.3883
1970,12,2,4,67,10.4038
1970,12,2,5,73,8.5702
1970,12,3,1,73,6.6903
1970,12,3,2,112,4.9363
1970,12,3,3,114,6.6359
1970,12,3,4,88,6.3009
1970,12,3,5,58,6.2719
1971,1,1,1,148,15.9094
1971,1,1,2,85,16.0352
1971,1,1,3,78,13.2684
1971,1,1,4,95,13.0222
1971,1,1,5,207,16.1974
1971,1,2,1,57,14.5915
1971,1,2,2,51,11.0739
1971,1,2,3,47,8.7337
1971,1,2,4,67,8.7152
1971,1,2,5,73,12.0114
1971,1,3,1,73,8.6844
1971,1,3,2,112,1.7329
1971,1,3,3,114,4.6494
1971,1,3,4,88,5.4252
1971,1,3,5,58,8.2049
1971,2,1,1,148,3.4266
1971,2,1,2,85,3.5866
1971,2,1,3,78,6.0006
1971,2,1,4,95,5.5056
1971,2,1,5,207,5.1742
1971,2,2,1,57,2.6507
1971,2,2,2,51,0.5288
1971,2,2,3,47,4.7683
1971,2,2,4,67,3.0557
1971,2,2,5,73,2.6984
1971,2,3,1,73,-0.6006
1971,2,3,2,112,3.0882
1971,2,3,3,114,1.4929
1971,2,3,4,88,1.7644
1971,2,3,5,58,1.6581
1971,3,1,1,148,6.9513
1971,3,1,2,85,7.1538
1971,3,1,3,78,6.7562
1971,3,1,4,95,6.7764
1971,3,1,5,207,5.8795
1971,3,2,1,57,5.9651
1971,3,2,2,51,7.5307
1971,3,2,3,47,8.4882
1971,3,2,4,67,6.4947
1971,3,2,5,73,6.4669
1971,3,3,1,73,1.8499
1971,3,3,2,112,4.3116
1971,3,3,3,114,5.2782
1971,3,3,4,88,4.6106
1971,3,3,5,58,6.2027
1971,4,1,1,148,1.5307
1971,4,1,2,85,2.0698
1971,4,1,3,78,2.1223
1971,4,1,4,95,2.0455
1971,4,1,5,207,3.5294
1971,4,2,1,57,6.3630
1971,4,2,2,51,3.4793
1971,4,2,3,47,3.8256
1971,4,2,4,67,5.8150
1971,4,2,5,72,2.1520
1971,4,3,1,73,3.8583
1971,4,3,2,112,4.1702
1971,4,3,3,114,3.6307
1971,4,3,4,88,5.7279
1971,4,3,5,58,5.7797
1971,5,1,1,148,-5.9873
1971,5,1,2,85,-5.0091
1971,5,1,3,78,-6.3678
1971,5,1,4,95,-6.1067
1971,5,1,5,207,-6.8988
1971,5,2,1,57,-4.5505
1971,5,2,2,51,-4.3775
1971,5,2,3,47,-2.5493
1971,5,2,4,67,-4.3610
1971,5,2,5,73,-5.7876
1971,5,3,1,73,-3.9436
1971,5,3,2,112,-5.1235
1971,5,3,3,114,-1.6775
1971,5,3,4,88,-1.5194
1971,5,3,5,58,-3.7548
1971,6,1,1,148,-2.8733
1971,6,1,2,85,-1.1804
1971,6,1,3,78,-2.3567
1971,6,1,4,95,-1.5844
1971,6,1,5,207,-2.9178
1971,6,2,1,57,0.1575
1971,6,2,2,51,-2.7898
1971,6,2,3,47,0.4062
1971,6,2,4,66,-1.7153
1971,6,2,5,73,-1.1420
1971,6,3,1,73,0.1139
1971,6,3,2,112,-0.6957
1971,6,3,3,114,1.3524
1971,6,3,4,88,1.4484
1971,6,3,5,58,-0.7350
1971,7,1,1,210,-7.8423
1971,7,1,2,113,-5.6882
1971,7,1,3,100,-6.2411
1971,7,1,4,86,-5.3539
1971,7,1,5,203,-7.4158
1971,7,2,1,74,-5.1804
1971,7,2,2,57,-2.3909
1971,7,2,3,50,-4.1087
1971,7,2,4,57,-7.1883
1971,7,2,5,78,-4.8968
1971,7,3,1,62,-5.0149
1971,7,3,2,103,-4.7043
1971,7,3,3,113,-3.9802
1971,7,3,4,124,-3.2926
1971,7,3,5,87,-4.7321
1971,8,1,1,210,3.2481
1971,8,1,2,113,5.4107
1971,8,1,3,100,3.4624
1971,8,1,4,86,7.4602
1971,8,1,5,203,3.7267
1971,8,2,1,74,6.3251
1971,8,2,2,57,2.4825
1971,8,2,3,50,4.4227
1971,8,2,4,57,6.5150
1971,8,2,5,78,4.7654
1971,8,3,1,62,8.6041
1971,8,3,2,103,3.8038
1971,8,3,3,113,2.9913
1971,8,3,4,124,5.2794
1971,8,3,5,86,4.7838
1971,9,1,1,210,-0.1197
1971,9,1,2,113,-1.6891
