year,month,rank_ME,rank_NOA,nstocks,ret_vw
1970,4,1,2,93,-15.8659
1970,4,1,3,84,-15.1062
1970,4,1,4,87,-15.9432
1970,4,1,5,103,-20.8164
1970,4,2,1,39,-16.5450
1970,4,2,2,41,-12.1637
1970,4,2,3,44,-11.1659
1970,4,2,4,64,-16.1320
1970,4,2,5,73,-20.0939
1970,4,3,1,94,-9.3414
1970,4,3,2,94,-8.4229
1970,4,3,3,95,-8.7144
1970,4,3,4,71,-9.4110
1970,4,3,5,90,-12.0981
1970,5,1,1,148,-9.6647
1970,5,1,2,93,-11.8896
1970,5,1,3,84,-8.6095
1970,5,1,4,87,-9.2002
1970,5,1,5,102,-8.2556
1970,5,2,1,39,-5.7654
1970,5,2,2,41,-9.0823
1970,5,2,3,44,-10.8430
1970,5,2,4,64,-11.4520
1970,5,2,5,73,-13.3140
1970,5,3,1,94,-6.3566
1970,5,3,2,94,-4.8190
1970,5,3,3,95,-4.1566
1970,5,3,4,71,-5.1429
1970,5,3,5,90,-7.8514
1970,6,1,1,148,-8.4546
1970,6,1,2,93,-6.5185
1970,6,1,3,84,-9.7229
1970,6,1,4,87,-7.9838
1970,6,1,5,102,-11.0154
1970,6,2,1,39,-5.6621
1970,6,2,2,41,-5.9244
1970,6,2,3,44,-6.4188
1970,6,2,4,64,-7.8235
1970,6,2,5,72,-8.4776
1970,6,3,1,94,-4.9844
1970,6,3,2,94,-3.5727
1970,6,3,3,95,-4.0346
1970,6,3,4,71,-6.0823
1970,6,3,5,90,-6.5257
1970,7,1,1,174,5.1660
1970,7,1,2,88,4.0369
1970,7,1,3,95,7.1048
1970,7,1,4,105,5.5632
1970,7,1,5,167,3.0555
1970,7,2,1,45,5.4711
1970,7,2,2,57,11.1031
1970,7,2,3,57,8.4362
1970,7,2,4,55,10.5120
1970,7,2,5,83,6.4634
1970,7,3,1,92,5.3061
1970,7,3,2,90,9.4075
1970,7,3,3,99,8.1284
1970,7,3,4,90,6.8126
1970,7,3,5,81,8.3935
1970,8,1,1,174,6.7377
1970,8,1,2,88,6.8058
1970,8,1,3,95,5.2331
1970,8,1,4,105,6.2633
1970,8,1,5,167,7.3012
1970,8,2,1,45,7.2241
1970,8,2,2,57,8.9873
1970,8,2,3,57,7.7447
1970,8,2,4,55,6.2461
1970,8,2,5,83,7.2506
1970,8,3,1,92,5.3633
1970,8,3,2,90,4.2135
1970,8,3,3,99,6.1773
1970,8,3,4,90,4.3216
1970,8,3,5,81,4.5801
1970,9,1,1,173,13.8152
1970,9,1,2,87,14.0901
1970,9,1,3,95,13.1690
1970,9,1,4,105,13.3480
1970,9,1,5,167,19.7032
1970,9,2,1,45,7.5913
1970,9,2,2,57,12.7237
1970,9,2,3,57,11.4367
1970,9,2,4,55,11.7583
1970,9,2,5,83,14.3320
1970,9,3,1,92,5.1294
1970,9,3,2,90,3.6408
1970,9,3,3,99,3.0539
1970,9,3,4,90,3.2611
1970,9,3,5,80,3.6708
1970,10,1,1,173,-5.6954
1970,10,1,2,88,-6.8724
1970,10,1,3,95,-7.8552
1970,10,1,4,105,-8.0242
1970,10,1,5,167,-10.8522
1970,10,2,1,45,-3.4215
1970,10,2,2,57,-5.7384
1970,10,2,3,57,-5.7741
1970,10,2,4,55,-4.9853
1970,10,2,5,83,-5.7712
1970,10,3,1,92,-0.3665
1970,10,3,2,90,0.0171
1970,10,3,3,99,-0.4281
1970,10,3,4,90,-2.6355
1970,10,3,5,80,-2.7963
1970,11,1,1,173,-0.9641
1970,11,1,2,88,-2.9162
1970,11,1,3,95,0.8304
1970,11,1,4,105,-0.7336
1970,11,1,5,167,-3.6380
1970,11,2,1,45,1.2499
1970,11,2,2,57,3.0977
1970,11,2,3,57,3.6167
1970,11,2,4,55,3.8798
1970,11,2,5,83,0.9307
1970,11,3,1,92,6.1112
1970,11,3,2,90,4.7587
1970,11,3,3,99,4.9539
1970,11,3,4,90,3.9874
1970,11,3,5,80,4.6457
1970,12,1,1,173,9.1630
1970,12,1,2,88,11.4017
1970,12,1,3,95,10.6530
1970,12,1,4,105,11.8863
1970,12,1,5,166,7.9492
1970,12,2,1,45,7.7682
1970,12,2,2,57,9.5583
1970,12,2,3,57,9.7187
1970,12,2,4,55,8.2825
1970,12,2,5,83,8.2440
1970,12,3,1,92,5.1893
1970,12,3,2,90,5.4821
1970,12,3,3,99,5.9870
1970,12,3,4,90,7.8492
1970,12,3,5,80,5.4460
1971,1,1,1,173,17.8406
1971,1,1,2,88,13.6291
1971,1,1,3,95,12.7798
1971,1,1,4,105,12.3973
1971,1,1,5,165,16.6660
1971,1,2,1,45,12.6156
1971,1,2,2,57,11.6364
1971,1,2,3,57,12.1595
1971,1,2,4,55,11.1715
1971,1,2,5,83,9.0600
1971,1,3,1,92,3.3306
1971,1,3,2,90,2.9346
1971,1,3,3,99,3.5904
1971,1,3,4,90,7.4447
1971,1,3,5,80,7.2122
1971,2,1,1,173,5.0984
1971,2,1,2,88,2.4870
1971,2,1,3,95,3.4722
1971,2,1,4,105,5.5922
1971,2,1,5,165,5.4588
1971,2,2,1,45,2.5636
1971,2,2,2,57,2.8428
1971,2,2,3,57,2.7364
