year,month,rank_ME,rank_ACI,nstocks,ret_vw
1970,6,2,3,29,-0.8926
1970,6,2,4,27,-6.9718
1970,6,2,5,48,-7.5602
1970,6,3,1,64,-7.6126
1970,6,3,2,74,-4.5376
1970,6,3,3,96,-4.7943
1970,6,3,4,103,-3.5213
1970,6,3,5,70,-4.3241
1970,7,1,1,97,4.5208
1970,7,1,2,60,4.5815
1970,7,1,3,44,4.9406
1970,7,1,4,36,4.8247
1970,7,1,5,78,6.8986
1970,7,2,1,51,7.8341
1970,7,2,2,40,6.8036
1970,7,2,3,28,8.8797
1970,7,2,4,40,11.7431
1970,7,2,5,62,7.8710
1970,7,3,1,61,7.9392
1970,7,3,2,87,5.9094
1970,7,3,3,107,7.3790
1970,7,3,4,101,9.0364
1970,7,3,5,60,6.6137
1970,8,1,1,97,6.9589
1970,8,1,2,60,6.5145
1970,8,1,3,44,9.0527
1970,8,1,4,36,6.3136
1970,8,1,5,78,6.3766
1970,8,2,1,51,11.0828
1970,8,2,2,40,7.4785
1970,8,2,3,28,4.3240
1970,8,2,4,40,5.9848
1970,8,2,5,62,7.7059
1970,8,3,1,61,3.2942
1970,8,3,2,87,5.1826
1970,8,3,3,107,4.3976
1970,8,3,4,101,4.6166
1970,8,3,5,60,6.9589
1970,9,1,1,96,14.0591
1970,9,1,2,60,12.5403
1970,9,1,3,44,13.8930
1970,9,1,4,36,10.2170
1970,9,1,5,78,14.3250
1970,9,2,1,51,10.1675
1970,9,2,2,39,11.7588
1970,9,2,3,28,9.5222
1970,9,2,4,40,7.4655
1970,9,2,5,62,11.6235
1970,9,3,1,61,6.1304
1970,9,3,2,87,4.0313
1970,9,3,3,107,4.1211
1970,9,3,4,101,2.2295
1970,9,3,5,59,3.6739
1970,10,1,1,97,-8.1764
1970,10,1,2,60,-7.5892
1970,10,1,3,44,-5.2373
1970,10,1,4,36,-7.2976
1970,10,1,5,78,-5.9670
1970,10,2,1,51,-4.8042
1970,10,2,2,39,-6.3378
1970,10,2,3,28,-4.7709
1970,10,2,4,40,-2.7906
1970,10,2,5,62,-8.3057
1970,10,3,1,61,-2.6666
1970,10,3,2,87,0.3186
1970,10,3,3,107,0.9590
1970,10,3,4,101,-3.5712
1970,10,3,5,59,-1.7550
1970,11,1,1,97,-1.6977
1970,11,1,2,60,0.6308
1970,11,1,3,44,0.1773
1970,11,1,4,35,-0.2917
1970,11,1,5,77,3.2763
1970,11,2,1,51,2.0565
1970,11,2,2,38,5.4263
1970,11,2,3,28,2.7741
1970,11,2,4,40,3.9211
1970,11,2,5,62,2.7241
1970,11,3,1,61,6.5158
1970,11,3,2,87,4.2406
1970,11,3,3,107,4.9198
1970,11,3,4,101,5.4205
1970,11,3,5,59,5.7569
1970,12,1,1,96,10.8834
1970,12,1,2,60,14.3407
1970,12,1,3,44,11.1990
1970,12,1,4,35,10.4516
1970,12,1,5,77,12.2168
1970,12,2,1,51,8.1916
1970,12,2,2,38,10.6358
1970,12,2,3,28,12.7346
1970,12,2,4,40,10.3091
1970,12,2,5,62,8.6312
1970,12,3,1,61,5.2273
1970,12,3,2,87,5.1756
1970,12,3,3,107,5.2074
1970,12,3,4,101,7.7936
1970,12,3,5,58,5.4536
1971,1,1,1,96,14.9046
1971,1,1,2,60,12.3901
1971,1,1,3,44,14.9938
1971,1,1,4,35,13.5263
1971,1,1,5,76,13.2945
1971,1,2,1,51,12.3620
1971,1,2,2,38,11.1982
1971,1,2,3,27,10.5459
1971,1,2,4,40,7.2461
1971,1,2,5,62,12.2544
1971,1,3,1,61,7.2025
1971,1,3,2,87,4.2773
1971,1,3,3,107,2.2245
1971,1,3,4,101,6.9869
1971,1,3,5,58,4.3286
1971,2,1,1,96,4.7401
1971,2,1,2,60,4.9595
1971,2,1,3,44,3.5271
1971,2,1,4,34,7.3815
1971,2,1,5,76,2.4718
1971,2,2,1,50,1.7245
1971,2,2,2,38,2.5553
1971,2,2,3,27,5.9334
1971,2,2,4,40,2.1291
1971,2,2,5,62,2.5748
