year,month,rank_ME,rank_PDA,nstocks,ret_vw
1970,4,2,2,49,-15.7828
1970,4,2,3,39,-13.8161
1970,4,2,4,61,-13.3711
1970,4,2,5,66,-17.9570
1970,4,3,1,80,-10.2584
1970,4,3,2,102,-7.7839
1970,4,3,3,102,-9.4781
1970,4,3,4,85,-9.1946
1970,4,3,5,59,-12.6156
1970,5,1,1,157,-8.0924
1970,5,1,2,53,-11.9170
1970,5,1,3,66,-9.9396
1970,5,1,4,64,-9.8953
1970,5,1,5,152,-9.2455
1970,5,2,1,41,-7.8598
1970,5,2,2,49,-11.3556
1970,5,2,3,39,-10.2647
1970,5,2,4,61,-11.0532
1970,5,2,5,66,-11.6214
1970,5,3,1,80,-7.3973
1970,5,3,2,102,-6.7047
1970,5,3,3,102,-4.3187
1970,5,3,4,85,-3.4613
1970,5,3,5,59,-8.6544
1970,6,1,1,157,-7.8677
1970,6,1,2,53,-6.2746
1970,6,1,3,66,-6.0866
1970,6,1,4,64,-10.0616
1970,6,1,5,152,-11.3744
1970,6,2,1,41,-6.9257
1970,6,2,2,49,-6.4456
1970,6,2,3,38,-8.3609
1970,6,2,4,61,-5.4947
1970,6,2,5,66,-8.2971
1970,6,3,1,80,-6.8182
1970,6,3,2,102,-2.1665
1970,6,3,3,102,-5.4947
1970,6,3,4,85,-5.3665
1970,6,3,5,59,-5.3246
1970,7,1,1,202,4.7485
1970,7,1,2,78,7.2446
1970,7,1,3,53,2.7409
1970,7,1,4,82,5.4154
1970,7,1,5,179,3.8082
1970,7,2,1,59,9.3163
1970,7,2,2,42,11.0028
1970,7,2,3,53,9.1471
1970,7,2,4,57,6.5217
1970,7,2,5,75,7.7504
1970,7,3,1,66,5.3516
1970,7,3,2,98,7.8437
1970,7,3,3,110,8.1958
1970,7,3,4,104,7.8546
1970,7,3,5,56,5.4313
1970,8,1,1,202,7.0083
1970,8,1,2,78,6.3644
1970,8,1,3,53,8.7145
1970,8,1,4,82,7.2192
1970,8,1,5,179,5.4226
1970,8,2,1,59,7.4371
1970,8,2,2,42,9.5641
1970,8,2,3,53,8.5624
1970,8,2,4,57,6.3769
1970,8,2,5,75,6.1677
1970,8,3,1,66,6.2616
1970,8,3,2,98,3.8250
1970,8,3,3,110,5.2281
1970,8,3,4,104,3.5152
1970,8,3,5,56,8.6569
1970,9,1,1,202,15.3219
1970,9,1,2,77,11.7977
1970,9,1,3,53,12.3886
1970,9,1,4,82,13.8187
1970,9,1,5,179,18.6582
1970,9,2,1,59,12.6786
