year,month,rank_ME,rank_EP,nstocks,ret_vw
1970,9,2,2,81,12.3148
1970,9,2,3,71,10.3050
1970,9,2,4,60,8.9093
1970,9,2,5,70,7.6813
1970,9,3,1,138,7.8266
1970,9,3,2,117,4.2029
1970,9,3,3,109,-0.4161
1970,9,3,4,117,1.2408
1970,9,3,5,86,3.6484
1970,10,1,1,200,-10.4737
1970,10,1,2,152,-7.7187
1970,10,1,3,117,-6.7655
1970,10,1,4,104,-6.7161
1970,10,1,5,178,-5.6222
1970,10,2,1,95,-6.3555
1970,10,2,2,81,-4.3958
1970,10,2,3,71,-4.6647
1970,10,2,4,60,-5.3691
1970,10,2,5,70,-3.0261
1970,10,3,1,138,-0.2924
1970,10,3,2,117,-1.7463
1970,10,3,3,109,-2.6374
1970,10,3,4,117,-0.0750
1970,10,3,5,86,-1.8620
1970,11,1,1,199,-5.6200
1970,11,1,2,152,-0.8885
1970,11,1,3,117,-0.2384
1970,11,1,4,104,1.1526
1970,11,1,5,177,0.4746
1970,11,2,1,95,0.0765
1970,11,2,2,81,2.9047
1970,11,2,3,71,4.1530
1970,11,2,4,59,2.5637
1970,11,2,5,70,5.6226
1970,11,3,1,138,4.9564
1970,11,3,2,117,5.1485
1970,11,3,3,109,5.7824
1970,11,3,4,117,6.6317
1970,11,3,5,86,4.6741
1970,12,1,1,199,5.5953
1970,12,1,2,152,10.6139
1970,12,1,3,117,11.7397
1970,12,1,4,103,11.9823
1970,12,1,5,176,12.0643
1970,12,2,1,95,6.2747
1970,12,2,2,81,8.7020
1970,12,2,3,71,8.3558
1970,12,2,4,59,10.5337
1970,12,2,5,70,8.3099
1970,12,3,1,137,4.5485
1970,12,3,2,117,6.7741
1970,12,3,3,109,8.0606
1970,12,3,4,117,5.3898
1970,12,3,5,86,6.7699
1971,1,1,1,199,16.5547
1971,1,1,2,152,15.1961
1971,1,1,3,116,12.6686
1971,1,1,4,103,12.7061
1971,1,1,5,176,14.3393
1971,1,2,1,93,9.4110
1971,1,2,2,81,10.6769
1971,1,2,3,71,9.7346
1971,1,2,4,59,11.1324
1971,1,2,5,70,9.8620
1971,1,3,1,137,4.4899
1971,1,3,2,117,5.1409
1971,1,3,3,109,6.5961
1971,1,3,4,117,2.0699
1971,1,3,5,86,3.6762
1971,2,1,1,197,6.0086
1971,2,1,2,152,6.0521
1971,2,1,3,115,5.5461
1971,2,1,4,103,4.0847
1971,2,1,5,175,5.9233
1971,2,2,1,93,4.0095
1971,2,2,2,81,1.5352
1971,2,2,3,71,3.2628
1971,2,2,4,59,2.3641
1971,2,2,5,69,2.6781
1971,2,3,1,136,2.3624
1971,2,3,2,117,2.1830
1971,2,3,3,109,-1.8851
1971,2,3,4,117,2.0503
1971,2,3,5,86,2.9560
1971,3,1,1,197,5.7491
1971,3,1,2,152,7.6319
1971,3,1,3,115,6.8002
1971,3,1,4,103,4.3055
1971,3,1,5,175,6.0321
1971,3,2,1,93,8.2850
1971,3,2,2,81,8.5160
1971,3,2,3,71,5.3760
1971,3,2,4,59,5.1815
1971,3,2,5,69,3.3869
1971,3,3,1,135,6.0674
1971,3,3,2,116,3.9089
1971,3,3,3,109,2.4795
1971,3,3,4,117,2.6751
1971,3,3,5,86,3.2230
1971,4,1,1,197,1.9165
1971,4,1,2,151,3.6671
1971,4,1,3,115,2.4441
1971,4,1,4,103,3.1105
1971,4,1,5,175,0.6859
1971,4,2,1,92,4.8176
1971,4,2,2,80,3.1177
1971,4,2,3,71,3.0555
1971,4,2,4,59,5.6268
1971,4,2,5,68,1.8889
1971,4,3,1,135,3.7648
1971,4,3,2,116,3.7941
1971,4,3,3,109,2.9096
1971,4,3,4,117,3.5253
1971,4,3,5,86,4.2306
1971,5,1,1,197,-6.4296
1971,5,1,2,151,-6.9909
1971,5,1,3,114,-4.7175
1971,5,1,4,101,-5.0169
1971,5,1,5,175,-6.2590
1971,5,2,1,93,-2.7563
1971,5,2,2,79,-3.3357
1971,5,2,3,71,-4.6795
1971,5,2,4,59,-5.4315
1971,5,2,5,68,-4.8057
1971,5,3,1,135,-2.7645
1971,5,3,2,116,-2.5778
1971,5,3,3,109,-3.9073
1971,5,3,4,117,-4.4739
1971,5,3,5,86,-4.5973
1971,6,1,1,194,-3.5445
1971,6,1,2,151,-0.6256
1971,6,1,3,114,-1.6606
1971,6,1,4,101,-3.1154
1971,6,1,5,174,-1.4319
1971,6,2,1,92,1.3794
1971,6,2,2,79,0.1028
1971,6,2,3,71,-0.6095
1971,6,2,4,59,-0.9072
1971,6,2,5,68,-1.7507
1971,6,3,1,135,1.0894
1971,6,3,2,115,0.7444
1971,6,3,3,109,0.8461
1971,6,3,4,117,-0.4792
