year,month,rank_ME,rank_DP,nstocks,ret_vw
1970,11,3,4,103,6.4377
1970,11,3,5,98,7.5012
1970,12,1,1,88,9.7527
1970,12,1,2,96,11.6435
1970,12,1,3,102,13.8227
1970,12,1,4,81,12.1904
1970,12,1,5,96,11.7511
1970,12,2,1,75,10.5247
1970,12,2,2,73,8.2318
1970,12,2,3,70,8.2776
1970,12,2,4,57,10.5282
1970,12,2,5,60,8.5500
1970,12,3,1,143,4.7678
1970,12,3,2,111,6.9843
1970,12,3,3,96,6.5028
1970,12,3,4,102,6.0322
1970,12,3,5,98,7.0839
1971,1,1,1,87,14.8677
1971,1,1,2,96,14.4793
1971,1,1,3,102,13.2068
1971,1,1,4,80,12.1342
1971,1,1,5,96,11.5268
1971,1,2,1,73,5.8450
1971,1,2,2,73,11.3278
1971,1,2,3,70,12.6154
1971,1,2,4,57,7.2303
1971,1,2,5,59,10.8322
1971,1,3,1,143,4.3430
1971,1,3,2,111,5.2174
1971,1,3,3,96,4.4573
1971,1,3,4,102,3.2118
1971,1,3,5,98,5.3638
1971,2,1,1,87,7.9821
1971,2,1,2,96,5.8568
1971,2,1,3,100,5.7583
1971,2,1,4,80,2.9720
1971,2,1,5,96,2.9252
1971,2,2,1,73,3.6766
1971,2,2,2,73,2.9113
1971,2,2,3,70,1.5411
1971,2,2,4,55,3.2639
1971,2,2,5,59,0.4794
1971,2,3,1,142,2.0724
1971,2,3,2,111,2.8543
1971,2,3,3,96,1.0078
1971,2,3,4,102,-0.1088
1971,2,3,5,98,1.3509
1971,3,1,1,87,6.3200
1971,3,1,2,96,5.4306
1971,3,1,3,100,6.6367
1971,3,1,4,80,6.0469
1971,3,1,5,96,5.4762
1971,3,2,1,73,8.3580
1971,3,2,2,73,7.9531
1971,3,2,3,70,2.8912
1971,3,2,4,55,4.6156
1971,3,2,5,59,4.5747
1971,3,3,1,141,5.8662
1971,3,3,2,110,3.9358
1971,3,3,3,96,3.6555
1971,3,3,4,102,1.9266
1971,3,3,5,98,1.8139
1971,4,1,1,87,3.3547
1971,4,1,2,96,3.1052
1971,4,1,3,100,2.4905
1971,4,1,4,79,2.4526
1971,4,1,5,96,1.8078
1971,4,2,1,72,5.6696
1971,4,2,2,72,3.9764
1971,4,2,3,70,2.6629
1971,4,2,4,54,2.2407
1971,4,2,5,59,5.5135
1971,4,3,1,141,3.6072
1971,4,3,2,110,4.3616
1971,4,3,3,96,3.7795
1971,4,3,4,102,3.0152
1971,4,3,5,98,2.9761
1971,5,1,1,87,-5.9346
1971,5,1,2,95,-5.2593
1971,5,1,3,99,-5.9545
1971,5,1,4,78,-3.9475
1971,5,1,5,95,-4.7505
1971,5,2,1,72,-3.7538
1971,5,2,2,72,-3.1771
1971,5,2,3,70,-3.9740
1971,5,2,4,54,-4.1533
1971,5,2,5,59,-5.2810
1971,5,3,1,141,-2.6556
1971,5,3,2,109,-3.1722
1971,5,3,3,96,-3.3100
1971,5,3,4,102,-4.7496
1971,5,3,5,98,-3.9584
1971,6,1,1,87,-3.1505
1971,6,1,2,94,-2.0433
1971,6,1,3,99,-1.7150
1971,6,1,4,78,-1.8970
1971,6,1,5,94,-1.2077
1971,6,2,1,71,2.9554
1971,6,2,2,72,-0.3653
1971,6,2,3,70,-0.8637
1971,6,2,4,54,-2.1030
1971,6,2,5,58,-1.1071
1971,6,3,1,140,0.7053
1971,6,3,2,110,1.3387
1971,6,3,3,96,0.6512
1971,6,3,4,102,-0.2475
1971,6,3,5,98,0.3251
1971,7,1,1,88,-8.2007
1971,7,1,2,97,-5.8724
1971,7,1,3,81,-3.0254
1971,7,1,4,75,-4.0597
1971,7,1,5,85,-0.5311
1971,7,2,1,73,-5.9432
1971,7,2,2,68,-3.1429
1971,7,2,3,76,-4.1203
1971,7,2,4,54,-4.0412
1971,7,2,5,67,-1.4740
1971,7,3,1,135,-5.1837
1971,7,3,2,115,-4.2910
1971,7,3,3,98,-4.0765
1971,7,3,4,111,-2.9280
1971,7,3,5,95,-2.5591
1971,8,1,1,88,3.1118
1971,8,1,2,97,6.0696
1971,8,1,3,81,4.6722
1971,8,1,4,75,5.7175
1971,8,1,5,85,4.1315
1971,8,2,1,73,5.3253
1971,8,2,2,68,3.4677
1971,8,2,3,76,4.4290
1971,8,2,4,54,4.5576
1971,8,2,5,67,4.0125
