year,month,rank_ME,rank_OCP,nstocks,ret_vw
1976,2,2,5,82,6.6368
1976,2,3,1,197,-2.5949
1976,2,3,2,157,0.1163
1976,2,3,3,128,1.4398
1976,2,3,4,97,1.1512
1976,2,3,5,75,2.5146
1976,3,1,1,205,1.3851
1976,3,1,2,243,3.4250
1976,3,1,3,260,1.0528
1976,3,1,4,284,1.1770
1976,3,1,5,399,-0.3511
1976,3,2,1,104,1.5632
1976,3,2,2,116,1.9481
1976,3,2,3,115,2.3156
1976,3,2,4,102,1.7382
1976,3,2,5,82,1.3815
1976,3,3,1,197,3.5773
1976,3,3,2,156,1.8601
1976,3,3,3,129,2.7775
1976,3,3,4,96,2.7368
1976,3,3,5,75,0.2374
1976,4,1,1,203,-1.4297
1976,4,1,2,240,-1.5206
1976,4,1,3,252,-0.5848
1976,4,1,4,280,-0.4739
1976,4,1,5,390,-2.3653
1976,4,2,1,103,-2.1665
1976,4,2,2,115,-0.3234
1976,4,2,3,114,-1.2067
1976,4,2,4,102,0.3663
1976,4,2,5,82,-0.4424
1976,4,3,1,197,-2.8556
1976,4,3,2,156,-0.3331
1976,4,3,3,129,1.7080
1976,4,3,4,96,0.5346
1976,4,3,5,75,-1.2755
1976,5,1,1,206,-4.1141
1976,5,1,2,241,-1.3923
1976,5,1,3,260,-3.7190
1976,5,1,4,281,-3.2841
1976,5,1,5,393,-2.5299
1976,5,2,1,104,-1.7716
1976,5,2,2,115,-2.7298
1976,5,2,3,114,-0.2779
1976,5,2,4,101,-1.6103
1976,5,2,5,82,-2.5517
1976,5,3,1,197,-1.6687
1976,5,3,2,156,0.7797
1976,5,3,3,129,-1.2098
1976,5,3,4,96,-0.3385
1976,5,3,5,75,-0.2194
1976,6,1,1,204,3.0528
1976,6,1,2,239,3.0583
1976,6,1,3,258,3.0509
1976,6,1,4,282,2.9465
1976,6,1,5,394,3.1160
1976,6,2,1,104,3.5816
1976,6,2,2,115,5.4917
1976,6,2,3,114,3.4162
