year,month,rank_ME,rank_DTV_12,nstocks,ret_vw
1970,4,1,3,245,-23.4422
1970,4,1,4,89,-26.0274
1970,4,1,5,17,-32.1628
1970,4,2,1,200,-10.8460
1970,4,2,2,329,-12.6183
1970,4,2,3,313,-17.1781
1970,4,2,4,207,-22.0557
1970,4,2,5,85,-26.2346
1970,4,3,1,55,-6.3992
1970,4,3,2,126,-9.1470
1970,4,3,3,252,-10.0373
1970,4,3,4,346,-11.2659
1970,4,3,5,315,-9.2484
1970,5,1,1,851,-9.2071
1970,5,1,2,423,-10.0906
1970,5,1,3,249,-9.7044
1970,5,1,4,92,-9.6800
1970,5,1,5,18,-8.3085
1970,5,2,1,203,-7.7863
1970,5,2,2,333,-9.6230
1970,5,2,3,311,-9.8112
1970,5,2,4,210,-12.2269
1970,5,2,5,82,-15.1237
1970,5,3,1,52,-7.0425
1970,5,3,2,128,-5.9084
1970,5,3,3,251,-6.4861
1970,5,3,4,352,-7.8724
1970,5,3,5,319,-5.3024
1970,6,1,1,862,-6.9064
1970,6,1,2,414,-10.9273
1970,6,1,3,240,-12.9632
1970,6,1,4,85,-11.6680
1970,6,1,5,15,-6.6134
1970,6,2,1,203,-3.6895
1970,6,2,2,338,-7.1461
1970,6,2,3,309,-8.6747
1970,6,2,4,204,-7.5220
1970,6,2,5,84,-10.2330
1970,6,3,1,48,-2.7516
1970,6,3,2,126,-3.7592
1970,6,3,3,250,-4.4718
1970,6,3,4,351,-4.2107
1970,6,3,5,318,-5.2563
1970,7,1,1,872,3.1886
1970,7,1,2,396,5.9270
1970,7,1,3,227,5.5700
1970,7,1,4,80,4.0962
1970,7,1,5,13,2.3095
1970,7,2,1,210,5.9124
1970,7,2,2,338,8.2440
1970,7,2,3,314,8.3328
1970,7,2,4,199,6.3035
1970,7,2,5,86,7.9251
1970,7,3,1,42,4.5934
1970,7,3,2,128,5.6822
1970,7,3,3,248,7.4482
1970,7,3,4,353,8.2595
1970,7,3,5,318,7.3777
1970,8,1,1,882,4.9141
1970,8,1,2,390,6.2161
1970,8,1,3,224,7.2666
1970,8,1,4,78,8.7193
1970,8,1,5,16,6.8979
1970,8,2,1,214,3.8530
1970,8,2,2,342,4.6286
1970,8,2,3,317,7.5094
1970,8,2,4,195,9.6745
1970,8,2,5,86,12.1702
1970,8,3,1,38,4.6818
1970,8,3,2,125,3.4345
1970,8,3,3,248,4.8729
1970,8,3,4,353,4.8419
1970,8,3,5,316,5.0596
1970,9,1,1,892,12.3036
1970,9,1,2,398,15.7598
1970,9,1,3,220,20.3472
1970,9,1,4,69,28.5213
1970,9,1,5,17,27.2412
1970,9,2,1,214,6.5610
1970,9,2,2,344,7.8409
1970,9,2,3,310,11.6189
1970,9,2,4,191,17.0181
1970,9,2,5,84,23.6247
1970,9,3,1,36,5.3438
1970,9,3,2,123,3.7540
1970,9,3,3,248,3.8508
1970,9,3,4,358,4.2562
1970,9,3,5,316,3.8182
1970,10,1,1,908,-5.5608
1970,10,1,2,384,-8.9088
1970,10,1,3,212,-11.3839
1970,10,1,4,66,-10.3885
1970,10,1,5,14,-7.4638
1970,10,2,1,209,-2.0627
1970,10,2,2,341,-2.7661
1970,10,2,3,304,-5.2239
1970,10,2,4,180,-7.9272
1970,10,2,5,80,-8.3105
1970,10,3,1,35,-0.9299
1970,10,3,2,120,-0.3477
1970,10,3,3,248,-2.2968
1970,10,3,4,356,-2.4587
1970,10,3,5,316,-0.8122
1970,11,1,1,912,-1.4325
1970,11,1,2,383,-1.2025
1970,11,1,3,203,-1.6486
1970,11,1,4,59,1.1549
1970,11,1,5,14,-7.5497
1970,11,2,1,210,3.4003
1970,11,2,2,344,3.8522
1970,11,2,3,303,2.6058
1970,11,2,4,174,1.3145
1970,11,2,5,74,-0.2542
1970,11,3,1,36,2.1957
1970,11,3,2,118,3.8614
1970,11,3,3,246,5.3408
1970,11,3,4,351,5.6597
1970,11,3,5,313,5.4241
1970,12,1,1,916,9.4616
1970,12,1,2,373,9.0379
1970,12,1,3,196,9.4027
1970,12,1,4,58,4.2801
1970,12,1,5,15,-0.2413
1970,12,2,1,211,9.2566
1970,12,2,2,345,9.3363
1970,12,2,3,299,8.7281
1970,12,2,4,170,5.5706
1970,12,2,5,68,2.3273
1970,12,3,1,36,8.1891
1970,12,3,2,118,9.1850
1970,12,3,3,248,5.6008
1970,12,3,4,345,8.1815
1970,12,3,5,313,5.2410
1971,1,1,1,934,15.8763
1971,1,1,2,375,14.9164
1971,1,1,3,193,13.7205
1971,1,1,4,56,12.1364
1971,1,1,5,14,2.6489
1971,1,2,1,202,10.0351
1971,1,2,2,347,9.3660
1971,1,2,3,300,10.9669
1971,1,2,4,160,11.0072
1971,1,2,5,64,6.5918
1971,1,3,1,32,7.8826
1971,1,3,2,118,6.8762
1971,1,3,3,248,6.3503
