year,month,rank_ME,rank_ISq_1,nstocks,ret_vw
1971,8,2,3,96,5.8335
1971,8,2,4,80,3.2393
1971,8,2,5,106,4.6614
1971,8,3,1,138,5.9365
1971,8,3,2,134,4.2865
1971,8,3,3,124,3.8987
1971,8,3,4,127,3.3231
1971,8,3,5,108,3.2709
1971,9,1,1,213,0.7582
1971,9,1,2,191,-1.0692
1971,9,1,3,199,-1.2972
1971,9,1,4,200,0.2859
1971,9,1,5,240,-0.4065
1971,9,2,1,95,-2.1842
1971,9,2,2,97,-1.1108
1971,9,2,3,86,0.1282
1971,9,2,4,85,-0.7695
1971,9,2,5,99,0.5325
1971,9,3,1,136,-0.9070
1971,9,3,2,122,-0.1725
1971,9,3,3,131,-0.7865
1971,9,3,4,130,0.0325
1971,9,3,5,113,-0.8029
