year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1971,7,2,3,21,-2.1593
1971,7,2,4,22,-1.5009
1971,7,2,5,28,-5.6193
1971,7,3,1,81,-3.4954
1971,7,3,2,85,-3.6163
1971,7,3,3,58,-3.9454
1971,7,3,4,62,-5.0607
1971,7,3,5,42,-5.0210
1971,8,1,1,2,-1.9713
1971,8,1,2,3,15.9421
1971,8,1,3,21,4.0159
1971,8,1,4,15,2.7814
1971,8,1,5,30,3.7392
1971,8,2,1,16,3.0947
1971,8,2,2,11,2.4940
1971,8,2,3,21,5.4642
1971,8,2,4,22,4.3541
1971,8,2,5,28,7.6470
1971,8,3,1,81,2.4845
1971,8,3,2,85,5.1744
1971,8,3,3,58,3.0505
1971,8,3,4,61,3.2651
1971,8,3,5,42,10.0540
1971,9,1,1,2,0.2531
1971,9,1,2,3,-3.2240
1971,9,1,3,21,0.1682
1971,9,1,4,15,-5.0652
1971,9,1,5,30,-4.2766
1971,9,2,1,16,0.2538
1971,9,2,2,11,-0.2169
1971,9,2,3,21,-0.5352
