year,month,rank_ME,rank_RER,nstocks,ret_vw
1973,11,3,2,71,-16.5586
1973,11,3,3,62,-10.9307
1973,11,3,4,61,-12.6695
1973,11,3,5,81,-14.7939
1973,12,1,1,198,-4.4976
1973,12,1,2,128,-6.9431
1973,12,1,3,137,-2.4004
1973,12,1,4,128,-5.6230
1973,12,1,5,231,-2.7913
1973,12,2,1,67,-0.4968
1973,12,2,2,43,-6.6429
1973,12,2,3,61,-0.6425
1973,12,2,4,72,-0.1211
1973,12,2,5,57,-2.8255
1973,12,3,1,67,-2.9747
1973,12,3,2,71,-0.4738
1973,12,3,3,62,-2.0168
1973,12,3,4,61,-1.2194
1973,12,3,5,81,-1.8335
1974,1,1,1,197,15.3104
1974,1,1,2,128,17.7427
1974,1,1,3,138,16.0973
1974,1,1,4,128,16.3456
1974,1,1,5,230,11.6999
1974,1,2,1,67,9.6177
1974,1,2,2,43,10.5715
1974,1,2,3,61,9.4917
1974,1,2,4,73,10.0186
1974,1,2,5,57,8.8517
1974,1,3,1,67,-0.1096
1974,1,3,2,71,0.8566
1974,1,3,3,62,-1.6413
1974,1,3,4,61,0.1855
1974,1,3,5,81,2.8967
1974,2,1,1,197,-0.7954
1974,2,1,2,128,0.0918
1974,2,1,3,138,-0.7038
1974,2,1,4,128,-0.7263
1974,2,1,5,229,-0.7304
1974,2,2,1,67,0.8674
1974,2,2,2,43,3.4581
1974,2,2,3,61,-0.0575
1974,2,2,4,73,2.2392
1974,2,2,5,57,2.9506
1974,2,3,1,67,-0.5589
1974,2,3,2,71,0.0546
1974,2,3,3,62,-0.2885
1974,2,3,4,61,-0.2830
1974,2,3,5,81,0.3206
1974,3,1,1,196,-0.2204
1974,3,1,2,127,1.2867
1974,3,1,3,138,0.3364
1974,3,1,4,127,0.0167
1974,3,1,5,229,0.3764
1974,3,2,1,67,0.0663
1974,3,2,2,43,-0.4043
1974,3,2,3,61,-1.4521
1974,3,2,4,73,-2.5105
1974,3,2,5,57,1.2640
1974,3,3,1,67,-1.2809
1974,3,3,2,71,-1.3652
1974,3,3,3,62,-1.5089
1974,3,3,4,61,-3.2228
1974,3,3,5,81,-1.4816
1974,4,1,1,196,-3.6195
1974,4,1,2,127,-5.6149
1974,4,1,3,138,-3.8717
1974,4,1,4,127,-4.4061
1974,4,1,5,231,-5.6677
1974,4,2,1,67,-4.3314
1974,4,2,2,43,-2.4070
1974,4,2,3,61,-3.5672
1974,4,2,4,73,-2.7129
1974,4,2,5,57,-6.9717
1974,4,3,1,67,-2.3064
1974,4,3,2,71,-2.5536
1974,4,3,3,62,-3.5862
1974,4,3,4,61,-2.0236
1974,4,3,5,81,-2.5066
1974,5,1,1,196,-7.1025
1974,5,1,2,127,-7.9569
1974,5,1,3,137,-6.1490
1974,5,1,4,127,-6.4312
1974,5,1,5,230,-7.6897
1974,5,2,1,67,-6.2113
1974,5,2,2,43,-6.2036
1974,5,2,3,61,-5.6670
1974,5,2,4,73,-6.8079
1974,5,2,5,57,-6.6282
1974,5,3,1,67,-4.2647
1974,5,3,2,71,1.8486
1974,5,3,3,62,-2.3674
1974,5,3,4,61,-0.9544
1974,5,3,5,81,-0.7375
1974,6,1,1,195,-2.8237
1974,6,1,2,127,-1.2598
1974,6,1,3,138,-4.3254
1974,6,1,4,127,-6.0122
1974,6,1,5,230,-2.2776
1974,6,2,1,67,-0.5153
1974,6,2,2,43,-2.1582
1974,6,2,3,61,-2.0970
1974,6,2,4,73,-2.9273
1974,6,2,5,57,0.1297
1974,6,3,1,67,-1.0559
1974,6,3,2,71,-2.2051
1974,6,3,3,62,-3.1462
1974,6,3,4,61,-2.6592
1974,6,3,5,81,-0.2749
1974,7,1,1,272,-5.8650
1974,7,1,2,168,-5.6011
1974,7,1,3,191,-5.2783
1974,7,1,4,179,-4.5667
1974,7,1,5,299,-6.2096
1974,7,2,1,75,-4.6998
1974,7,2,2,55,-4.4711
1974,7,2,3,68,-5.0753
1974,7,2,4,76,-6.4515
1974,7,2,5,70,-3.4298
1974,7,3,1,74,-7.9630
1974,7,3,2,69,-11.6645
1974,7,3,3,74,-12.4973
1974,7,3,4,58,-11.1467
1974,7,3,5,86,-13.1412
1974,8,1,1,271,-6.2417
1974,8,1,2,168,-7.5224
1974,8,1,3,191,-8.1331
1974,8,1,4,179,-8.7451
1974,8,1,5,299,-6.6808
1974,8,2,1,75,-9.4848
1974,8,2,2,55,-7.7793
1974,8,2,3,68,-10.0244
1974,8,2,4,76,-7.6282
1974,8,2,5,69,-10.9430
1974,8,3,1,74,-7.3242
1974,8,3,2,69,-8.0664
1974,8,3,3,74,-12.2189
1974,8,3,4,58,-9.9546
1974,8,3,5,86,-13.6212
1974,9,1,1,272,-11.4855
1974,9,1,2,168,-8.2903
1974,9,1,3,188,-8.9716
1974,9,1,4,178,-7.0112
1974,9,1,5,299,-8.5424
1974,9,2,1,75,-9.3055
1974,9,2,2,55,-10.1433
1974,9,2,3,68,-8.6372
1974,9,2,4,76,-9.5110
1974,9,2,5,70,-10.4252
