year,month,rank_ME,rank_r10n,nstocks,ret_vw
1970,11,3,5,78,7.1778
1970,12,1,1,31,9.9956
1970,12,1,2,24,13.8041
1970,12,1,3,21,9.2879
1970,12,1,4,22,11.9676
1970,12,1,5,25,9.9452
1970,12,2,1,35,6.0273
1970,12,2,2,33,9.4938
1970,12,2,3,34,9.9281
1970,12,2,4,30,11.5261
1970,12,2,5,41,10.8541
1970,12,3,1,74,7.4407
1970,12,3,2,85,7.2988
1970,12,3,3,85,5.3093
1970,12,3,4,90,4.9169
1970,12,3,5,73,6.8592
1971,1,1,1,47,15.6273
1971,1,1,2,21,12.6165
1971,1,1,3,12,24.3636
1971,1,1,4,20,12.5999
1971,1,1,5,27,15.3841
1971,1,2,1,37,11.5251
1971,1,2,2,35,10.3146
1971,1,2,3,34,7.7099
1971,1,2,4,34,9.7541
1971,1,2,5,28,12.5897
1971,1,3,1,59,6.3789
1971,1,3,2,84,4.4835
1971,1,3,3,93,3.0545
1971,1,3,4,86,2.3591
1971,1,3,5,86,6.7790
1971,2,1,1,35,3.1561
1971,2,1,2,25,2.3143
1971,2,1,3,14,5.7552
1971,2,1,4,21,2.1587
1971,2,1,5,30,4.5789
1971,2,2,1,36,3.4784
1971,2,2,2,39,1.4562
1971,2,2,3,34,1.0590
1971,2,2,4,29,4.1737
1971,2,2,5,31,2.6795
1971,2,3,1,70,-0.8936
1971,2,3,2,77,1.4580
1971,2,3,3,92,1.7494
1971,2,3,4,89,2.8199
1971,2,3,5,78,0.6694
1971,3,1,1,42,4.3821
1971,3,1,2,13,1.6771
1971,3,1,3,17,8.4695
1971,3,1,4,28,4.8183
1971,3,1,5,25,7.7753
1971,3,2,1,34,6.3269
1971,3,2,2,36,2.8869
1971,3,2,3,31,2.7644
1971,3,2,4,36,8.3540
1971,3,2,5,31,5.7033
1971,3,3,1,66,3.6282
1971,3,3,2,90,3.3838
1971,3,3,3,92,3.0210
1971,3,3,4,76,4.3601
1971,3,3,5,84,4.0942
1971,4,1,1,39,-0.3376
1971,4,1,2,21,4.7715
1971,4,1,3,19,4.0092
1971,4,1,4,22,-0.1153
1971,4,1,5,26,3.4917
1971,4,2,1,37,4.9876
1971,4,2,2,33,2.0243
1971,4,2,3,27,3.9161
1971,4,2,4,32,4.5522
1971,4,2,5,41,3.0082
1971,4,3,1,67,1.4363
1971,4,3,2,86,2.3227
1971,4,3,3,93,2.9151
1971,4,3,4,88,5.9896
1971,4,3,5,73,8.4549
1971,5,1,1,33,-4.6489
1971,5,1,2,29,-3.6400
1971,5,1,3,17,-5.7027
1971,5,1,4,27,-7.9569
1971,5,1,5,20,-7.6801
1971,5,2,1,40,-4.0417
1971,5,2,2,28,-2.9885
1971,5,2,3,37,-6.3181
1971,5,2,4,25,-5.1461
1971,5,2,5,36,-4.3335
1971,5,3,1,69,-4.4557
1971,5,3,2,83,-3.4941
1971,5,3,3,87,-5.2152
1971,5,3,4,88,-3.2407
1971,5,3,5,84,-1.1045
1971,6,1,1,30,0.4432
1971,6,1,2,27,-1.5991
1971,6,1,3,18,-4.9823
1971,6,1,4,24,-2.9420
1971,6,1,5,26,-1.6704
1971,6,2,1,41,-1.6657
1971,6,2,2,28,-2.5967
1971,6,2,3,32,-2.3534
1971,6,2,4,33,-0.1167
1971,6,2,5,33,-3.2837
1971,6,3,1,71,1.9614
1971,6,3,2,85,2.1038
1971,6,3,3,91,0.4065
1971,6,3,4,84,-0.6035
1971,6,3,5,81,-1.0727
1971,7,1,1,28,-4.4008
1971,7,1,2,24,-7.5920
1971,7,1,3,23,-4.1693
1971,7,1,4,23,-3.9262
1971,7,1,5,26,-5.0727
1971,7,2,1,41,-4.4290
1971,7,2,2,35,-2.0172
1971,7,2,3,29,-4.3724
1971,7,2,4,34,-0.4659
1971,7,2,5,32,-4.1037
1971,7,3,1,74,-3.3136
1971,7,3,2,81,-3.1698
1971,7,3,3,90,-5.4103
1971,7,3,4,83,-2.3613
1971,7,3,5,83,-5.4766
1971,8,1,1,29,1.9125
1971,8,1,2,24,1.2469
1971,8,1,3,21,6.2765
1971,8,1,4,24,6.4296
1971,8,1,5,29,8.0011
1971,8,2,1,37,5.0999
1971,8,2,2,33,4.0025
1971,8,2,3,31,5.7267
1971,8,2,4,28,5.1716
1971,8,2,5,35,7.4759
1971,8,3,1,76,4.8537
1971,8,3,2,84,2.4913
1971,8,3,3,89,4.1138
1971,8,3,4,89,3.8219
1971,8,3,5,77,5.8353
1971,9,1,1,23,-4.4931
1971,9,1,2,27,-3.7229
