year,month,rank_ME,rank_RCA,nstocks,ret_vw
1984,9,3,5,80,-2.9637
1984,10,1,1,174,-3.0679
1984,10,1,2,196,-4.3681
1984,10,1,3,185,-3.2964
1984,10,1,4,197,-5.5688
1984,10,1,5,282,-2.6926
1984,10,2,1,51,-1.9845
1984,10,2,2,60,-2.5996
1984,10,2,3,49,-1.9464
1984,10,2,4,59,-3.5869
1984,10,2,5,56,-2.9344
1984,10,3,1,60,-3.1027
1984,10,3,2,64,-1.1749
1984,10,3,3,58,-0.6372
1984,10,3,4,69,1.3093
1984,10,3,5,79,1.9202
1984,11,1,1,173,-1.4639
1984,11,1,2,195,-3.5300
1984,11,1,3,184,-7.5685
1984,11,1,4,194,-2.8512
1984,11,1,5,278,-5.5619
1984,11,2,1,51,-2.5614
1984,11,2,2,61,-2.3106
1984,11,2,3,49,-0.7843
1984,11,2,4,59,-2.1823
1984,11,2,5,56,-6.3791
1984,11,3,1,60,-1.8864
1984,11,3,2,64,0.1601
1984,11,3,3,58,-3.1085
1984,11,3,4,69,-1.0860
1984,11,3,5,79,-2.2642
1984,12,1,1,169,-2.2148
1984,12,1,2,192,2.5855
1984,12,1,3,183,-0.8109
1984,12,1,4,193,-0.5274
1984,12,1,5,275,0.5384
1984,12,2,1,50,1.4652
1984,12,2,2,61,4.7134
1984,12,2,3,49,1.6100
1984,12,2,4,59,0.1517
1984,12,2,5,56,5.6395
1984,12,3,1,59,0.6011
1984,12,3,2,63,1.6582
1984,12,3,3,58,1.0248
1984,12,3,4,68,2.8848
1984,12,3,5,79,3.5539
1985,1,1,1,169,12.3850
1985,1,1,2,191,14.2871
1985,1,1,3,182,15.1285
1985,1,1,4,193,18.3968
1985,1,1,5,273,16.4479
1985,1,2,1,50,11.6283
1985,1,2,2,61,13.8772
1985,1,2,3,49,14.6944
1985,1,2,4,59,14.2581
1985,1,2,5,56,16.0580
1985,1,3,1,58,6.7406
1985,1,3,2,63,6.1738
1985,1,3,3,58,10.1793
1985,1,3,4,68,8.3267
1985,1,3,5,79,9.1708
1985,2,1,1,167,5.0439
1985,2,1,2,192,3.7358
1985,2,1,3,181,3.4845
1985,2,1,4,193,2.2032
1985,2,1,5,267,5.1836
1985,2,2,1,50,3.2780
1985,2,2,2,61,2.7308
1985,2,2,3,49,3.9392
1985,2,2,4,58,3.2770
1985,2,2,5,56,-0.0009
1985,2,3,1,58,3.8789
1985,2,3,2,62,2.5809
1985,2,3,3,58,1.8092
1985,2,3,4,68,0.9287
1985,2,3,5,79,-0.8387
1985,3,1,1,165,-2.0756
