year,month,rank_ME,rank_CM_12,nstocks,ret_vw
1983,12,3,2,60,-1.1548
1983,12,3,3,61,-0.1348
1983,12,3,4,60,0.3294
1983,12,3,5,51,-0.8677
1984,1,1,1,404,0.6422
1984,1,1,2,357,0.4839
1984,1,1,3,372,-0.4275
1984,1,1,4,377,-0.0605
1984,1,1,5,394,0.0735
1984,1,2,1,116,-3.2417
1984,1,2,2,106,-2.6188
1984,1,2,3,109,-3.5255
1984,1,2,4,98,-2.9173
1984,1,2,5,104,-1.8925
1984,1,3,1,61,-3.0824
1984,1,3,2,58,-4.1917
1984,1,3,3,61,-4.0276
1984,1,3,4,60,-3.5925
1984,1,3,5,52,-2.6768
1984,2,1,1,407,-4.7291
1984,2,1,2,355,-5.5274
1984,2,1,3,360,-6.6117
1984,2,1,4,372,-6.2372
1984,2,1,5,382,-4.4854
1984,2,2,1,120,-6.9315
1984,2,2,2,103,-7.8876
1984,2,2,3,106,-6.8488
1984,2,2,4,100,-7.2365
1984,2,2,5,103,-6.4703
1984,2,3,1,63,-5.7685
1984,2,3,2,61,-7.4234
1984,2,3,3,60,-6.6434
1984,2,3,4,61,-7.4478
1984,2,3,5,50,-5.3583
1984,3,1,1,398,-1.2944
1984,3,1,2,351,-0.4070
