year,month,rank_ME,rank_COP,nstocks,ret_vw
1971,1,2,3,52,14.9013
1971,1,2,4,50,7.8961
1971,1,2,5,57,10.4339
1971,1,3,1,51,7.7840
1971,1,3,2,74,5.2130
1971,1,3,3,85,5.7432
1971,1,3,4,108,4.1289
1971,1,3,5,109,3.5280
1971,2,1,1,285,6.3869
1971,2,1,2,110,4.3917
1971,2,1,3,97,4.9601
1971,2,1,4,98,3.0284
1971,2,1,5,101,3.8303
1971,2,2,1,78,2.2487
1971,2,2,2,67,1.6997
1971,2,2,3,51,3.6050
1971,2,2,4,50,3.9129
1971,2,2,5,57,3.8983
1971,2,3,1,51,3.5764
1971,2,3,2,74,0.8348
1971,2,3,3,85,2.5422
1971,2,3,4,107,1.5705
1971,2,3,5,109,1.9699
1971,3,1,1,284,5.0317
1971,3,1,2,110,7.0583
1971,3,1,3,97,6.2755
1971,3,1,4,98,7.6635
1971,3,1,5,101,8.2409
1971,3,2,1,77,7.3793
1971,3,2,2,67,5.6838
1971,3,2,3,51,6.3754
1971,3,2,4,50,5.7108
1971,3,2,5,57,9.7443
1971,3,3,1,51,6.4986
1971,3,3,2,74,4.4557
1971,3,3,3,85,3.1691
1971,3,3,4,107,2.5048
1971,3,3,5,108,4.9618
1971,4,1,1,283,3.0727
1971,4,1,2,110,0.5531
1971,4,1,3,97,4.2211
1971,4,1,4,98,2.3814
1971,4,1,5,100,2.5141
1971,4,2,1,76,2.6407
1971,4,2,2,67,5.3979
1971,4,2,3,51,4.8616
1971,4,2,4,50,4.4439
1971,4,2,5,57,5.2202
1971,4,3,1,51,5.0083
1971,4,3,2,74,7.1676
1971,4,3,3,85,6.1747
1971,4,3,4,107,3.5679
1971,4,3,5,108,3.4638
1971,5,1,1,279,-7.5586
1971,5,1,2,109,-6.5272
1971,5,1,3,96,-5.1748
1971,5,1,4,98,-7.1127
1971,5,1,5,99,-4.5496
1971,5,2,1,76,-6.4331
1971,5,2,2,67,-6.0626
1971,5,2,3,51,-2.5889
1971,5,2,4,50,-1.9916
1971,5,2,5,57,-3.4179
1971,5,3,1,51,-3.0177
1971,5,3,2,74,-3.1936
1971,5,3,3,85,-3.5973
1971,5,3,4,107,-4.2469
1971,5,3,5,108,-3.2291
1971,6,1,1,274,-2.8519
1971,6,1,2,108,-2.6218
1971,6,1,3,96,-2.6659
1971,6,1,4,98,-1.1664
1971,6,1,5,99,-2.5079
1971,6,2,1,76,-0.9139
1971,6,2,2,67,-0.0857
1971,6,2,3,51,-1.2847
1971,6,2,4,50,-2.4458
1971,6,2,5,56,-0.5341
1971,6,3,1,51,-1.8715
1971,6,3,2,74,-1.1457
1971,6,3,3,85,-0.7531
1971,6,3,4,107,0.6002
1971,6,3,5,107,0.5772
1971,7,1,1,261,-6.8715
1971,7,1,2,150,-7.1952
1971,7,1,3,115,-5.4022
1971,7,1,4,122,-5.8826
1971,7,1,5,115,-7.7504
1971,7,2,1,67,-5.8917
1971,7,2,2,65,-5.7652
1971,7,2,3,67,-6.3529
1971,7,2,4,66,-6.2689
1971,7,2,5,59,-1.9512
1971,7,3,1,65,-8.3293
1971,7,3,2,89,-4.6875
1971,7,3,3,94,-3.6697
1971,7,3,4,99,-2.8553
1971,7,3,5,115,-4.1559
1971,8,1,1,260,3.8551
1971,8,1,2,150,3.6087
1971,8,1,3,115,5.9819
1971,8,1,4,122,5.1675
1971,8,1,5,115,3.4578
1971,8,2,1,67,5.1462
1971,8,2,2,65,6.4148
1971,8,2,3,67,4.9285
1971,8,2,4,66,5.9549
1971,8,2,5,59,4.2819
1971,8,3,1,65,7.8000
1971,8,3,2,89,8.0393
1971,8,3,3,94,1.1973
1971,8,3,4,97,2.0497
1971,8,3,5,115,6.0387
1971,9,1,1,260,-1.4739
1971,9,1,2,150,-1.8337
1971,9,1,3,115,-0.5037
