year,month,rank_ME,rank_CLAq_12,nstocks,ret_vw
1980,6,2,2,299,3.1280
1980,6,2,3,313,3.7814
1980,6,2,4,292,3.8420
1980,6,2,5,300,4.7114
1980,6,3,1,239,3.0552
1980,6,3,2,306,2.7552
1980,6,3,3,338,2.4647
1980,6,3,4,367,3.3134
1980,6,3,5,314,3.9864
1980,7,1,1,601,12.6602
1980,7,1,2,493,12.3983
1980,7,1,3,441,12.5449
1980,7,1,4,385,11.6102
1980,7,1,5,475,11.9563
1980,7,2,1,299,14.3787
1980,7,2,2,281,13.2284
1980,7,2,3,289,11.2822
1980,7,2,4,269,12.8019
1980,7,2,5,280,12.0144
1980,7,3,1,222,11.2324
1980,7,3,2,282,10.4075
1980,7,3,3,313,9.1463
1980,7,3,4,346,8.1020
1980,7,3,5,296,5.4094
1980,8,1,1,635,8.5573
1980,8,1,2,526,7.3758
1980,8,1,3,467,8.0983
1980,8,1,4,421,9.1525
1980,8,1,5,491,9.2398
1980,8,2,1,322,6.0564
1980,8,2,2,297,6.8853
1980,8,2,3,301,5.9705
1980,8,2,4,285,6.5668
1980,8,2,5,296,6.7982
1980,8,3,1,239,2.1760
1980,8,3,2,315,1.3521
1980,8,3,3,338,1.1818
1980,8,3,4,365,1.6068
1980,8,3,5,310,2.8991
1980,9,1,1,631,3.7684
1980,9,1,2,529,3.1484
1980,9,1,3,470,3.2711
1980,9,1,4,429,2.8078
