year,month,rank_ME,rank_Fq_12,nstocks,ret_vw
1988,7,3,2,211,-1.0860
1988,7,3,3,286,-1.1004
1988,7,3,4,293,-1.2196
1988,7,3,5,254,-1.5015
1988,8,1,1,1149,-2.7518
1988,8,1,2,1159,-2.4012
1988,8,1,3,1315,-1.8872
1988,8,1,4,1127,-1.4551
1988,8,1,5,961,-1.7968
1988,8,2,1,243,-3.9039
1988,8,2,2,337,-3.5529
1988,8,2,3,369,-2.6985
1988,8,2,4,334,-3.3023
1988,8,2,5,257,-3.1925
1988,8,3,1,169,-2.4494
1988,8,3,2,228,-2.7742
1988,8,3,3,318,-3.0004
1988,8,3,4,314,-4.0349
1988,8,3,5,286,-4.7271
1988,9,1,1,1149,1.8889
1988,9,1,2,1158,2.6331
1988,9,1,3,1306,2.5934
1988,9,1,4,1147,2.3833
1988,9,1,5,963,3.1807
1988,9,2,1,240,1.3275
1988,9,2,2,337,3.3125
1988,9,2,3,362,3.1312
1988,9,2,4,327,3.7020
1988,9,2,5,257,3.2709
1988,9,3,1,172,3.6828
1988,9,3,2,229,5.3308
1988,9,3,3,317,5.5949
1988,9,3,4,310,4.1288
1988,9,3,5,287,3.7902
1988,10,1,1,1058,-2.1104
1988,10,1,2,1079,-2.2642
1988,10,1,3,1221,-2.5142
1988,10,1,4,1055,-0.8858
1988,10,1,5,900,-1.2907
1988,10,2,1,218,-1.5976
1988,10,2,2,311,-0.2867
1988,10,2,3,352,-0.5050
1988,10,2,4,308,-0.4951
1988,10,2,5,243,-0.1897
1988,10,3,1,138,2.1544
1988,10,3,2,203,2.7761
1988,10,3,3,296,2.5701
1988,10,3,4,286,1.2963
1988,10,3,5,270,2.5995
1988,11,1,1,1143,-4.7430
1988,11,1,2,1167,-4.8814
1988,11,1,3,1311,-3.8326
1988,11,1,4,1143,-2.7497
1988,11,1,5,967,-3.7193
1988,11,2,1,240,-4.1699
1988,11,2,2,326,-3.2791
1988,11,2,3,387,-3.0868
1988,11,2,4,335,-2.7046
1988,11,2,5,270,-2.8792
1988,11,3,1,146,-2.9660
1988,11,3,2,223,-1.5138
1988,11,3,3,315,-1.0850
1988,11,3,4,323,-1.7566
1988,11,3,5,292,-1.5805
1988,12,1,1,1141,3.3705
1988,12,1,2,1160,4.0733
1988,12,1,3,1310,3.7969
1988,12,1,4,1134,4.3717
1988,12,1,5,962,4.6779
1988,12,2,1,238,4.7976
1988,12,2,2,314,4.3597
1988,12,2,3,380,4.8009
1988,12,2,4,328,4.9424
1988,12,2,5,269,5.6150
1988,12,3,1,147,2.5529
1988,12,3,2,222,1.9008
1988,12,3,3,312,1.9445
1988,12,3,4,320,2.7572
1988,12,3,5,292,2.5409
1989,1,1,1,1042,5.5761
1989,1,1,2,1057,4.6985
1989,1,1,3,1215,5.3930
1989,1,1,4,1047,5.7679
1989,1,1,5,883,5.0443
1989,1,2,1,226,5.6276
1989,1,2,2,281,5.2235
1989,1,2,3,359,4.5747
1989,1,2,4,303,4.6518
1989,1,2,5,260,4.0663
1989,1,3,1,129,6.6386
1989,1,3,2,194,7.1988
1989,1,3,3,277,6.6623
1989,1,3,4,287,7.3762
1989,1,3,5,276,7.9136
1989,2,1,1,1122,0.4921
1989,2,1,2,1157,0.3412
1989,2,1,3,1290,0.4405
1989,2,1,4,1126,0.8424
1989,2,1,5,949,1.3203
1989,2,2,1,244,0.7348
1989,2,2,2,311,0.6329
1989,2,2,3,375,0.9783
1989,2,2,4,332,0.9654
1989,2,2,5,276,1.4860
1989,2,3,1,150,-1.3750
1989,2,3,2,212,-2.3597
1989,2,3,3,307,-1.9072
1989,2,3,4,321,-1.9058
1989,2,3,5,288,-2.5588
1989,3,1,1,1113,1.7160
1989,3,1,2,1162,2.5874
1989,3,1,3,1274,2.7698
1989,3,1,4,1130,3.6388
1989,3,1,5,940,3.7990
1989,3,2,1,237,2.1497
1989,3,2,2,310,2.2499
1989,3,2,3,370,2.8793
1989,3,2,4,327,3.0880
1989,3,2,5,270,3.0181
1989,3,3,1,148,2.6251
1989,3,3,2,207,2.1557
1989,3,3,3,309,2.6585
1989,3,3,4,326,2.7076
1989,3,3,5,288,2.0247
1989,4,1,1,1048,2.6764
1989,4,1,2,1055,2.8485
1989,4,1,3,1190,3.1643
1989,4,1,4,1020,3.9202
1989,4,1,5,857,3.0520
1989,4,2,1,229,3.3952
1989,4,2,2,279,5.3816
