year,month,rank_ME,rank_GLAq_12,nstocks,ret_vw
1978,10,3,2,252,-9.2618
1978,10,3,3,244,-10.8502
1978,10,3,4,229,-10.0020
1978,10,3,5,193,-8.8457
1978,11,1,1,317,4.3224
1978,11,1,2,388,8.0716
1978,11,1,3,425,8.0781
1978,11,1,4,471,8.7357
1978,11,1,5,414,8.8694
1978,11,2,1,158,4.2382
1978,11,2,2,235,7.6898
1978,11,2,3,254,7.0517
1978,11,2,4,226,6.8097
1978,11,2,5,211,8.3450
1978,11,3,1,240,3.4738
1978,11,3,2,262,3.4297
1978,11,3,3,253,3.3072
1978,11,3,4,237,3.1435
1978,11,3,5,198,2.8212
1978,12,1,1,316,-1.4422
1978,12,1,2,388,-0.3950
1978,12,1,3,425,1.1034
1978,12,1,4,470,1.4708
1978,12,1,5,410,1.6809
1978,12,2,1,164,0.5750
1978,12,2,2,235,2.6200
1978,12,2,3,252,1.5301
1978,12,2,4,236,2.3210
1978,12,2,5,216,3.0866
1978,12,3,1,238,-0.4472
1978,12,3,2,259,0.9500
1978,12,3,3,253,1.8687
1978,12,3,4,237,0.9882
1978,12,3,5,195,4.4510
1979,1,1,1,302,11.1298
1979,1,1,2,381,11.2394
1979,1,1,3,404,11.0004
1979,1,1,4,463,10.0426
1979,1,1,5,392,10.4954
1979,1,2,1,167,8.4247
1979,1,2,2,227,8.0160
1979,1,2,3,248,9.9946
1979,1,2,4,237,7.9529
1979,1,2,5,216,7.2311
1979,1,3,1,236,6.7713
1979,1,3,2,253,4.7340
1979,1,3,3,250,4.1637
1979,1,3,4,234,3.5150
1979,1,3,5,192,3.1646
1979,2,1,1,305,-1.1167
1979,2,1,2,390,-1.3104
1979,2,1,3,416,-2.9729
1979,2,1,4,469,-2.4112
1979,2,1,5,391,-2.9487
1979,2,2,1,170,-1.6419
1979,2,2,2,224,-0.3745
1979,2,2,3,260,-3.4437
1979,2,2,4,238,-3.2536
1979,2,2,5,211,-4.5470
1979,2,3,1,239,-2.3306
1979,2,3,2,250,-1.4086
1979,2,3,3,257,-2.1961
1979,2,3,4,240,-4.0403
1979,2,3,5,191,-4.1304
1979,3,1,1,303,9.0857
1979,3,1,2,388,9.4763
1979,3,1,3,416,9.3013
1979,3,1,4,468,9.4784
1979,3,1,5,386,9.0869
1979,3,2,1,169,9.0126
1979,3,2,2,222,11.3146
1979,3,2,3,259,10.7381
1979,3,2,4,236,10.0104
1979,3,2,5,212,10.6791
1979,3,3,1,234,3.2604
1979,3,3,2,250,7.5588
1979,3,3,3,254,7.9306
1979,3,3,4,238,6.5861
1979,3,3,5,193,4.5073
1979,4,1,1,295,3.9141
1979,4,1,2,373,3.0025
1979,4,1,3,407,2.7857
1979,4,1,4,450,2.3020
1979,4,1,5,375,0.9573
1979,4,2,1,169,1.2811
1979,4,2,2,216,2.2641
1979,4,2,3,247,4.2901
1979,4,2,4,232,3.6379
1979,4,2,5,203,1.3163
1979,4,3,1,225,-2.5949
1979,4,3,2,236,0.9416
1979,4,3,3,239,2.0388
1979,4,3,4,234,0.6255
1979,4,3,5,190,0.3657
1979,5,1,1,305,-1.4858
1979,5,1,2,394,-0.8160
1979,5,1,3,421,-0.6695
1979,5,1,4,463,-0.5711
1979,5,1,5,379,-1.2787
1979,5,2,1,175,0.9902
1979,5,2,2,226,-0.8458
1979,5,2,3,258,-1.2812
1979,5,2,4,243,-1.3740
1979,5,2,5,203,-3.1197
1979,5,3,1,231,0.2651
1979,5,3,2,242,-1.8746
1979,5,3,3,249,-2.1006
1979,5,3,4,239,-1.9632
1979,5,3,5,195,-2.2320
1979,6,1,1,308,8.1671
1979,6,1,2,390,6.5684
1979,6,1,3,421,5.8181
1979,6,1,4,464,4.9289
1979,6,1,5,374,2.4847
1979,6,2,1,176,8.4502
1979,6,2,2,221,7.4487
1979,6,2,3,256,3.1121
1979,6,2,4,249,3.2806
1979,6,2,5,206,2.4999
1979,6,3,1,234,4.3084
1979,6,3,2,241,6.2196
1979,6,3,3,252,5.4472
1979,6,3,4,240,3.5750
1979,6,3,5,196,0.9557
1979,7,1,1,287,1.9335
1979,7,1,2,368,2.5162
1979,7,1,3,398,2.1878
1979,7,1,4,449,2.1480
1979,7,1,5,357,2.2462
1979,7,2,1,167,3.6958
1979,7,2,2,213,3.3278
1979,7,2,3,235,4.3922
1979,7,2,4,240,2.4185
1979,7,2,5,202,2.2615
1979,7,3,1,222,1.2621
1979,7,3,2,240,2.2921
1979,7,3,3,241,2.4562
1979,7,3,4,227,0.8775
1979,7,3,5,191,-0.9600
1979,8,1,1,300,8.5757
1979,8,1,2,370,8.1429
1979,8,1,3,416,7.2889
1979,8,1,4,465,8.1047
1979,8,1,5,363,9.2461
1979,8,2,1,168,7.0679
1979,8,2,2,226,7.7309
1979,8,2,3,239,8.3878
1979,8,2,4,248,8.6851
1979,8,2,5,206,10.1133
1979,8,3,1,229,3.3182
1979,8,3,2,250,7.4876
1979,8,3,3,252,6.5374
1979,8,3,4,228,7.3807
1979,8,3,5,192,6.6623
1979,9,1,1,293,0.8700
1979,9,1,2,368,1.4166
1979,9,1,3,411,-1.2718
1979,9,1,4,460,-1.6022
1979,9,1,5,368,-1.5751
1979,9,2,1,168,0.4250
1979,9,2,2,225,1.0825
1979,9,2,3,240,-1.7630
1979,9,2,4,246,-0.4164
1979,9,2,5,204,1.0867
1979,9,3,1,229,-1.6365
1979,9,3,2,249,2.4334
1979,9,3,3,249,2.3964
1979,9,3,4,230,-0.2720
1979,9,3,5,187,-2.1628
1979,10,1,1,286,-9.8775
1979,10,1,2,352,-11.0260
1979,10,1,3,393,-11.3050
1979,10,1,4,442,-11.1252
1979,10,1,5,356,-9.6691
1979,10,2,1,162,-8.1185
1979,10,2,2,217,-10.0655
1979,10,2,3,232,-11.3602
1979,10,2,4,234,-10.8037
1979,10,2,5,201,-8.4992
1979,10,3,1,220,-6.1585
1979,10,3,2,240,-6.5228
1979,10,3,3,241,-4.9498
1979,10,3,4,222,-7.1150
1979,10,3,5,186,-7.5267
1979,11,1,1,296,9.5848
1979,11,1,2,372,8.0998
1979,11,1,3,413,8.2734
1979,11,1,4,454,9.1074
1979,11,1,5,374,7.2498
1979,11,2,1,166,9.3481
1979,11,2,2,223,10.5632
1979,11,2,3,241,8.3217
