year,month,rank_ME,rank_GPA,nstocks,ret_vw
1971,7,3,2,120,-4.0725
1971,7,3,3,115,-3.6205
1971,7,3,4,101,-5.0733
1971,7,3,5,131,-4.0090
1971,8,1,1,116,2.9002
1971,8,1,2,147,5.0758
1971,8,1,3,199,4.1400
1971,8,1,4,194,3.9656
1971,8,1,5,205,4.9271
1971,8,2,1,72,1.0065
1971,8,2,2,71,4.4232
1971,8,2,3,81,6.4703
1971,8,2,4,85,6.2946
1971,8,2,5,93,4.2350
1971,8,3,1,117,0.4505
1971,8,3,2,120,3.9352
1971,8,3,3,115,3.5725
1971,8,3,4,100,6.9285
1971,8,3,5,130,4.6353
1971,9,1,1,116,-1.8264
1971,9,1,2,147,-2.7253
