year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1971,7,1,2,262,-5.7862
1971,7,1,3,206,-5.9434
1971,7,1,4,171,-4.0606
1971,7,1,5,212,-7.3346
1971,7,2,1,133,-6.3995
1971,7,2,2,147,-4.1909
1971,7,2,3,154,-3.1003
1971,7,2,4,137,-4.8150
1971,7,2,5,159,-5.4885
1971,7,3,1,99,-5.2093
1971,7,3,2,182,-4.8347
1971,7,3,3,215,-3.8925
1971,7,3,4,243,-2.8398
1971,7,3,5,235,-4.4065
1971,8,1,1,503,3.5183
1971,8,1,2,331,4.6352
1971,8,1,3,266,6.0603
1971,8,1,4,199,4.9739
1971,8,1,5,230,3.8813
1971,8,2,1,153,6.2217
1971,8,2,2,171,4.8552
1971,8,2,3,181,3.9685
1971,8,2,4,161,3.4937
1971,8,2,5,182,5.1624
1971,8,3,1,112,9.4422
1971,8,3,2,212,6.5629
1971,8,3,3,251,3.2935
1971,8,3,4,277,1.2432
1971,8,3,5,271,4.8555
1971,9,1,1,509,-2.8078
