year,month,rank_ME,rank_EG_1,nstocks,ret_vw
1970,7,1,4,74,7.0805
1970,7,1,5,134,3.3987
1970,7,2,1,70,7.0201
1970,7,2,2,53,9.8547
1970,7,2,3,55,9.0918
1970,7,2,4,50,9.9234
1970,7,2,5,56,7.5045
1970,7,3,1,63,8.5481
1970,7,3,2,87,8.4916
1970,7,3,3,82,7.2110
1970,7,3,4,94,7.6048
1970,7,3,5,91,5.6644
1970,8,1,1,182,7.6231
1970,8,1,2,152,6.9362
1970,8,1,3,92,5.5566
1970,8,1,4,76,5.9706
1970,8,1,5,131,6.7613
1970,8,2,1,75,10.4918
1970,8,2,2,58,5.7421
1970,8,2,3,50,9.2648
1970,8,2,4,52,5.5116
1970,8,2,5,53,6.0873
1970,8,3,1,66,6.1560
1970,8,3,2,81,5.0748
1970,8,3,3,91,5.2723
1970,8,3,4,91,4.1206
1970,8,3,5,90,4.8994
1970,9,1,1,201,20.6120
1970,9,1,2,136,14.2622
1970,9,1,3,85,14.2046
1970,9,1,4,79,11.4243
1970,9,1,5,133,12.3917
1970,9,2,1,80,16.9306
1970,9,2,2,60,13.6648
1970,9,2,3,57,12.1120
1970,9,2,4,48,9.3454
1970,9,2,5,52,9.9848
1970,9,3,1,64,7.8309
1970,9,3,2,81,6.3766
1970,9,3,3,87,4.2365
1970,9,3,4,92,3.7441
1970,9,3,5,92,2.3670
1970,10,1,1,204,-13.2102
1970,10,1,2,135,-10.1062
1970,10,1,3,83,-6.4399
1970,10,1,4,79,-1.1045
1970,10,1,5,136,-4.2979
1970,10,2,1,70,-7.6249
1970,10,2,2,61,-6.7504
1970,10,2,3,55,-5.9208
1970,10,2,4,51,-2.4802
1970,10,2,5,50,-2.5719
1970,10,3,1,76,-2.4903
1970,10,3,2,79,-2.1729
1970,10,3,3,92,-0.4786
1970,10,3,4,91,-0.5960
1970,10,3,5,91,-0.5363
1970,11,1,1,223,-3.4556
1970,11,1,2,127,-1.2057
1970,11,1,3,89,-0.8739
1970,11,1,4,76,-1.0698
1970,11,1,5,137,-0.4989
1970,11,2,1,81,0.3175
1970,11,2,2,60,1.1028
1970,11,2,3,52,1.9815
1970,11,2,4,59,3.7045
1970,11,2,5,51,5.0872
1970,11,3,1,71,3.9704
1970,11,3,2,89,5.3584
1970,11,3,3,90,3.6488
1970,11,3,4,84,4.5869
1970,11,3,5,95,5.8183
1970,12,1,1,232,8.5610
1970,12,1,2,127,10.8564
1970,12,1,3,85,10.6825
1970,12,1,4,77,10.2243
1970,12,1,5,141,9.8370
1970,12,2,1,76,8.0644
1970,12,2,2,61,12.7067
1970,12,2,3,49,9.7990
1970,12,2,4,59,9.6192
1970,12,2,5,58,10.1791
1970,12,3,1,71,5.3805
1970,12,3,2,86,5.7102
1970,12,3,3,93,6.6382
1970,12,3,4,90,5.0468
1970,12,3,5,89,5.8619
1971,1,1,1,232,18.5765
1971,1,1,2,133,17.8750
1971,1,1,3,82,14.5278
1971,1,1,4,74,16.3114
1971,1,1,5,144,14.1218
1971,1,2,1,72,12.3459
1971,1,2,2,62,9.9367
1971,1,2,3,49,10.2391
1971,1,2,4,62,8.9775
1971,1,2,5,60,9.6025
1971,1,3,1,75,7.2905
1971,1,3,2,87,5.9441
1971,1,3,3,96,5.8490
1971,1,3,4,90,3.8681
1971,1,3,5,85,2.6352
1971,2,1,1,235,4.3963
1971,2,1,2,108,5.6788
1971,2,1,3,93,4.9182
1971,2,1,4,82,4.7103
1971,2,1,5,160,8.1236
1971,2,2,1,74,2.9731
1971,2,2,2,67,3.1315
1971,2,2,3,49,5.9769
1971,2,2,4,53,4.1238
1971,2,2,5,62,3.2029
1971,2,3,1,82,1.4933
1971,2,3,2,87,1.4072
1971,2,3,3,97,3.0634
1971,2,3,4,97,0.4130
1971,2,3,5,76,3.1579
1971,3,1,1,230,5.9956
1971,3,1,2,115,5.7009
1971,3,1,3,89,6.0141
1971,3,1,4,89,5.8837
1971,3,1,5,156,9.3402
1971,3,2,1,72,6.4152
1971,3,2,2,62,9.3059
1971,3,2,3,53,4.6822
1971,3,2,4,52,7.2017
1971,3,2,5,71,7.7062
1971,3,3,1,86,5.5617
1971,3,3,2,87,3.6030
1971,3,3,3,95,3.1968
1971,3,3,4,94,3.0550
1971,3,3,5,80,5.5298
1971,4,1,1,228,1.4844
