year,month,rank_ME,rank_COP,nstocks,ret_vw
1970,2,3,2,70,8.2400
1970,2,3,3,97,7.1706
1970,2,3,4,99,5.6426
1970,2,3,5,101,3.9236
1970,3,1,1,204,-4.6149
1970,3,1,2,143,-3.1837
1970,3,1,3,96,-3.7825
1970,3,1,4,82,-3.7018
1970,3,1,5,97,-0.7350
1970,3,2,1,85,-4.4144
1970,3,2,2,45,-1.2815
1970,3,2,3,55,-0.7846
1970,3,2,4,56,-2.8915
1970,3,2,5,46,-0.9044
1970,3,3,1,58,-3.1978
1970,3,3,2,71,0.0296
1970,3,3,3,97,-1.0051
1970,3,3,4,99,2.2378
1970,3,3,5,101,-0.9863
1970,4,1,1,203,-20.4161
1970,4,1,2,143,-17.5473
1970,4,1,3,96,-16.4502
1970,4,1,4,81,-15.5906
1970,4,1,5,97,-16.1162
1970,4,2,1,84,-19.4463
1970,4,2,2,46,-13.8956
1970,4,2,3,55,-14.2513
1970,4,2,4,56,-16.1008
1970,4,2,5,46,-13.5735
1970,4,3,1,58,-14.1967
1970,4,3,2,71,-12.0331
1970,4,3,3,97,-9.6313
1970,4,3,4,99,-8.9557
1970,4,3,5,101,-8.4228
1970,5,1,1,202,-9.7499
1970,5,1,2,143,-10.1905
1970,5,1,3,95,-7.6751
1970,5,1,4,81,-10.0296
1970,5,1,5,97,-6.8690
1970,5,2,1,84,-12.7751
1970,5,2,2,46,-10.3745
1970,5,2,3,55,-9.8965
1970,5,2,4,56,-11.6691
1970,5,2,5,46,-6.8586
1970,5,3,1,58,-8.4536
1970,5,3,2,71,-8.2971
1970,5,3,3,97,-4.9210
1970,5,3,4,99,-3.6894
1970,5,3,5,101,-6.5852
1970,6,1,1,201,-11.4178
1970,6,1,2,143,-6.4404
1970,6,1,3,94,-8.7342
1970,6,1,4,80,-9.3004
1970,6,1,5,97,-6.9267
1970,6,2,1,83,-10.2243
1970,6,2,2,46,-5.9314
1970,6,2,3,55,-7.0639
1970,6,2,4,55,-6.2036
1970,6,2,5,46,-5.7896
1970,6,3,1,58,-7.0223
1970,6,3,2,71,-4.9672
1970,6,3,3,97,-3.9798
1970,6,3,4,99,-5.3452
1970,6,3,5,101,-4.6053
1970,7,1,1,296,2.2842
1970,7,1,2,113,5.4904
1970,7,1,3,98,6.2582
1970,7,1,4,100,7.8087
1970,7,1,5,101,5.1584
1970,7,2,1,82,6.9666
1970,7,2,2,67,6.2434
1970,7,2,3,52,9.0896
1970,7,2,4,51,6.9643
1970,7,2,5,58,10.4707
1970,7,3,1,52,6.4537
1970,7,3,2,74,8.5173
1970,7,3,3,86,8.5383
