year,month,rank_ME,rank_OPE,nstocks,ret_vw
1971,7,1,4,109,-5.4939
1971,7,1,5,122,-9.1492
1971,7,2,1,63,-4.9061
1971,7,2,2,78,-4.9151
1971,7,2,3,85,-4.4484
1971,7,2,4,74,-5.4381
1971,7,2,5,102,-4.8716
1971,7,3,1,70,-5.2014
1971,7,3,2,110,-4.1317
1971,7,3,3,118,-3.5796
1971,7,3,4,134,-3.8143
1971,7,3,5,151,-4.5406
1971,8,1,1,355,4.0186
1971,8,1,2,149,3.7552
1971,8,1,3,125,4.1243
1971,8,1,4,109,4.3929
1971,8,1,5,122,5.9235
1971,8,2,1,63,6.2515
1971,8,2,2,78,5.1521
1971,8,2,3,85,3.6165
1971,8,2,4,74,4.0919
1971,8,2,5,102,3.9971
1971,8,3,1,70,5.9865
1971,8,3,2,109,3.2452
1971,8,3,3,118,2.7361
1971,8,3,4,134,4.6907
1971,8,3,5,150,4.9191
1971,9,1,1,355,-1.8300
