year,month,rank_ME,rank_Fq_6,nstocks,ret_vw
1988,9,1,2,826,2.8823
1988,9,1,3,929,2.5315
1988,9,1,4,833,2.5684
1988,9,1,5,706,3.1020
1988,9,2,1,158,0.9842
1988,9,2,2,229,3.3487
1988,9,2,3,268,2.8518
1988,9,2,4,224,3.6385
1988,9,2,5,191,3.1949
1988,9,3,1,104,3.8813
1988,9,3,2,154,5.3988
1988,9,3,3,222,5.6678
1988,9,3,4,219,4.0561
1988,9,3,5,231,3.7837
1988,10,1,1,731,-2.0592
1988,10,1,2,685,-2.0935
1988,10,1,3,799,-2.5628
1988,10,1,4,682,-1.5369
1988,10,1,5,595,-1.5464
1988,10,2,1,136,-1.1009
1988,10,2,2,181,0.3085
1988,10,2,3,229,-0.4172
1988,10,2,4,198,-1.0649
1988,10,2,5,176,-0.4331
1988,10,3,1,87,1.6604
1988,10,3,2,125,2.4304
1988,10,3,3,174,3.3181
1988,10,3,4,167,0.5744
1988,10,3,5,196,2.5569
1988,11,1,1,851,-4.5683
1988,11,1,2,806,-4.7567
1988,11,1,3,958,-3.9678
1988,11,1,4,817,-2.8267
1988,11,1,5,691,-3.6294
1988,11,2,1,163,-3.9594
1988,11,2,2,211,-2.6299
1988,11,2,3,277,-2.9303
1988,11,2,4,230,-3.2248
1988,11,2,5,203,-3.3642
1988,11,3,1,96,-3.2043
1988,11,3,2,145,-1.6912
1988,11,3,3,216,-0.8808
1988,11,3,4,217,-1.6378
1988,11,3,5,229,-1.3799
1988,12,1,1,855,3.4513
1988,12,1,2,801,3.7231
1988,12,1,3,953,3.7328
1988,12,1,4,819,4.3186
1988,12,1,5,704,4.4658
1988,12,2,1,163,4.6527
1988,12,2,2,200,4.2370
1988,12,2,3,276,4.8574
1988,12,2,4,231,5.2974
1988,12,2,5,203,5.9843
1988,12,3,1,99,1.7925
1988,12,3,2,142,2.1665
1988,12,3,3,220,1.9154
1988,12,3,4,225,2.7253
1988,12,3,5,226,2.7762
1989,1,1,1,739,4.8195
1989,1,1,2,693,5.2674
1989,1,1,3,785,4.8658
1989,1,1,4,679,5.7404
1989,1,1,5,575,5.1576
1989,1,2,1,148,4.7227
1989,1,2,2,175,6.0891
1989,1,2,3,237,4.7386
1989,1,2,4,195,4.6743
1989,1,2,5,170,4.7646
1989,1,3,1,82,8.5111
1989,1,3,2,115,7.5928
1989,1,3,3,189,6.0846
1989,1,3,4,183,7.2204
