year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1970,6,2,1,78,-9.2426
1970,6,2,2,46,-8.1404
1970,6,2,3,51,-6.6456
1970,6,2,4,77,-7.6432
1970,6,2,5,98,-7.4846
1970,6,3,1,67,-6.4199
1970,6,3,2,125,-3.0940
1970,6,3,3,139,-4.8826
1970,6,3,4,118,-5.7120
1970,6,3,5,96,-3.5815
1970,7,1,1,234,5.1904
1970,7,1,2,118,5.9210
1970,7,1,3,58,5.3050
1970,7,1,4,88,4.1889
1970,7,1,5,167,3.8838
1970,7,2,1,78,7.4351
1970,7,2,2,49,7.8055
1970,7,2,3,49,7.7691
1970,7,2,4,70,9.0864
1970,7,2,5,98,7.2640
1970,7,3,1,68,6.1938
1970,7,3,2,121,8.7599
1970,7,3,3,142,9.6162
1970,7,3,4,121,5.8350
1970,7,3,5,96,4.1189
1970,8,1,1,208,5.5520
1970,8,1,2,117,8.0123
1970,8,1,3,75,5.7500
1970,8,1,4,80,6.4724
1970,8,1,5,157,6.1821
1970,8,2,1,74,11.3263
1970,8,2,2,56,7.4491
1970,8,2,3,50,7.0307
1970,8,2,4,54,5.6556
1970,8,2,5,106,6.1218
1970,8,3,1,56,6.6220
1970,8,3,2,104,5.9945
1970,8,3,3,119,4.1340
1970,8,3,4,129,3.8861
1970,8,3,5,101,4.4364
1970,9,1,1,210,19.3832
1970,9,1,2,111,10.9854
1970,9,1,3,81,11.8550
1970,9,1,4,84,11.4143
1970,9,1,5,161,15.9826
1970,9,2,1,74,13.7637
1970,9,2,2,58,9.5606
1970,9,2,3,52,9.4623
1970,9,2,4,56,9.9101
1970,9,2,5,105,13.2439
1970,9,3,1,58,3.0709
1970,9,3,2,102,6.4804
1970,9,3,3,121,1.0132
1970,9,3,4,127,2.6437
1970,9,3,5,106,7.6743
1970,10,1,1,220,-9.0412
1970,10,1,2,117,-6.2606
1970,10,1,3,77,-5.8724
1970,10,1,4,80,-6.9873
1970,10,1,5,163,-7.1643
1970,10,2,1,81,-7.9301
1970,10,2,2,51,-6.8951
1970,10,2,3,51,-4.8504
1970,10,2,4,55,-4.2524
1970,10,2,5,99,-3.2056
1970,10,3,1,55,-2.2508
1970,10,3,2,107,-1.3434
1970,10,3,3,120,0.6569
1970,10,3,4,127,-1.0157
1970,10,3,5,113,-2.6037
1970,11,1,1,271,-2.7322
1970,11,1,2,120,-0.7050
1970,11,1,3,87,0.5297
1970,11,1,4,69,-3.1810
1970,11,1,5,151,-0.0241
1970,11,2,1,87,2.6352
1970,11,2,2,66,1.8936
1970,11,2,3,57,4.1898
1970,11,2,4,59,4.8096
1970,11,2,5,90,2.1119
1970,11,3,1,63,4.5262
1970,11,3,2,106,5.3532
1970,11,3,3,123,5.5791
1970,11,3,4,133,5.8919
1970,11,3,5,131,5.3173
1970,12,1,1,274,8.1920
1970,12,1,2,121,10.8353
1970,12,1,3,93,9.9489
1970,12,1,4,67,10.2286
1970,12,1,5,142,11.0272
1970,12,2,1,85,8.7343
1970,12,2,2,69,11.5257
1970,12,2,3,54,11.0860
1970,12,2,4,61,10.5993
