year,month,rank_ME,rank_RCA,nstocks,ret_vw
1984,4,3,2,68,1.8999
1984,4,3,3,58,2.7028
1984,4,3,4,65,0.5608
1984,4,3,5,82,0.8348
1984,5,1,1,149,-3.5304
1984,5,1,2,136,-7.2786
1984,5,1,3,155,-4.3965
1984,5,1,4,164,-5.6850
1984,5,1,5,236,-7.3276
1984,5,2,1,55,-5.5275
1984,5,2,2,42,-7.7416
1984,5,2,3,55,-6.1736
1984,5,2,4,54,-7.5661
1984,5,2,5,69,-7.8206
1984,5,3,1,54,-4.6404
1984,5,3,2,68,-4.5327
1984,5,3,3,58,-5.7119
1984,5,3,4,65,-5.8899
1984,5,3,5,82,-5.4703
1984,6,1,1,148,1.4918
1984,6,1,2,135,2.9415
1984,6,1,3,156,2.5989
1984,6,1,4,163,4.0603
1984,6,1,5,233,3.5500
1984,6,2,1,55,0.7160
1984,6,2,2,42,5.4423
1984,6,2,3,55,2.3379
1984,6,2,4,54,5.3667
1984,6,2,5,69,3.9690
1984,6,3,1,54,0.5538
1984,6,3,2,68,2.7004
1984,6,3,3,58,1.9603
1984,6,3,4,65,2.8540
1984,6,3,5,82,2.2550
1984,7,1,1,178,-3.5640
1984,7,1,2,197,-7.0890
1984,7,1,3,185,-8.0457
1984,7,1,4,199,-5.8199
1984,7,1,5,287,-8.0469
1984,7,2,1,52,-8.1064
1984,7,2,2,61,-5.6551
1984,7,2,3,48,-3.0547
1984,7,2,4,60,-7.4090
1984,7,2,5,57,-7.2293
1984,7,3,1,60,-3.7915
1984,7,3,2,64,-4.9554
1984,7,3,3,58,-2.8324
1984,7,3,4,69,-1.7543
1984,7,3,5,80,0.4751
1984,8,1,1,177,10.3132
1984,8,1,2,197,11.1970
1984,8,1,3,185,10.9832
1984,8,1,4,199,12.0045
1984,8,1,5,286,12.1525
1984,8,2,1,52,15.3862
1984,8,2,2,61,14.0779
1984,8,2,3,48,12.5506
1984,8,2,4,60,13.8896
1984,8,2,5,56,18.4541
1984,8,3,1,60,12.8266
1984,8,3,2,64,11.6300
1984,8,3,3,58,12.5893
1984,8,3,4,69,10.9915
1984,8,3,5,80,11.8567
1984,9,1,1,177,-2.2179
1984,9,1,2,197,-2.0474
1984,9,1,3,185,-2.0867
1984,9,1,4,198,-2.8096
1984,9,1,5,286,-2.7877
1984,9,2,1,51,-0.0345
1984,9,2,2,60,-4.5112
1984,9,2,3,49,-3.5072
1984,9,2,4,60,-3.4956
1984,9,2,5,56,-7.6304
1984,9,3,1,60,1.9331
1984,9,3,2,64,1.3278
1984,9,3,3,58,-2.5874
1984,9,3,4,69,-2.2292
1984,9,3,5,80,-2.9619
1984,10,1,1,174,-3.0677
1984,10,1,2,196,-4.3701
1984,10,1,3,184,-3.2978
1984,10,1,4,197,-5.5698
1984,10,1,5,281,-2.6833
1984,10,2,1,51,-1.9816
1984,10,2,2,60,-2.5970
1984,10,2,3,49,-1.9456
1984,10,2,4,59,-3.5820
1984,10,2,5,56,-2.9320
1984,10,3,1,60,-3.0992
1984,10,3,2,64,-1.1802
1984,10,3,3,58,-0.6376
1984,10,3,4,69,1.3033
1984,10,3,5,79,1.9142
1984,11,1,1,173,-1.4586
1984,11,1,2,193,-3.5231
1984,11,1,3,184,-7.5662
1984,11,1,4,194,-2.8839
1984,11,1,5,278,-5.5630
1984,11,2,1,51,-2.5575
1984,11,2,2,61,-2.3087
1984,11,2,3,49,-0.7929
1984,11,2,4,59,-2.1783
1984,11,2,5,56,-6.3754
1984,11,3,1,60,-1.8796
1984,11,3,2,64,0.1674
1984,11,3,3,58,-3.0908
1984,11,3,4,69,-1.0803
1984,11,3,5,79,-2.2556
1984,12,1,1,169,-2.2157
1984,12,1,2,190,2.5844
1984,12,1,3,183,-0.8133
1984,12,1,4,193,-0.4674
1984,12,1,5,275,0.5389
1984,12,2,1,50,1.4511
1984,12,2,2,61,4.7028
1984,12,2,3,49,1.6055
1984,12,2,4,59,0.1492
1984,12,2,5,56,5.6363
1984,12,3,1,59,0.6007
1984,12,3,2,63,1.6553
1984,12,3,3,58,1.0177
1984,12,3,4,68,2.8816
1984,12,3,5,79,3.5498
1985,1,1,1,169,12.2980
1985,1,1,2,191,14.2832
1985,1,1,3,182,15.1263
1985,1,1,4,193,18.3378
1985,1,1,5,272,16.4491
1985,1,2,1,50,11.6114
1985,1,2,2,61,13.8721
1985,1,2,3,49,14.6863
1985,1,2,4,59,14.2492
1985,1,2,5,56,16.0577
1985,1,3,1,58,6.7254
1985,1,3,2,63,6.1704
1985,1,3,3,58,10.1741
1985,1,3,4,68,8.3245
1985,1,3,5,79,9.1640
1985,2,1,1,167,5.0443
1985,2,1,2,192,3.7356
1985,2,1,3,181,3.4837
1985,2,1,4,193,2.1939
1985,2,1,5,265,5.1516
1985,2,2,1,50,3.2765
1985,2,2,2,61,2.7300
1985,2,2,3,49,3.9366
1985,2,2,4,58,3.2751
1985,2,2,5,56,-0.0015
1985,2,3,1,58,3.8735
1985,2,3,2,62,2.5780
1985,2,3,3,58,1.8049
1985,2,3,4,68,0.9253
1985,2,3,5,79,-0.8382
1985,3,1,1,164,-1.9133
