year,month,rank_ME,rank_OCA,nstocks,ret_vw
1970,1,2,3,63,-6.1505
1970,1,2,4,68,-5.3440
1970,1,2,5,60,-6.4035
1970,1,3,1,105,-7.5332
1970,1,3,2,82,-10.6265
1970,1,3,3,90,-9.6193
1970,1,3,4,80,-7.5490
1970,1,3,5,87,-5.5179
1970,2,1,1,106,4.8316
1970,2,1,2,139,2.7711
1970,2,1,3,161,2.1163
1970,2,1,4,127,4.4957
1970,2,1,5,185,1.7493
1970,2,2,1,59,6.8030
1970,2,2,2,65,4.5241
1970,2,2,3,63,2.8972
1970,2,2,4,68,3.1599
1970,2,2,5,60,3.8723
1970,2,3,1,105,8.7319
1970,2,3,2,82,5.2772
1970,2,3,3,90,3.0647
1970,2,3,4,80,3.4453
1970,2,3,5,87,4.8848
1970,3,1,1,106,-0.4239
1970,3,1,2,139,-5.2199
1970,3,1,3,160,-5.7207
1970,3,1,4,127,-3.3003
1970,3,1,5,185,-3.7690
1970,3,2,1,60,-4.0825
1970,3,2,2,65,-1.2380
1970,3,2,3,63,-1.7075
1970,3,2,4,70,-3.0818
1970,3,2,5,60,-2.3461
1970,3,3,1,105,1.1081
1970,3,3,2,82,1.2546
1970,3,3,3,90,-1.2524
1970,3,3,4,81,-0.3033
1970,3,3,5,87,-2.8534
1970,4,1,1,105,-18.9779
1970,4,1,2,139,-18.1998
1970,4,1,3,159,-18.2870
1970,4,1,4,127,-17.0283
1970,4,1,5,185,-18.1566
1970,4,2,1,59,-18.6777
1970,4,2,2,65,-15.2942
1970,4,2,3,63,-14.8604
1970,4,2,4,70,-15.7971
1970,4,2,5,60,-15.6408
1970,4,3,1,105,-8.7984
1970,4,3,2,82,-7.3389
1970,4,3,3,90,-11.4236
1970,4,3,4,81,-11.3127
1970,4,3,5,87,-9.1706
1970,5,1,1,105,-7.6437
1970,5,1,2,139,-9.2028
1970,5,1,3,159,-9.9121
1970,5,1,4,125,-8.8800
1970,5,1,5,185,-10.4362
1970,5,2,1,59,-11.8053
