year,month,rank_ME,rank_ALMq_6,nstocks,ret_vw
1979,9,1,3,316,-0.0353
1979,9,1,4,404,-1.0300
1979,9,1,5,538,-1.3628
1979,9,2,1,166,2.6205
1979,9,2,2,192,-0.1807
1979,9,2,3,218,-0.6988
1979,9,2,4,204,-1.6409
1979,9,2,5,159,-0.9262
1979,9,3,1,262,-1.0285
1979,9,3,2,259,-0.1767
1979,9,3,3,240,2.2442
1979,9,3,4,190,2.0369
1979,9,3,5,82,-0.3589
1979,10,1,1,138,-10.4368
1979,10,1,2,184,-10.5626
1979,10,1,3,285,-10.4965
1979,10,1,4,370,-10.7697
1979,10,1,5,507,-10.9341
1979,10,2,1,156,-7.8325
1979,10,2,2,173,-8.6551
1979,10,2,3,194,-10.4830
1979,10,2,4,181,-11.0386
1979,10,2,5,147,-11.4996
1979,10,3,1,250,-6.4287
1979,10,3,2,241,-5.3646
1979,10,3,3,226,-6.0823
1979,10,3,4,171,-8.0278
1979,10,3,5,81,-9.7749
1979,11,1,1,146,12.1220
1979,11,1,2,214,8.7944
1979,11,1,3,311,6.2725
1979,11,1,4,413,6.8176
1979,11,1,5,520,7.5644
1979,11,2,1,162,12.0031
1979,11,2,2,182,8.0163
1979,11,2,3,218,8.7105
1979,11,2,4,204,7.4292
1979,11,2,5,154,6.7682
1979,11,3,1,268,6.7313
1979,11,3,2,263,5.9809
1979,11,3,3,245,6.6764
1979,11,3,4,179,3.9191
1979,11,3,5,88,1.3936
1979,12,1,1,137,14.2796
1979,12,1,2,205,7.4310
1979,12,1,3,307,6.7335
1979,12,1,4,426,7.3211
1979,12,1,5,521,5.7091
1979,12,2,1,167,9.3525
1979,12,2,2,182,3.3132
1979,12,2,3,216,5.5570
1979,12,2,4,212,5.6377
1979,12,2,5,161,6.7967
1979,12,3,1,266,2.5823
1979,12,3,2,263,1.6152
1979,12,3,3,239,2.2761
1979,12,3,4,181,3.3424
1979,12,3,5,83,5.7133
1980,1,1,1,118,10.5130
1980,1,1,2,170,7.6932
1980,1,1,3,251,10.6519
1980,1,1,4,365,10.5643
1980,1,1,5,483,11.0433
1980,1,2,1,152,4.9770
1980,1,2,2,160,3.8775
1980,1,2,3,182,7.1959
1980,1,2,4,188,7.9519
1980,1,2,5,151,7.9385
1980,1,3,1,253,4.2663
1980,1,3,2,220,6.8910
1980,1,3,3,196,9.4635
1980,1,3,4,161,10.4082
1980,1,3,5,68,10.2655
1980,2,1,1,129,0.6777
1980,2,1,2,183,-2.0103
1980,2,1,3,269,-2.1802
1980,2,1,4,383,-2.4740
1980,2,1,5,509,-2.8658
1980,2,2,1,161,1.8327
1980,2,2,2,177,-2.9518
1980,2,2,3,196,-4.0395
1980,2,2,4,203,-3.0152
1980,2,2,5,153,-3.1222
1980,2,3,1,264,-1.7744
1980,2,3,2,242,-1.0238
1980,2,3,3,227,5.0891
1980,2,3,4,174,2.0112
1980,2,3,5,76,0.3018
1980,3,1,1,125,-23.0038
1980,3,1,2,185,-17.2787
1980,3,1,3,272,-18.9662
1980,3,1,4,379,-18.1344
1980,3,1,5,510,-16.8679
1980,3,2,1,163,-19.5970
1980,3,2,2,172,-12.8686
1980,3,2,3,195,-16.6119
1980,3,2,4,210,-16.0429
1980,3,2,5,155,-16.0578
1980,3,3,1,266,-9.9603
1980,3,3,2,242,-10.3477
1980,3,3,3,230,-12.8830
1980,3,3,4,174,-13.4101
1980,3,3,5,76,-14.4123
1980,4,1,1,124,6.1419
1980,4,1,2,148,9.7402
1980,4,1,3,239,7.2646
1980,4,1,4,330,4.5774
1980,4,1,5,470,4.4360
1980,4,2,1,152,4.9950
1980,4,2,2,159,8.9167
1980,4,2,3,179,7.6467
1980,4,2,4,195,3.6663
1980,4,2,5,143,3.4655
1980,4,3,1,243,3.8430
1980,4,3,2,219,6.9428
1980,4,3,3,193,5.1712
1980,4,3,4,138,4.1020
1980,4,3,5,71,1.7542
1980,5,1,1,135,7.7668
1980,5,1,2,167,6.3362
1980,5,1,3,266,6.9667
1980,5,1,4,358,5.9585
1980,5,1,5,501,6.3245
1980,5,2,1,165,9.6336
1980,5,2,2,183,7.2102
1980,5,2,3,205,7.1602
1980,5,2,4,207,9.0751
1980,5,2,5,152,9.4408
1980,5,3,1,257,6.1020
1980,5,3,2,251,4.9290
1980,5,3,3,228,6.0164
1980,5,3,4,154,4.3658
1980,5,3,5,77,7.0612
1980,6,1,1,135,3.8446
1980,6,1,2,168,3.4256
1980,6,1,3,272,3.2384
1980,6,1,4,363,3.2530
1980,6,1,5,506,3.5627
1980,6,2,1,168,4.4394
