year,month,rank_ME,rank_RER,nstocks,ret_vw
1974,9,2,2,55,-10.1421
1974,9,2,3,67,-8.4221
1974,9,2,4,74,-9.5798
1974,9,2,5,71,-10.4304
1974,9,3,1,74,-15.8616
1974,9,3,2,69,-14.5436
1974,9,3,3,74,-14.9902
1974,9,3,4,60,-14.4705
1974,9,3,5,84,-11.8145
1974,10,1,1,270,8.5765
1974,10,1,2,167,8.4798
1974,10,1,3,186,6.6127
1974,10,1,4,176,9.0270
1974,10,1,5,294,6.2931
1974,10,2,1,75,8.5435
1974,10,2,2,55,10.7473
1974,10,2,3,67,7.6385
1974,10,2,4,74,3.5148
1974,10,2,5,71,13.1861
1974,10,3,1,74,17.1398
1974,10,3,2,69,8.3541
1974,10,3,3,74,19.2118
1974,10,3,4,60,23.8310
1974,10,3,5,84,10.2978
1974,11,1,1,267,-6.0066
1974,11,1,2,167,-3.5994
1974,11,1,3,188,-7.7821
1974,11,1,4,173,-7.2020
1974,11,1,5,296,-6.3876
1974,11,2,1,75,-3.2192
1974,11,2,2,55,-4.1800
1974,11,2,3,67,-6.3303
1974,11,2,4,74,-5.7312
1974,11,2,5,71,-5.9443
1974,11,3,1,74,-4.6935
1974,11,3,2,69,-6.6981
1974,11,3,3,73,-4.5519
1974,11,3,4,60,-4.3441
1974,11,3,5,84,-5.5290
1974,12,1,1,266,-6.9339
1974,12,1,2,167,-7.9013
1974,12,1,3,187,-10.0644
1974,12,1,4,172,-9.5512
1974,12,1,5,292,-7.4726
1974,12,2,1,75,-6.3122
1974,12,2,2,55,-7.3501
1974,12,2,3,68,-4.9225
1974,12,2,4,74,-6.5987
1974,12,2,5,71,-8.4765
1974,12,3,1,74,-3.4464
1974,12,3,2,69,-2.1735
1974,12,3,3,73,-2.0556
1974,12,3,4,60,-5.4688
1974,12,3,5,84,-3.2625
1975,1,1,1,267,28.8086
1975,1,1,2,165,33.2074
1975,1,1,3,185,33.6358
1975,1,1,4,173,31.1899
1975,1,1,5,290,27.5663
1975,1,2,1,75,27.6381
1975,1,2,2,55,27.0192
1975,1,2,3,68,30.5484
1975,1,2,4,74,31.0071
1975,1,2,5,71,28.9375
1975,1,3,1,74,10.7831
1975,1,3,2,69,20.7959
1975,1,3,3,74,15.9680
1975,1,3,4,60,7.8058
1975,1,3,5,84,16.7409
1975,2,1,1,267,4.9485
1975,2,1,2,165,4.7062
1975,2,1,3,183,3.4064
1975,2,1,4,174,4.9025
1975,2,1,5,291,4.7091
1975,2,2,1,75,5.6254
1975,2,2,2,54,7.7287
1975,2,2,3,68,3.9174
1975,2,2,4,74,4.3546
1975,2,2,5,71,5.9131
