year,month,rank_ME,rank_VFP,nstocks,ret_vw
1980,11,1,2,11,-0.4951
1980,11,1,3,8,5.2022
1980,11,1,4,16,8.9318
1980,11,1,5,37,3.0537
1980,11,2,1,35,9.8668
1980,11,2,2,27,3.0781
1980,11,2,3,40,4.3713
1980,11,2,4,53,5.1488
1980,11,2,5,55,2.6525
1980,11,3,1,104,11.9917
1980,11,3,2,106,6.7893
1980,11,3,3,102,4.6832
1980,11,3,4,83,10.4987
1980,11,3,5,66,15.8667
1980,12,1,1,16,-6.3907
1980,12,1,2,11,-3.6552
1980,12,1,3,8,-1.2317
1980,12,1,4,16,-6.2516
1980,12,1,5,37,-3.6917
1980,12,2,1,35,-5.5820
1980,12,2,2,27,-2.7073
1980,12,2,3,40,2.6812
1980,12,2,4,53,-0.5411
1980,12,2,5,55,-4.6785
1980,12,3,1,104,-1.9130
1980,12,3,2,106,-1.3054
1980,12,3,3,102,-1.4703
1980,12,3,4,82,-3.3815
1980,12,3,5,66,-4.6325
1981,1,1,1,16,1.7047
1981,1,1,2,11,3.3807
1981,1,1,3,8,-1.2682
1981,1,1,4,16,3.5126
1981,1,1,5,37,1.4284
1981,1,2,1,35,-3.7298
1981,1,2,2,27,-0.5181
1981,1,2,3,40,1.3465
1981,1,2,4,53,-0.1060
1981,1,2,5,55,2.2495
1981,1,3,1,104,-6.1145
1981,1,3,2,106,-1.7735
1981,1,3,3,102,0.2435
1981,1,3,4,82,-4.3050
1981,1,3,5,66,-6.4389
1981,2,1,1,16,1.7962
1981,2,1,2,11,3.6801
1981,2,1,3,8,3.6693
1981,2,1,4,16,0.3418
1981,2,1,5,37,3.3740
1981,2,2,1,35,-0.3194
1981,2,2,2,27,-3.5624
1981,2,2,3,40,2.4241
1981,2,2,4,53,3.9588
1981,2,2,5,54,4.1962
1981,2,3,1,104,2.8253
1981,2,3,2,106,4.5150
1981,2,3,3,102,3.3233
1981,2,3,4,82,0.3040
1981,2,3,5,66,0.2101
1981,3,1,1,16,7.9362
1981,3,1,2,11,3.2870
1981,3,1,3,8,6.1204
1981,3,1,4,16,7.1033
1981,3,1,5,37,11.4358
1981,3,2,1,35,3.8783
