year,month,rank_ME,rank_DP,nstocks,ret_vw
1971,2,1,2,97,5.5229
1971,2,1,3,98,6.1454
1971,2,1,4,79,2.7666
1971,2,1,5,95,2.9472
1971,2,2,1,73,3.6770
1971,2,2,2,74,3.0491
1971,2,2,3,68,1.3181
1971,2,2,4,55,3.2676
1971,2,2,5,59,0.4811
1971,2,3,1,142,2.0633
1971,2,3,2,108,2.8808
1971,2,3,3,98,1.0148
1971,2,3,4,101,-0.1400
1971,2,3,5,97,1.3678
1971,3,1,1,83,6.6669
1971,3,1,2,97,5.6714
1971,3,1,3,98,6.2392
1971,3,1,4,79,6.1660
1971,3,1,5,95,5.5749
1971,3,2,1,73,8.3545
1971,3,2,2,73,7.8756
1971,3,2,3,68,3.0094
1971,3,2,4,55,4.6069
1971,3,2,5,59,4.5619
1971,3,3,1,141,5.8790
1971,3,3,2,107,3.8461
1971,3,3,3,98,3.6607
1971,3,3,4,101,1.9010
1971,3,3,5,97,1.8204
1971,4,1,1,83,3.1179
1971,4,1,2,97,2.7409
1971,4,1,3,98,3.4894
1971,4,1,4,78,2.2793
1971,4,1,5,95,1.8536
1971,4,2,1,72,5.6681
1971,4,2,2,73,3.9527
1971,4,2,3,68,2.6610
1971,4,2,4,54,2.2419
1971,4,2,5,59,5.5166
1971,4,3,1,141,3.5925
1971,4,3,2,107,4.4172
1971,4,3,3,98,3.6532
1971,4,3,4,101,3.0690
1971,4,3,5,97,2.9985
1971,5,1,1,83,-6.2485
1971,5,1,2,96,-5.5102
1971,5,1,3,97,-5.7084
1971,5,1,4,77,-3.9845
1971,5,1,5,94,-4.7636
1971,5,2,1,72,-3.7521
1971,5,2,2,73,-3.1045
1971,5,2,3,68,-4.1359
1971,5,2,4,54,-4.1505
1971,5,2,5,59,-5.2723
1971,5,3,1,141,-2.6521
1971,5,3,2,107,-3.1535
1971,5,3,3,98,-3.3765
1971,5,3,4,101,-4.7091
1971,5,3,5,97,-3.9213
1971,6,1,1,83,-3.2140
1971,6,1,2,95,-2.1821
1971,6,1,3,97,-1.8465
1971,6,1,4,77,-1.7497
1971,6,1,5,93,-1.1803
1971,6,2,1,71,2.9553
1971,6,2,2,73,-0.4922
1971,6,2,3,68,-0.7251
1971,6,2,4,54,-2.0926
1971,6,2,5,58,-1.1002
1971,6,3,1,140,0.6983
1971,6,3,2,107,1.3724
1971,6,3,3,98,0.7015
1971,6,3,4,101,-0.2754
1971,6,3,5,97,0.3000
1971,7,1,1,88,-8.3703
1971,7,1,2,96,-5.8865
1971,7,1,3,80,-2.9609
1971,7,1,4,75,-4.0551
1971,7,1,5,85,-0.5319
1971,7,2,1,70,-5.7768
1971,7,2,2,66,-3.2582
1971,7,2,3,76,-4.1131
1971,7,2,4,54,-4.0334
1971,7,2,5,67,-1.4656
1971,7,3,1,135,-5.1917
1971,7,3,2,115,-4.2824
1971,7,3,3,98,-4.1242
1971,7,3,4,109,-2.9106
1971,7,3,5,95,-2.5547
1971,8,1,1,88,3.5030
1971,8,1,2,96,5.8163
1971,8,1,3,80,4.6279
1971,8,1,4,75,5.6891
1971,8,1,5,85,4.1056
1971,8,2,1,70,4.8877
1971,8,2,2,66,3.3887
1971,8,2,3,76,4.4141
1971,8,2,4,54,4.5419
1971,8,2,5,67,4.0103
1971,8,3,1,134,4.5823
1971,8,3,2,115,6.3917
1971,8,3,3,97,4.9220
1971,8,3,4,109,2.7999
1971,8,3,5,95,-0.0881
1971,9,1,1,87,0.3195
1971,9,1,2,96,0.5619
1971,9,1,3,80,0.8359
