year,month,rank_ME,rank_IR,nstocks,ret_vw
1970,8,1,3,64,7.4292
1970,8,1,4,71,6.5781
1970,8,1,5,56,7.0570
1970,8,2,1,33,9.4068
1970,8,2,2,29,6.6849
1970,8,2,3,45,5.5683
1970,8,2,4,46,10.1042
1970,8,2,5,40,5.1651
1970,8,3,1,95,5.1788
1970,8,3,2,96,6.5062
1970,8,3,3,84,4.5384
1970,8,3,4,85,3.3673
1970,8,3,5,111,4.5941
1970,9,1,1,57,13.4272
1970,9,1,2,55,9.5893
1970,9,1,3,64,11.8667
1970,9,1,4,71,14.8576
1970,9,1,5,56,12.9571
1970,9,2,1,33,4.8597
1970,9,2,2,29,6.1303
1970,9,2,3,45,10.4039
1970,9,2,4,46,10.9915
1970,9,2,5,40,11.8686
1970,9,3,1,95,0.4539
1970,9,3,2,96,-0.1945
1970,9,3,3,84,3.5950
1970,9,3,4,85,4.1091
1970,9,3,5,111,7.4537
1970,10,1,1,57,-4.8992
1970,10,1,2,55,-4.5353
1970,10,1,3,64,-8.6953
1970,10,1,4,71,-9.2535
1970,10,1,5,56,-8.4224
1970,10,2,1,33,-5.7962
1970,10,2,2,29,-2.8080
1970,10,2,3,45,-3.6385
1970,10,2,4,46,-3.9315
1970,10,2,5,40,-6.4786
1970,10,3,1,95,-1.1894
1970,10,3,2,96,-1.6835
1970,10,3,3,84,-0.3748
1970,10,3,4,85,-2.0248
1970,10,3,5,111,-0.1348
1970,11,1,1,57,1.4133
1970,11,1,2,55,0.2934
1970,11,1,3,64,-0.2511
1970,11,1,4,71,-0.6589
1970,11,1,5,56,-1.0502
1970,11,2,1,33,6.4381
1970,11,2,2,29,5.1223
1970,11,2,3,45,5.2848
1970,11,2,4,46,2.2978
1970,11,2,5,40,2.8692
1970,11,3,1,95,5.8682
1970,11,3,2,96,7.3772
1970,11,3,3,84,5.5109
1970,11,3,4,85,4.8015
1970,11,3,5,111,4.5454
1970,12,1,1,57,11.8974
1970,12,1,2,55,13.0641
1970,12,1,3,64,10.9570
1970,12,1,4,71,7.7830
1970,12,1,5,56,11.7797
1970,12,2,1,33,7.3957
1970,12,2,2,29,6.4153
1970,12,2,3,45,9.2487
1970,12,2,4,46,10.1960
1970,12,2,5,40,6.9744
1970,12,3,1,95,6.4301
1970,12,3,2,96,5.6620
1970,12,3,3,84,6.6710
1970,12,3,4,85,6.1692
1970,12,3,5,111,5.0833
1971,1,1,1,57,15.9553
1971,1,1,2,55,13.0636
1971,1,1,3,63,16.3172
1971,1,1,4,71,12.9140
1971,1,1,5,56,13.2204
1971,1,2,1,33,13.4753
1971,1,2,2,29,10.3760
1971,1,2,3,45,10.2701
1971,1,2,4,46,10.9573
1971,1,2,5,40,10.8484
1971,1,3,1,95,4.3564
1971,1,3,2,96,3.4690
1971,1,3,3,84,3.9592
1971,1,3,4,85,6.9837
1971,1,3,5,111,4.1035
1971,2,1,1,57,5.8603
1971,2,1,2,55,2.1164
1971,2,1,3,63,4.3118
1971,2,1,4,71,5.6746
1971,2,1,5,56,6.2163
1971,2,2,1,33,-1.8588
1971,2,2,2,29,2.7211
1971,2,2,3,45,1.7549
1971,2,2,4,46,4.1277
1971,2,2,5,40,3.1358
1971,2,3,1,95,0.6214
1971,2,3,2,96,-0.0086
1971,2,3,3,84,1.5385
1971,2,3,4,85,3.4566
