year,month,rank_ME,rank_EBP,nstocks,ret_vw
1970,12,2,5,55,8.9224
1970,12,3,1,143,4.6491
1970,12,3,2,103,6.9543
1970,12,3,3,86,5.8804
1970,12,3,4,78,6.3666
1970,12,3,5,63,7.4255
1971,1,1,1,113,14.7854
1971,1,1,2,155,13.3256
1971,1,1,3,124,16.9046
1971,1,1,4,162,16.5694
1971,1,1,5,174,13.9179
1971,1,2,1,81,6.9278
1971,1,2,2,77,11.5797
1971,1,2,3,61,14.4841
1971,1,2,4,60,11.5696
1971,1,2,5,55,10.9061
1971,1,3,1,143,4.1707
1971,1,3,2,103,5.1753
1971,1,3,3,86,2.2447
1971,1,3,4,78,6.2878
1971,1,3,5,63,5.9408
1971,2,1,1,113,6.7378
1971,2,1,2,155,7.2506
1971,2,1,3,124,6.3643
1971,2,1,4,162,4.8351
1971,2,1,5,174,3.9281
1971,2,2,1,81,3.7921
1971,2,2,2,77,3.5474
1971,2,2,3,61,1.9322
1971,2,2,4,60,2.9710
1971,2,2,5,55,1.6757
1971,2,3,1,143,2.6104
1971,2,3,2,103,0.9549
1971,2,3,3,86,3.6882
1971,2,3,4,78,-0.7688
1971,2,3,5,63,2.0172
1971,3,1,1,113,8.1046
1971,3,1,2,154,5.3087
1971,3,1,3,124,6.3259
1971,3,1,4,162,6.6547
1971,3,1,5,174,6.0341
1971,3,2,1,80,9.2378
1971,3,2,2,77,10.0938
1971,3,2,3,61,5.8826
1971,3,2,4,60,4.7351
1971,3,2,5,55,3.3714
1971,3,3,1,143,6.2080
1971,3,3,2,103,3.5815
1971,3,3,3,86,3.8754
1971,3,3,4,78,1.3162
1971,3,3,5,62,2.3626
1971,4,1,1,113,0.8190
1971,4,1,2,154,3.3597
1971,4,1,3,124,1.8886
1971,4,1,4,162,2.8020
1971,4,1,5,174,2.3294
1971,4,2,1,80,3.5767
1971,4,2,2,77,4.3317
1971,4,2,3,61,4.7545
1971,4,2,4,60,2.3080
1971,4,2,5,55,5.2268
1971,4,3,1,143,3.6144
1971,4,3,2,103,5.5707
1971,4,3,3,86,4.7669
1971,4,3,4,78,3.3454
1971,4,3,5,62,6.0182
1971,5,1,1,113,-6.9338
1971,5,1,2,154,-5.1852
1971,5,1,3,124,-6.8001
1971,5,1,4,162,-4.7554
1971,5,1,5,174,-6.6175
1971,5,2,1,81,-1.7775
1971,5,2,2,77,-4.2132
1971,5,2,3,61,-6.1966
1971,5,2,4,60,-4.6683
1971,5,2,5,55,-5.0687
1971,5,3,1,143,-2.4648
1971,5,3,2,103,-4.0609
1971,5,3,3,86,-3.6053
1971,5,3,4,78,-5.3589
1971,5,3,5,62,-3.7122
1971,6,1,1,112,-1.0214
1971,6,1,2,154,-3.7160
1971,6,1,3,123,-2.0401
1971,6,1,4,162,-1.3276
1971,6,1,5,174,-2.6105
1971,6,2,1,80,3.0565
1971,6,2,2,77,-1.1738
1971,6,2,3,61,-2.2688
1971,6,2,4,60,-2.0364
1971,6,2,5,55,-1.0073
1971,6,3,1,143,1.4297
1971,6,3,2,103,-2.3962
1971,6,3,3,86,0.0137
1971,6,3,4,78,0.3758
1971,6,3,5,62,-1.3406
1971,7,1,1,83,-9.0976
1971,7,1,2,135,-7.3623
1971,7,1,3,153,-7.8928
1971,7,1,4,167,-6.3615
1971,7,1,5,309,-6.0364
1971,7,2,1,76,-5.8735
1971,7,2,2,82,-4.5923
1971,7,2,3,71,-5.1379
1971,7,2,4,76,-5.9071
1971,7,2,5,61,-5.2693
1971,7,3,1,171,-4.0704
1971,7,3,2,119,-3.7358
1971,7,3,3,104,-4.2619
1971,7,3,4,74,-5.0863
1971,7,3,5,40,-5.5662
1971,8,1,1,83,2.7917
1971,8,1,2,135,2.6703
1971,8,1,3,153,4.4129
1971,8,1,4,167,5.1388
1971,8,1,5,308,5.5503
1971,8,2,1,76,2.8302
1971,8,2,2,82,5.3788
1971,8,2,3,71,4.1593
1971,8,2,4,76,5.8789
1971,8,2,5,61,7.7760
1971,8,3,1,170,5.7315
1971,8,3,2,119,2.5646
1971,8,3,3,103,2.4205
1971,8,3,4,74,3.1127
1971,8,3,5,40,11.9057
1971,9,1,1,83,0.6693
1971,9,1,2,135,1.0056
