year,month,rank_ME,rank_EMq_1,nstocks,ret_vw
1979,9,1,2,121,-0.0022
1979,9,1,3,83,0.2231
1979,9,1,4,91,-1.0629
1979,9,1,5,116,0.1031
1979,9,2,1,71,-1.5967
1979,9,2,2,52,-2.4035
1979,9,2,3,61,-0.0960
1979,9,2,4,43,-0.1509
1979,9,2,5,76,4.7477
1979,9,3,1,74,3.7100
1979,9,3,2,73,1.7457
1979,9,3,3,94,0.6848
1979,9,3,4,102,0.3499
1979,9,3,5,76,-0.4930
1979,10,1,1,150,-9.3735
1979,10,1,2,103,-11.2786
1979,10,1,3,87,-12.0061
1979,10,1,4,94,-11.2818
1979,10,1,5,111,-11.1745
1979,10,2,1,65,-10.8465
1979,10,2,2,56,-9.4103
1979,10,2,3,58,-10.3615
1979,10,2,4,52,-10.3350
1979,10,2,5,76,-10.0387
1979,10,3,1,73,-4.1927
1979,10,3,2,74,-6.7950
1979,10,3,3,94,-6.6616
1979,10,3,4,91,-6.9299
1979,10,3,5,85,-7.4432
1979,11,1,1,129,6.5737
1979,11,1,2,120,6.8092
1979,11,1,3,98,10.8141
1979,11,1,4,112,12.6881
1979,11,1,5,97,7.3887
1979,11,2,1,71,8.0488
1979,11,2,2,61,7.1478
1979,11,2,3,51,7.7472
1979,11,2,4,69,10.5344
1979,11,2,5,64,9.5812
1979,11,3,1,73,4.8752
1979,11,3,2,80,5.4899
1979,11,3,3,94,7.1507
1979,11,3,4,89,8.2718
1979,11,3,5,94,6.9607
1979,12,1,1,140,6.4660
1979,12,1,2,110,8.2054
1979,12,1,3,105,6.9327
1979,12,1,4,105,8.9612
1979,12,1,5,96,5.5142
1979,12,2,1,73,5.8486
1979,12,2,2,69,3.7602
1979,12,2,3,50,7.0544
1979,12,2,4,67,4.8602
1979,12,2,5,63,6.8770
1979,12,3,1,78,3.7482
1979,12,3,2,76,0.5120
1979,12,3,3,95,4.2223
1979,12,3,4,87,4.3145
1979,12,3,5,95,-0.6865
1980,1,1,1,138,8.7883
1980,1,1,2,107,6.5175
1980,1,1,3,110,11.8379
1980,1,1,4,96,13.0709
1980,1,1,5,90,9.9735
1980,1,2,1,74,7.9422
1980,1,2,2,64,4.8487
1980,1,2,3,55,4.5370
1980,1,2,4,59,4.4945
1980,1,2,5,72,7.3252
1980,1,3,1,74,11.0990
1980,1,3,2,83,8.8823
1980,1,3,3,91,8.1724
1980,1,3,4,94,6.8656
1980,1,3,5,90,2.4325
1980,2,1,1,152,-1.8349
1980,2,1,2,64,-3.6832
1980,2,1,3,112,-2.5251
1980,2,1,4,77,-1.2447
1980,2,1,5,137,-1.8369
1980,2,2,1,67,-4.9611
1980,2,2,2,61,-3.9765
1980,2,2,3,59,-3.6622
1980,2,2,4,47,-1.2361
1980,2,2,5,75,-0.9713
1980,2,3,1,84,9.7716
1980,2,3,2,78,-1.1586
1980,2,3,3,81,0.2182
1980,2,3,4,106,0.7448
1980,2,3,5,84,2.3649
1980,3,1,1,147,-16.0295
1980,3,1,2,76,-16.5090
1980,3,1,3,101,-17.8204
1980,3,1,4,87,-18.1600
1980,3,1,5,117,-20.3736
1980,3,2,1,68,-14.7782
1980,3,2,2,66,-14.6599
1980,3,2,3,52,-14.4324
1980,3,2,4,45,-12.5903
1980,3,2,5,80,-19.1965
1980,3,3,1,77,-14.6817
1980,3,3,2,71,-11.5023
1980,3,3,3,84,-12.2785
1980,3,3,4,93,-12.3282
1980,3,3,5,104,-15.9549
1980,4,1,1,148,5.3853
1980,4,1,2,90,5.0455
1980,4,1,3,98,5.2415
1980,4,1,4,83,7.7507
1980,4,1,5,106,5.7370
1980,4,2,1,70,7.3702
1980,4,2,2,69,4.7813
1980,4,2,3,52,5.8375
1980,4,2,4,50,4.7628
1980,4,2,5,69,8.2552
1980,4,3,1,75,5.2500
1980,4,3,2,76,4.0259
1980,4,3,3,86,5.3257
1980,4,3,4,91,6.8405
1980,4,3,5,101,10.2689
1980,5,1,1,147,9.8674
1980,5,1,2,115,6.0005
1980,5,1,3,73,4.3609
1980,5,1,4,97,6.2855
1980,5,1,5,92,6.3204
1980,5,2,1,79,8.3352
1980,5,2,2,61,10.7839
1980,5,2,3,63,9.0631
1980,5,2,4,69,6.6283
1980,5,2,5,62,8.0714
1980,5,3,1,80,6.0945
1980,5,3,2,94,5.8824
